year,leurs_DET années_NOUN,leurs_DET damnés_NOUN
1800,2.7039813943474655e-07,3.144164484325529e-09
1801,2.3335588861250756e-07,0.0
1802,2.5958945570891956e-07,0.0
1803,3.4716039287729927e-07,0.0
1804,3.2628431867465224e-07,0.0
1805,2.8997353052062635e-07,0.0
1806,1.7290014397985942e-07,0.0
1807,1.7935817631098416e-07,0.0
1808,2.8779138894208245e-07,0.0
1809,3.5240876172792923e-07,0.0
1810,2.8783560424017196e-07,0.0
1811,1.7298830101708518e-07,0.0
1812,2.933929081905262e-07,0.0
1813,1.4953855975718966e-07,0.0
1814,2.9578765392557216e-07,0.0
1815,3.074834840077756e-07,0.0
1816,3.59228602420103e-07,0.0
1817,3.4251215996761175e-07,0.0
1818,3.874382592528036e-07,0.0
1819,3.8091863885370003e-07,0.0
1820,4.1058024624618383e-07,0.0
1821,3.26415269924496e-07,0.0
1822,2.7670698443671427e-07,0.0
1823,3.142694442459515e-07,0.0
1824,2.0042248394247508e-07,0.0
1825,3.029072441762537e-07,0.0
1826,2.598355410832198e-07,0.0
1827,1.8803237011866258e-07,0.0
1828,1.5776357997765444e-07,9.172301251858528e-10
1829,1.7317815093065292e-07,0.0
1830,2.1395513005728617e-07,1.0436835840010872e-09
1831,2.650505113166446e-07,3.1182412207897414e-09
1832,2.3542146854182988e-07,4.058990921151917e-09
1833,2.5599817599086805e-07,5.791814139399776e-09
1834,2.9310425730955103e-07,0.0
1835,2.949604294144592e-07,3.781543966852041e-09
1836,2.4732360426327205e-07,6.720750067579218e-10
1837,2.4352617389311604e-07,1.3915781860163179e-09
1838,2.9982768201541887e-07,6.312161904276081e-10
1839,2.0205363648884145e-07,1.3982950353153e-09
1840,1.8854278494018217e-07,3.1848443882154243e-09
1841,2.5874810294368444e-07,5.778493683550323e-09
1842,1.7038993505025246e-07,6.708265054555795e-10
1843,3.4968913631416854e-07,1.1813822142769936e-09
1844,2.53022669038927e-07,0.0
