year,plusieurs_DET yeux_NOUN,plusieurs_DET dieux_NOUN
1800,9.432493897065797e-09,1.509198952476254e-07
1801,5.000483582762172e-08,1.6668278313147766e-07
1802,6.489736392722989e-08,1.3874608839614666e-07
1803,1.170203560718619e-07,1.0726865440346955e-07
1804,4.69651695311768e-08,1.211206939188969e-07
1805,3.980028751016107e-08,1.8762993292398278e-07
1806,1.4408345627714425e-08,2.7087689158378225e-07
1807,8.540865792383556e-09,1.9359294833876106e-07
1808,1.8128591960930862e-08,2.1754310353117035e-07
1809,8.810218732335784e-08,1.513550458298596e-07
1810,4.212228077449254e-08,2.4571331636025207e-07
1811,9.777599307980722e-08,1.1031137958639192e-07
1812,1.600324850414836e-08,1.4669645054254943e-07
1813,8.627224934443234e-09,5.463909236169684e-08
1814,3.1466771410748606e-09,4.405348086322647e-08
1815,2.4275012222574333e-08,1.2946673422220556e-07
1816,1.0892738089296472e-07,3.105589243546092e-07
1817,4.047870982848423e-08,3.035903077819313e-07
1818,3.695564920747074e-08,1.812019025937417e-07
1819,5.072014452878193e-08,2.9293472891822603e-07
1820,1.4239777357261119e-08,2.2902308760563983e-07
1821,2.0709124859408234e-08,2.2681422606751767e-07
1822,3.208197085768916e-08,1.9950975627125445e-07
1823,1.4824030003524058e-08,2.905509930428707e-07
1824,1.6000114122505238e-08,1.8021181436012057e-07
1825,1.4969253392393966e-08,1.6818395764950367e-07
1826,3.082794364228647e-08,2.0610682760491272e-07
1827,1.843454577876713e-08,1.6867609797799332e-07
1828,8.255071293206129e-09,2.2380414321787612e-07
1829,4.1151244023485134e-08,2.297611221280249e-07
1830,1.3567886369969528e-08,2.275230159831665e-07
1831,1.5591206548037917e-08,3.2741533217972574e-07
1832,3.923691060947476e-08,1.1771073360478113e-07
1833,3.4750886612755494e-09,2.1198040656145167e-07
1834,2.6136685704614138e-08,1.652212038294465e-07
1835,3.7059130875150004e-08,2.7151484260912184e-07
1836,2.2178475944656384e-08,2.285054980788459e-07
1837,4.5922079472404675e-08,2.421346030345717e-07
1838,2.6511079775914936e-08,1.697971516723129e-07
1839,1.8177836236255018e-08,1.642996636519456e-07
1840,4.012903714878391e-08,1.5542040143756708e-07
1841,1.926164472365599e-08,1.772071360761629e-07
1842,4.159124245006751e-08,2.5960985716722007e-07
1843,1.6539351332944818e-08,4.7668773062170544e-07
