year,des_DET yeux_NOUN,des_DET dieux_NOUN
1800,1.0602122330283237e-05,4.197459702481865e-06
1801,1.1441582699944775e-05,3.162210560958556e-06
1802,1.090947046122892e-05,4.207139483014544e-06
1803,1.3311065231391694e-05,3.262917630308948e-06
1804,1.0984905742361661e-05,4.041476216798401e-06
1805,1.0530019238785826e-05,4.161973002680952e-06
1806,8.708404237722789e-06,4.01416508566399e-06
1807,7.980015013231423e-06,2.8554960209703495e-06
1808,1.0709465982472466e-05,4.149181506818422e-06
1809,7.599378562872516e-06,2.79442070194591e-06
1810,1.1433859754106379e-05,4.310513574523611e-06
1811,7.714275000125781e-06,3.2942988781314853e-06
1812,7.158786687000429e-06,2.821906313954514e-06
1813,9.10172251167296e-06,2.7635877302145673e-06
1814,6.548235120362733e-06,2.240434099576305e-06
1815,6.613592255177991e-06,1.8529925611687759e-06
1816,8.468524598015392e-06,3.110224355395985e-06
1817,1.1369846518505256e-05,4.219126978455279e-06
1818,9.409384986724945e-06,4.416796102191256e-06
1819,9.650284226836447e-06,4.860852897081713e-06
1820,9.022085947663072e-06,3.3807603898594607e-06
1821,1.0320047039158453e-05,4.377514507325486e-06
1822,9.027064294286902e-06,4.019269454147434e-06
1823,8.342964719076917e-06,3.0636328745003993e-06
1824,8.29816411851425e-06,3.424024441756046e-06
1825,8.9005417152066e-06,4.179943914550677e-06
1826,7.318554139601474e-06,3.08279454230842e-06
1827,6.5516374760932194e-06,2.827859333365268e-06
1828,7.668961146123365e-06,3.2350705581052352e-06
1829,9.511081429991464e-06,3.188364161132995e-06
1830,9.024731738804803e-06,3.5464368721704886e-06
1831,8.941556956187924e-06,4.349946678416927e-06
1832,1.0300365687498925e-05,3.37978640629899e-06
1833,9.116315631274574e-06,4.459696938852176e-06
1834,8.919143880348201e-06,3.7198105147240312e-06
1835,1.071008853159583e-05,3.1364125021582367e-06
1836,8.775955805617741e-06,3.4127968291386424e-06
1837,8.410002401149086e-06,3.4225864737891243e-06
1838,7.925550661980196e-06,2.8284796727007233e-06
1839,7.313082996063258e-06,2.4707873507168188e-06
1840,7.73216533644927e-06,2.659982044406206e-06
1841,8.010918833178948e-06,2.7839499168180737e-06
1842,8.077422386065791e-06,2.757767767036512e-06
1843,8.383087788388366e-06,4.455582924833834e-06
1844,7.862912944744949e-06,2.8189250258492393e-06
1845,8.35583313829602e-06,2.988770027911869e-06
1846,7.889526372650835e-06,3.066587908051588e-06
1847,6.610474081014672e-06,2.083941652131216e-06
1848,6.909236233809679e-06,2.5841253155078903e-06
1849,7.121664566511754e-06,2.2951216820388254e-06
1850,7.33686792386834e-06,2.649745070470999e-06
1851,6.66871976306993e-06,2.588804765224495e-06
1852,7.478012506112464e-06,2.651745045767484e-06
1853,8.465213099384528e-06,3.005076056439293e-06
1854,8.018988957303463e-06,2.8924265151886175e-06
1855,8.90769412364989e-06,3.492495210366542e-06
1856,8.179441664424303e-06,2.5326809094394775e-06
1857,8.72765006931786e-06,2.899616418972073e-06
1858,9.040087860512358e-06,2.911737162492045e-06
1859,9.33395415358973e-06,2.8465249286568906e-06
1860,9.603389365508974e-06,2.560476694668523e-06
1861,8.792913931188195e-06,2.962096871783615e-06
1862,8.384479215806095e-06,2.751001716205792e-06
1863,9.209081497374427e-06,3.4662667474094633e-06
1864,8.835245338900677e-06,2.9799235079508435e-06
1865,8.830981826690731e-06,2.5195738118100053e-06
1866,8.87779745539774e-06,2.541309719106266e-06
1867,9.06553677282318e-06,2.277909679548884e-06
1868,8.191299386339779e-06,2.451165542538547e-06
1869,8.984210325024833e-06,2.5994972077114653e-06
1870,8.133748352179282e-06,2.5355963657602842e-06
1871,8.069970505175661e-06,2.816736213162585e-06
1872,8.63015821295221e-06,2.5580245868184193e-06
1873,8.457027092845237e-06,2.232180985828336e-06
1874,8.333981874386609e-06,1.960269237599732e-06
1875,8.326538633696146e-06,2.2806007180520282e-06
1876,8.824158669540338e-06,2.650572923812433e-06
1877,8.998907432555825e-06,2.567935581510028e-06
1878,7.89973223902507e-06,2.613717477117916e-06
1879,8.910450588928143e-06,2.7003217937249246e-06
1880,8.535093812156447e-06,2.726942881281502e-06
1881,8.269393568127725e-06,2.1956426579095023e-06
1882,9.256975374682952e-06,2.262830840038532e-06
1883,8.229674762105788e-06,2.1460473895729137e-06
1884,8.912950931971864e-06,1.9026090143370311e-06
1885,8.320026665842306e-06,1.8621441455479726e-06
1886,8.24881779237785e-06,1.7598595469792144e-06
1887,8.511106543096503e-06,1.6981732571252905e-06
1888,8.268161820979003e-06,1.755716208862168e-06
1889,8.056965704383856e-06,1.7442141135859401e-06
1890,7.762359771845695e-06,1.5874723882092212e-06
1891,7.941003005385028e-06,1.595467225001812e-06
1892,7.870744099136573e-06,1.7827648832735576e-06
1893,7.72696547102214e-06,1.5882556176904927e-06
1894,9.011200859276869e-06,1.5571103553213561e-06
1895,8.467588543226157e-06,1.307243067572017e-06
1896,8.20217724850636e-06,1.6134271358936303e-06
1897,7.984928060977836e-06,1.3704430266159306e-06
1898,8.161611432910831e-06,1.6499763084709684e-06
1899,8.71864924079091e-06,1.6925444743520757e-06
1900,8.453629675386765e-06,1.6600988281822993e-06
1901,7.994132587896274e-06,1.3373852105758033e-06
1902,7.4243491923198235e-06,1.0562020573701147e-06
1903,7.939944296708745e-06,1.5671438831077467e-06
1904,7.487390178084752e-06,1.7322417100729126e-06
1905,7.862416140369533e-06,1.5786761409231076e-06
1906,8.249214261013549e-06,1.5041595951004183e-06
1907,7.760036396575742e-06,1.5613673092218505e-06
1908,8.377356138566938e-06,1.5799938761773547e-06
1909,9.004010252056105e-06,1.5930848284995136e-06
1910,9.120327646883197e-06,1.5417874692502664e-06
1911,8.167838160488827e-06,1.6024967468553086e-06
1912,8.427280477008026e-06,1.5654310772106328e-06
1913,8.446602080880439e-06,1.5394579371275086e-06
1914,8.213556412783873e-06,1.6708375163432265e-06
1915,8.043903903853789e-06,1.130953190653372e-06
1916,9.184419411667477e-06,1.2163120679531403e-06
1917,9.843462436265327e-06,1.1920502762663432e-06
1918,9.65774535188757e-06,1.1635698804468575e-06
1919,9.517231859490494e-06,1.6104526459059798e-06
1920,9.26311066962171e-06,1.8945723532226566e-06
1921,1.0362547470776917e-05,1.460783032314339e-06
1922,1.1274223396640082e-05,1.5965852107058254e-06
1923,1.0738031221535493e-05,1.8822076626179296e-06
1924,1.0202431752759367e-05,1.8860446893143035e-06
1925,1.135121965489816e-05,1.9499769550179735e-06
1926,1.0446161070376547e-05,1.939428095454332e-06
1927,1.283833216803032e-05,1.6110630056687114e-06
1928,1.0495961106471441e-05,1.389406634189072e-06
1929,1.051765781312497e-05,1.58973604413859e-06
1930,9.208508771507695e-06,1.5293246597991583e-06
1931,8.550596334089278e-06,1.7085224897073203e-06
1932,8.789548132881464e-06,1.4883050667435782e-06
1933,8.264611778940889e-06,1.2480080755494782e-06
1934,8.302036818008673e-06,1.516868046280706e-06
1935,8.929537131052712e-06,1.4577370599511141e-06
1936,8.580660221468861e-06,1.7423215155076832e-06
1937,8.5367779547596e-06,1.3976141115534801e-06
1938,9.057498800757458e-06,1.5973144780190296e-06
1939,8.208316870650378e-06,1.4238760890350477e-06
1940,6.349600219834883e-06,1.5113266655930602e-06
1941,9.769473393816952e-06,1.9391372596544443e-06
1942,9.715546383404217e-06,2.1239482741464144e-06
1943,1.0637453357276172e-05,2.0961357911630785e-06
1944,1.0725614970397146e-05,2.5930412235197764e-06
1945,1.2559076139950776e-05,2.1741469247160694e-06
1946,1.1352660578722862e-05,1.9447782619863574e-06
1947,1.078838843682206e-05,2.306688465125717e-06
1948,1.1165428446702208e-05,1.979770793525404e-06
1949,9.994696398507585e-06,1.8063295108561306e-06
1950,1.0906562806667353e-05,2.0047656157373694e-06
1951,1.0490819278174968e-05,1.7132873111336266e-06
1952,1.0525822830231846e-05,1.4267119166078146e-06
1953,8.98644941571547e-06,1.82616368959998e-06
1954,9.890783616128829e-06,1.8196462576725025e-06
1955,9.04772610965665e-06,1.6265257940517586e-06
1956,1.0580489174571994e-05,1.7206811868675231e-06
1957,9.061214228722747e-06,1.8368043761540775e-06
1958,9.229341571881378e-06,1.8629092721766938e-06
1959,8.80252429169559e-06,1.821425776427077e-06
1960,9.599196204135296e-06,1.8423258474342674e-06
1961,9.462003362159521e-06,1.8815615838718713e-06
