year,vous_PRON écrivez_VERB,vous_PRON ecrivez_VERB,vous_PRON décrivez_VERB
1800,2.8297480980654655e-07,3.144164484325529e-09,5.65949598296811e-08
1801,7.595972704166343e-07,1.6668277869058556e-08,3.333655484993869e-08
1802,3.3791386044867977e-07,6.713520406265161e-09,2.9091921760482364e-08
1803,3.920181903538378e-07,0.0,3.510610602219799e-08
1804,6.253782913745454e-07,2.4718509461507665e-09,1.4831105232815389e-08
1805,4.6054620028712634e-07,0.0,4.264316544322355e-08
1806,1.0287558893651294e-06,2.881669125542885e-09,1.2679344330024378e-07
1807,2.6476682535303553e-07,0.0,5.124519120158766e-08
1808,5.189309391084862e-07,2.2660739951163578e-09,6.798221985349073e-09
1809,3.298184605426968e-07,4.518061036407062e-09,2.25903047379461e-08
1810,6.575756259508125e-07,2.3401267590372754e-09,1.1700633351097167e-08
1811,4.1617474266786303e-07,0.0,1.4791752533938052e-07
1812,8.134985023389163e-07,0.0,1.3336041604361526e-08
1813,3.623434601252029e-07,5.751483289628823e-09,2.8757416004054903e-08
1814,2.8949429164981666e-07,0.0,7.866692897096073e-08
1815,3.0478624957197553e-07,2.697223555614414e-09,4.04583526680824e-08
1816,2.016315363562171e-07,0.0,1.622322720606917e-08
1817,6.77239910373828e-07,0.0,4.3592454090912724e-08
1818,5.85329814839497e-07,2.384235475716423e-09,3.0995061850447314e-08
1819,3.7367290417478216e-07,0.0,2.3807414706311647e-08
1820,5.458581426864839e-07,1.1866481131050932e-09,5.22125169766241e-08
1821,1.173517134134272e-06,7.88919063410276e-09,4.832129363308013e-08
1822,5.473986277593212e-07,1.0025615893027862e-09,2.606660132187244e-08
1823,5.988908498011369e-07,9.882686891060644e-10,1.9765373338032077e-08
1824,4.934771951070616e-07,0.0,7.073734931140052e-08
1825,4.693301107749903e-07,1.7610886082763955e-09,2.729687298419492e-08
1826,4.844391412461846e-07,0.0,4.1397527184017235e-08
1827,5.143238368532366e-07,9.217272944894717e-09,1.566936447261469e-08
1828,5.714343842555536e-07,9.172301251858528e-10,2.476521265837306e-08
1829,3.1720752247110795e-07,8.57317605795771e-10,1.8003669888244644e-08
1830,5.145360049141345e-07,1.0436835840010872e-09,1.5655253093882493e-08
1831,6.579488811553347e-07,3.1182412207897414e-09,1.8709447990872263e-08
1832,8.618590783271429e-07,0.0,4.058990654698391e-08
1833,5.8265650437761e-07,1.1583628500844156e-09,6.023486953665724e-08
1834,2.772355713887009e-07,5.600718555598405e-09,5.2273371409228275e-08
1835,3.5319619229312593e-07,1.5126175867408165e-09,4.689114518896531e-08
1836,4.630596741606041e-07,2.0162250202737653e-09,4.099657457956596e-08
1837,3.235419150371399e-07,1.3915781860163179e-09,2.1569462660409044e-08
1838,3.4780012470037036e-07,0.0,3.408567517126926e-08
1839,3.8383199552072256e-07,6.9914751765765e-10,2.7965899929149884e-08
1840,2.2293910362236602e-07,6.369688665408546e-10,1.6561190419039917e-08
1841,2.760835826620678e-07,6.420548537278137e-10,2.632424855875115e-08
1842,2.844304418658794e-07,0.0,1.2745704047745221e-08
1843,3.361032518967022e-07,5.906911071384968e-10,2.0674189582514657e-08
1844,3.1504341535537606e-07,0.0,4.2261923072217655e-08
1845,1.9865611378122594e-07,5.580227946389016e-10,3.34813679003787e-08
1846,3.893243274433189e-07,7.610851504580296e-09,1.6392603718884402e-08
