year,des_DET essais_NOUN,des_DET décès_NOUN
1800,3.757276584082092e-06,3.458580977167003e-08
1801,4.962384693385502e-06,3.095537337571841e-08
1802,3.3612357981382956e-06,7.384872446891677e-08
1803,2.687567416614911e-06,3.1205427575287104e-08
1804,2.4397168090217747e-06,5.438072037122765e-08
1805,2.967964221056718e-06,4.5486043376286034e-08
1806,2.910485804363816e-06,8.06867319624871e-08
1807,2.8327203835942782e-06,3.131650672116848e-08
1808,2.814463954337043e-06,2.243413206315381e-07
1809,3.688996947914802e-06,1.0391540072873795e-07
1810,3.3931836966871742e-06,6.31834211617388e-08
1811,3.394581881366321e-06,5.515568934910675e-08
1812,4.240861073867563e-06,3.467370524035118e-08
1813,3.5946769472161577e-06,5.176335093892703e-08
1814,3.005076557371922e-06,5.034683425719777e-08
1815,2.446381849097179e-06,1.0519171667056071e-07
1816,2.996661898180264e-06,3.708166040894412e-08
1817,2.5984217444374735e-06,3.580808893843823e-08
1818,2.56066896753282e-06,4.887682791832049e-08
1819,2.1592289627392347e-06,7.349245234600232e-08
1820,2.303284034610442e-06,6.170570099328643e-08
1821,2.3637988064706406e-06,9.269798972866283e-08
1822,2.1083870507254687e-06,4.6117833107928163e-08
1823,2.421258372464763e-06,4.5460360809101985e-08
1824,2.670334758647641e-06,3.115811608722652e-08
1825,2.3422478250267886e-06,3.522177394188475e-08
1826,2.5507923098189167e-06,4.315912149888135e-08
1827,3.078569228875949e-06,1.318069990929871e-07
1828,2.954398297561056e-06,8.071625257066728e-08
1829,3.2723813987445283e-06,1.2088178569236163e-07
1830,3.2844721893354745e-06,1.2106729774252756e-07
1831,3.624955482450787e-06,1.8709447768827658e-07
1832,3.057773191983415e-06,9.60627790647095e-08
1833,3.699811010449139e-06,9.730247652051105e-08
1834,3.369765629201993e-06,1.0454674770343786e-07
1835,2.7605269821151524e-06,1.4823652350060001e-07
1836,2.428206915539022e-06,9.543465306904864e-08
1837,3.1324425968648484e-06,1.3498307971371304e-07
1838,3.0228943970200817e-06,1.3066174475717673e-07
1839,3.139172459754036e-06,1.1256274934368093e-07
1840,3.041526426272867e-06,1.1783924369623833e-07
1841,3.3059404245250334e-06,1.4317823726628376e-07
1842,2.8429627754178455e-06,1.4355687794065375e-07
1843,3.003073572926951e-06,1.5594245561523223e-07
1844,3.119149290853329e-06,1.1855292170181997e-07
1845,2.8141089245536932e-06,1.4341185927690958e-07
1846,2.8868545314253424e-06,1.814895398410954e-07
1847,3.021823225424214e-06,1.2080821587545643e-07
1848,3.5390931003576043e-06,1.82626536116004e-07
1849,3.295623784538293e-06,1.835091865132199e-07
1850,3.1025711315635363e-06,1.235597242299491e-07
1851,2.9383643891378597e-06,1.7606967461780698e-07
1852,3.331446166043861e-06,2.057332391114386e-07
1853,3.3693639380771856e-06,2.0304568870699313e-07
1854,3.330420966562997e-06,1.2157855505678938e-07
1855,3.1417067845040947e-06,1.1993677873078923e-07
1856,3.168439832279546e-06,1.5376252004983826e-07
1857,2.9074267757778216e-06,2.3284798977840637e-07
1858,3.250379627672828e-06,2.1972604891118408e-07
1859,2.9081401393682427e-06,8.86038180603066e-08
1860,3.0822756755810587e-06,1.5562424682258325e-07
1861,3.278066294853943e-06,1.1129674359899866e-07
1862,3.0315688093196513e-06,1.784604607424356e-07
1863,3.0377283515292675e-06,1.648224907668805e-07
1864,2.9986229534983977e-06,1.2849870190123625e-07
1865,2.960134445118001e-06,1.9957020125360714e-07
1866,2.8410314314442076e-06,2.0532886502167003e-07
1867,3.291662039828225e-06,1.1549691336654178e-07
1868,3.559673146469322e-06,1.4078641319414942e-07
1869,2.9076472962685784e-06,2.1975836839160934e-07
1870,3.1755161060686987e-06,1.3761717188032208e-07
1871,3.210781885698566e-06,1.9011907337329603e-07
1872,3.050277861404993e-06,1.6146395487304233e-07
1873,3.5676587053501407e-06,1.6641092431823878e-07
1874,3.381031365989884e-06,1.0634804076259385e-07
1875,3.326495864541812e-06,1.356001983476851e-07
1876,3.726763527112098e-06,1.8500804865873022e-07
1877,3.4888546380784646e-06,2.461556692923139e-07
1878,3.305797172004077e-06,1.6305539840555383e-07
1879,3.6356594144137944e-06,1.9488747204920998e-07
1880,3.350115740374804e-06,1.6943113667622356e-07
1881,3.4925290357534777e-06,1.7570719024195824e-07
1882,3.6997285874917907e-06,2.0565139990935677e-07
1883,3.6557375651113944e-06,1.674624874326014e-07
1884,3.941873185198119e-06,1.5183903645521468e-07
1885,3.837086914870724e-06,2.0303751935291103e-07
1886,3.953392059941052e-06,1.5552847743016684e-07
1887,4.117792848035151e-06,1.4885948629306256e-07
1888,4.136616929883985e-06,1.515406875540748e-07
1889,4.194509159560766e-06,1.478572212998408e-07
1890,4.895471143129271e-06,1.9269895956686156e-07
1891,4.981453031405181e-06,1.918640204490174e-07
1892,4.453151184691251e-06,1.6298132443637314e-07
1893,4.85283232620759e-06,1.2378417624248073e-07
1894,4.796101514159545e-06,1.4871632236790333e-07
1895,5.126656041909428e-06,1.847714647951193e-07
1896,4.863279855271685e-06,1.645271127115322e-07
1897,5.431079785012116e-06,2.1791909010637767e-07
1898,5.82867158271938e-06,1.7540899532875187e-07
1899,5.354012657221574e-06,1.415060086884523e-07
1900,5.978535725148504e-06,1.4327307207295803e-07
1901,6.155995770029676e-06,1.9895911074208072e-07
1902,6.324445500638376e-06,1.5663805696952693e-07
1903,5.982363843415328e-06,2.2680924871565367e-07
1904,5.939498450402425e-06,1.5210189374670335e-07
1905,5.756310692106581e-06,1.6669251667877916e-07
1906,6.3849616083189176e-06,2.680120130271746e-07
1907,6.088612252597159e-06,1.8051379657713085e-07
1908,6.836653383857083e-06,1.728808922685232e-07
1909,6.732653986318837e-06,1.8648333632853564e-07
1910,7.125356148662831e-06,1.3574142299077607e-07
1911,6.791457494159658e-06,1.5003455233753016e-07
1912,6.897273706840679e-06,1.661805302255459e-07
1913,7.524942603254203e-06,1.2780205116413867e-07
1914,6.963943938842476e-06,1.439799929281449e-07
1915,5.7395870243226454e-06,1.9202641965421208e-07
1916,5.687110498087122e-06,1.9557683117454872e-07
1917,6.330916754393456e-06,1.897191417299382e-07
1918,6.1096037597963004e-06,1.274987795341076e-07
1919,6.868133894499806e-06,1.464047854060624e-07
1920,7.086094271357979e-06,1.3327127446061127e-07
1921,7.756007740056248e-06,1.6508588807084834e-07
1922,7.892177649182486e-06,1.1509579156410155e-07
1923,6.864272222628642e-06,1.4756168109641976e-07
1924,7.527419640496191e-06,1.4309702578430006e-07
1925,6.146881680990646e-06,1.5177485290784887e-07
1926,6.793571181162861e-06,1.6384824030879486e-07
1927,6.245795681536492e-06,1.7838760113519925e-07
1928,7.516050104072747e-06,2.2166519375588223e-07
1929,6.460321714030215e-06,2.785101713698168e-07
1930,7.277947112527272e-06,2.0061882821664767e-07
1931,7.759063905155017e-06,2.6688535825769577e-07
1932,7.64646861739493e-06,1.775444880003363e-07
1933,8.02716957082339e-06,1.4911860368727048e-07
1934,7.638257461195508e-06,1.785255498987226e-07
1935,8.292824247746466e-06,1.6276865988373856e-07
1936,8.587935241166633e-06,1.8914554500426561e-07
1937,8.670243722974647e-06,1.2968852081129967e-07
