year,aurons_VERB eu_VERB,aurons_VERB dû_VERB
1800,9.118077315406481e-08,0.0
1801,8.572257570449437e-08,2.3811825844433088e-09
1802,8.727576528144709e-08,8.951360541686881e-09
1803,2.145373123596528e-08,5.851017448321727e-09
1804,1.0628959046243835e-07,0.0
1805,4.8328921309348516e-08,2.842877711017877e-09
1806,6.916005901302924e-08,8.645007376628655e-09
1807,1.7081731584767113e-08,1.4234775136401367e-08
1808,5.211970233176544e-08,6.798221985349073e-09
1809,3.840352036377226e-08,9.036122072814123e-09
1810,3.2761775514700275e-08,9.360507036149102e-09
1811,2.5070768572277302e-08,3.259199843341776e-08
1812,6.13457871168066e-08,0.0
1813,5.751483289628823e-09,8.627225156487839e-09
1814,1.1328037885505182e-07,6.293354282149721e-09
1815,1.8880564667256294e-08,1.0788894222457657e-08
1816,3.244645441213834e-08,9.270415546325239e-09
1817,5.7604317760251433e-08,0.0
1818,4.2916237674717195e-08,0.0
1819,4.243930362690662e-08,1.035105001712111e-09
1820,3.441279616822612e-08,0.0
1821,5.226588939422072e-08,9.86148829262845e-10
1822,1.0326384369818697e-07,0.0
1823,4.644862983127496e-08,0.0
1824,3.03160057057994e-08,1.0105335235266466e-08
1825,9.509878395874694e-08,1.7610886082763955e-09
1826,5.108631029315802e-08,7.0463874735082754e-09
1827,6.452091128039683e-08,9.217273055917019e-10
1828,4.035812395386529e-08,2.7516904310687096e-09
1829,3.8579290873030914e-08,1.714635211591542e-09
1830,3.339787468803479e-08,3.1310507520032616e-09
1831,5.9246584527272717e-08,0.0
1832,4.329590197471589e-08,1.3529969367098715e-09
1833,8.108539617524002e-09,2.3167257001688313e-09
1834,4.29388435918554e-08,9.334530925997342e-10
1835,3.100866052818674e-08,2.2689263801112247e-09
1836,6.72075017860152e-08,6.720750067579218e-10
1837,3.826840000442644e-08,2.0873671680021744e-09
1838,2.840472923537618e-08,1.009945904684173e-08
1839,3.216078425793967e-08,0.0
1840,3.9492068282243054e-08,1.3376346252869098e-08
1841,2.43980835534785e-08,1.926164561183441e-09
1842,3.890793820460203e-08,0.0
1843,3.2488010504039266e-08,2.953455480181333e-09
1844,3.677336124496833e-08,2.195424508855126e-09
1845,3.627148004170522e-08,1.2276501593078137e-08
