year,mes_DET hommages_NOUN,mes_DET dommages_NOUN
1944,2.2813621569639508e-07,3.2131861615880553e-09
1945,2.8320552658556153e-07,0.0
1946,3.0208795465114235e-07,0.0
1947,5.817384760575806e-07,1.1920870957027319e-09
1948,2.761459505506991e-07,2.174377566888097e-09
1949,2.640775207396473e-07,9.817008317369869e-10
1950,2.9459950923182987e-07,6.381216888229346e-09
1951,6.620730488293702e-07,0.0
1952,5.936724676303129e-07,0.0
1953,3.4691723982405165e-07,2.1547654771580937e-09
1954,2.364953779476764e-07,9.772536113672459e-10
1955,3.7542430320058884e-07,1.8771215692936494e-09
1956,3.5320624292012326e-07,8.72114158667614e-10
1957,2.889057455490729e-07,8.835037701437898e-10
1958,3.739054008633502e-07,1.6544486891589827e-09
1959,5.053487655004574e-07,0.0
1960,3.2251084292056476e-07,2.076250060767393e-09
1961,5.09994890762755e-07,2.08444772553662e-09
1962,6.177065685619709e-07,1.2683912808952869e-09
1963,2.845063420409133e-07,6.466053248388448e-10
1964,4.100594637179711e-07,0.0
1965,2.9275431856490286e-07,5.472043373977442e-10
1966,2.852623346427663e-07,0.0
1967,3.480816985756974e-07,9.860671168482327e-10
1968,2.8116263095512295e-07,0.0
1969,2.4616326754767215e-07,6.8126366770115965e-09
1970,2.4603179582527446e-07,9.197450023812337e-10
1971,4.2597315541570424e-07,3.083038491169532e-09
1972,4.3401043825497254e-07,5.130146862875051e-10
1973,3.2252241055630293e-07,0.0
1974,1.8733154050210032e-07,5.625571675160757e-10
1975,2.0218639917857217e-07,5.711480177694739e-10
1976,2.0283020774058969e-07,0.0
1977,1.9687219499076036e-07,5.876781838942691e-10
1978,1.8950485980440135e-07,5.940591352171509e-10
1979,2.639239973234453e-07,1.7555920051037788e-09
1980,2.8312050659451415e-07,5.685150683554241e-10
1981,2.523894231387658e-07,6.325549528618524e-10
1982,2.1105507741481233e-07,1.2415004579935385e-09
1983,3.113450759428815e-07,6.315316047889041e-10
1984,2.122437123830423e-07,5.219107812592938e-09
1985,1.9851341193088956e-07,6.015558051686298e-10
1986,2.1640092739971806e-07,0.0
1987,1.857688332052021e-07,0.0
1988,2.3026766626799144e-07,5.996553809062277e-10
1989,3.248968383218198e-07,4.939309850016116e-09
1990,1.8525413736369956e-07,1.089730194969718e-09
1991,1.7291322507162477e-07,1.1722930404189924e-09
1992,2.6447732182077743e-07,2.2039776670368383e-09
1993,1.8999482165327208e-07,0.0
1994,4.4098387519397875e-07,1.0549853213248639e-09
1995,2.54312944036883e-07,1.626735190995987e-09
1996,2.8612174673980917e-07,1.067618438099771e-09
1997,2.85775712427494e-07,9.58978896292706e-10
1998,1.8595704531776391e-07,9.536258449571733e-10
1999,2.8609458624373474e-07,0.0
2000,2.067638718017406e-07,4.4180314962005696e-10
2001,3.0405610473849265e-07,8.762423564512289e-10
2002,1.6648641576466616e-07,8.76244299341522e-10
2003,1.8459467909792693e-07,4.1669229178253886e-10
2004,1.6826302839945129e-07,1.7619165015858584e-09
2005,1.5673048281428237e-07,0.0
2006,2.268957324247367e-07,8.235779835885637e-10
2007,2.1849802323004042e-07,1.997239706952314e-09
2008,1.7157482545826497e-07,8.514879357157668e-10
2009,2.1075410927551275e-07,1.430457752249481e-09
2010,1.4643758206034363e-07,4.723792912386671e-09
2011,1.4378134594039693e-07,1.529588788962144e-09
2012,1.794041146752079e-07,1.0212758416727752e-09
2013,1.9858570610153947e-07,0.0
2014,2.793424300762126e-07,2.3819897165822113e-09
2015,2.693139116161092e-07,1.329945265027277e-09
2016,2.947516897222613e-07,8.285360175719347e-10
2017,2.0275827239402133e-07,1.7609279590047322e-09
2018,2.4446489277352157e-07,2.581466596041082e-09
2019,2.6581291834304466e-07,2.5509878653906526e-09
