year,quelles_DET âmes_NOUN,quelles_DET ames_NOUN,quelles_DET dames_NOUN
1800,6.288328968651058e-09,4.087413785214267e-08,0.0
1801,0.0,4.7623651688866175e-09,4.7623651688866175e-09
1802,0.0,8.951360541686881e-09,4.475680270843441e-09
1803,3.900678446910888e-09,1.950339223455444e-09,0.0
1804,4.943701892301533e-09,5.6852571983512235e-08,0.0
1805,5.685755422035754e-09,3.1271654599152043e-08,0.0
1806,0.0,0.0,2.881669125542885e-09
1807,2.8469551160981155e-09,1.7081731584767113e-08,0.0
1808,2.2660739951163578e-09,0.0,2.2660739951163578e-09
1809,0.0,9.036122072814123e-09,0.0
1810,7.020380277111826e-09,4.680253518074551e-09,4.680253518074551e-09
1811,2.5070767684098882e-09,1.504245972228091e-08,0.0
1812,1.600324983641599e-08,5.3344164641089264e-09,5.3344164641089264e-09
1813,0.0,0.0,2.8757416448144113e-09
1814,3.1466771410748606e-09,0.0,6.293354282149721e-09
1815,5.394447111228828e-09,1.0788894000413052e-08,0.0
1816,0.0,4.6352077731626196e-09,1.1588019432906549e-08
1817,1.5568733857662664e-08,1.712560715461109e-08,2.0239354636686357e-08
1818,8.344823942962876e-09,2.265023657521681e-08,1.1921177378582115e-09
1819,1.449147024601416e-08,0.0,0.0
1820,1.3053129244156025e-08,2.3732962262101864e-09,0.0
1821,4.9307441463142254e-09,1.3806083165590621e-08,1.4792232327920374e-08
1822,1.1028177482330648e-08,2.8071724500478012e-08,1.9048670196752937e-08
1823,1.8777105204037525e-08,4.941343556552624e-09,2.174191138237802e-08
1824,4.463189817727198e-08,5.894778887238772e-09,8.421112696055388e-10
1825,1.2327620702023978e-08,1.0566531649658373e-08,8.805443041381977e-10
1826,4.403992170942672e-09,9.688782998118484e-09,8.807984341885344e-10
1827,6.452091305675367e-09,5.5303638335502114e-09,9.217273055917019e-10
1828,5.5033806956039655e-09,1.2841221697090788e-08,9.172301251858528e-10
1829,3.429270478694235e-09,1.2859763753869657e-08,1.800366966620004e-08
1830,1.1480519201967354e-08,1.2524203008013046e-08,1.5655253760016308e-08
1831,6.236482441579483e-09,0.0,0.0
1832,5.411987746839486e-09,1.623596324051846e-08,1.3529969367098715e-09
1833,3.4750886612755494e-09,1.0425265983826648e-08,0.0
1834,1.213489042584115e-08,1.213488998175194e-08,0.0
1835,1.1344631900556124e-08,1.8151411040889798e-08,1.9664028627630614e-08
1836,3.3603749782784575e-09,1.5457725766054864e-08,1.7473949731616756e-08
1837,2.0873672124110954e-08,6.957890930081589e-10,2.4352617478129446e-08
1838,1.7042836475411605e-08,3.787297142565649e-09,5.680945491803868e-09
1839,7.690622361167243e-09,9.788065025162496e-09,4.194885327990505e-09
1840,7.643626342979104e-09,3.821813199245128e-09,6.369688665408546e-10
1841,1.219904222082846e-08,6.420548537278137e-10,2.247191943638427e-08
1842,7.379091560011375e-09,5.366612043644636e-09,8.049918065466954e-09
1843,1.5948660392339775e-08,2.953455480181333e-09,2.3627644840651385e-09
1844,8.78169825746511e-09,0.0,1.6465683816413446e-09
1845,1.395057031006175e-08,1.1160455892778032e-09,5.580227946389016e-10
1846,9.952652257894101e-09,0.0,1.1709002656346001e-09
1847,8.089835468183537e-09,0.0,5.393223645455691e-10
1848,8.849743937666688e-09,0.0,6.43617736884039e-09
1849,9.217355989576959e-09,0.0,1.6758829879393033e-09
1850,8.82569484161877e-09,2.7155984128057753e-09,1.3577992064028876e-09
1851,1.7413484876271923e-08,0.0,1.2898877521649865e-09
1852,3.059956332762681e-08,9.765818376195057e-09,9.114763388495817e-09
1853,1.6721409146214228e-08,0.0,7.763511389313749e-09
1854,4.1045749910040286e-08,0.0,7.27393034694046e-09
1855,2.2819829581521844e-08,2.653468555990912e-09,5.306937111981824e-10
1856,4.2970671465525356e-08,0.0,3.6240323519898254e-09
1857,1.9526035899275485e-08,9.763018171682347e-10,1.073931987782828e-08
1858,1.4191660735463074e-08,0.0,2.9362056730430908e-08
1859,1.2221216483254693e-08,1.5276520048956854e-09,4.582956014687056e-09
