year,voulions_VERB écrire_VERB,voulions_VERB décrire_VERB
1800,0.0,0.0
1801,1.4287095950749062e-08,0.0
1802,0.0,0.0
1803,3.900678446910888e-09,0.0
1804,9.887403784603066e-09,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,8.645007376628655e-09
1807,0.0,0.0
1808,0.0,0.0
1809,9.036122072814123e-09,6.7770917766551975e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,3.467370746079723e-08
1813,0.0,0.0
1814,0.0,3.776012391654149e-08
1815,2.697223555614414e-09,0.0
1816,9.270415546325239e-09,2.3176038865813098e-09
1817,0.0,0.0
1818,7.152706427149269e-09,5.960588467246453e-09
1819,0.0,1.1386155129855524e-08
1820,0.0,2.3732962262101864e-09
1821,2.9584463767662328e-09,0.0
1822,0.0,1.0025615893027862e-09
1823,0.0,8.894418535021487e-09
1824,8.421112696055388e-09,5.052667617633233e-09
1825,0.0,8.805443485471187e-09
1826,2.642395191543301e-09,2.642395191543301e-09
1827,0.0,1.1060727445055818e-08
1828,0.0,2.659967357487858e-08
1829,5.143905745796928e-09,1.628903412154159e-08
1830,0.0,0.0
1831,0.0,6.236482441579483e-09
1832,0.0,5.411987746839486e-09
1833,1.7375443306377747e-08,1.853380560135065e-08
1834,2.8003592777992026e-09,1.6802156110884425e-08
1835,0.0,1.4369867074037757e-08
1836,1.2097349788575684e-08,0.0
1837,4.87052354003481e-09,9.045257876039159e-09
1838,0.0,6.943378316748294e-09
1839,0.0,8.38977065598101e-09
1840,0.0,1.8472096741106725e-08
1841,6.420548537278137e-10,8.346713542550788e-09
1842,3.3541325272778977e-09,6.037438549100216e-09
1843,0.0,4.134837805480629e-09
1844,1.2074834465636286e-08,1.6465683927435748e-08
1845,2.7901139176833567e-09,9.48638767539478e-09
1846,8.196302303531411e-09,8.781752214304106e-09
1847,5.393223645455691e-10,1.6179670936367074e-09
1848,2.413566457803995e-09,2.413566457803995e-09
1849,0.0,1.4245005175439474e-08
1850,1.3577992064028876e-08,9.504594444820214e-09
1851,3.8696632564949596e-09,9.674158363282004e-09
1852,2.6042181744401205e-09,5.859490670445666e-09
1853,2.388772735173461e-09,1.0749477752369785e-08
1854,5.7152309551611324e-09,1.0391328686409906e-08
1855,1.5920811335945473e-09,1.0083180512765466e-08
1856,8.28350277259915e-09,1.0872097000458325e-08
1857,7.810414537345878e-09,1.0739319655783675e-08
1858,4.893676130990343e-09,4.893676130990343e-09
1859,4.073738679721828e-09,3.5645213447565993e-09
1860,6.408057640072684e-09,1.2358396972445007e-08
1861,7.545541969022906e-09,1.226150558863992e-08
1862,4.9697850279528666e-09,5.421583626485926e-09
1863,1.4983863039219614e-09,7.491931519609807e-09
1864,2.3973640850272204e-09,1.2466292886870178e-08
1865,2.3534221238463715e-09,1.4120533631256649e-09
1866,5.352174259343201e-09,6.3252967308358166e-09
1867,9.7056229719783e-10,8.73506067478047e-09
1868,1.975949626142892e-09,1.1361710683388537e-08
1869,4.395167341186834e-09,2.5882650689368347e-08
1870,9.17447806614291e-09,7.454262984651905e-09
1871,9.559059321873065e-09,0.0
1872,5.442605477412599e-09,8.4662747923403e-09
1873,5.986004469882289e-10,1.1972009161809183e-08
1874,1.1351757756017378e-08,1.4339061493728877e-08
1875,5.721527140956084e-10,1.2015206607429718e-08
1876,1.813804439976252e-09,4.232210137899983e-09
1877,3.710889595609501e-09,6.184816214727107e-09
1878,4.831270938865373e-09,9.058632954861423e-09
1879,6.10932526790009e-10,1.832797580370027e-09
1880,0.0,2.5671385017744797e-09
1881,9.064259565150223e-09,0.0
1882,9.983077475794744e-09,1.3310770263785798e-09
1883,5.0554711528150165e-09,1.2006744043446815e-08
1884,4.621187876807653e-09,7.922036360241691e-09
1885,1.160214413431504e-08,1.0957580620640783e-08
1886,6.453463874400711e-10,4.5174246565693466e-09
1887,1.3057849246322917e-09,5.223139698529167e-09
1888,6.340614699951175e-10,2.53624587998047e-09
1889,3.759081934617825e-09,5.012109394186837e-09
1890,6.554386478008212e-10,1.3108772733971819e-08
1891,7.0116419337296065e-09,7.0116419337296065e-09
1892,3.761107425503951e-09,6.8953633913793055e-09
1893,1.2316833108982905e-09,3.079208221734575e-09
1894,7.561847148451761e-09,1.8904617871129403e-09
1895,2.4074457982692365e-09,5.416753268150387e-09
1896,5.307326134129653e-09,1.7691086373616827e-09
1897,2.330685422435863e-09,2.330685422435863e-09
1898,3.3950129374460403e-09,2.8291773368493978e-09
1899,3.3165470370022376e-09,1.1055156790007459e-09
1900,4.671947717582725e-09,7.26747462209687e-09
1901,5.58873880507349e-09,1.1177477832191585e-09
1902,9.820567692386817e-10,9.820567692386817e-10
1903,3.2401321625741275e-09,7.560307935250421e-09
1904,5.374625189347171e-10,4.299700151477737e-09
1905,2.580379465655369e-09,5.160759042333041e-10
1906,2.0576738091193647e-09,2.572092316910357e-09
1907,1.028568674676933e-09,4.6285588695127444e-09
1908,1.4734167219643268e-09,9.822778146428846e-10
1909,1.6502950117569526e-09,4.950885035270858e-09
1910,5.34415089958884e-09,5.878565634276356e-09
