year,les_DET yeux_NOUN,les_DET dieux_NOUN
1800,0.0001025060491883778,2.1229398612376826e-05
1801,9.941199050444993e-05,2.297364898140586e-05
1802,0.00010179487208006321,2.665267595602927e-05
1803,0.00010422807645227294,2.3162228188766676e-05
1804,9.626870951251476e-05,3.2312035330051e-05
1805,9.488104592492164e-05,2.1475098151313432e-05
1806,8.220249617352238e-05,2.3721900674900098e-05
1807,7.849054895814334e-05,1.8402717671506252e-05
1808,9.373841407978034e-05,2.641335913722287e-05
1809,8.105401502689347e-05,1.6899806894343783e-05
1810,0.00010389929093435057,2.9904478878961527e-05
1811,8.05924919404788e-05,2.4962963152574957e-05
1812,7.7773121915925e-05,1.9459951545286458e-05
1813,8.904159142275603e-05,2.108206200546192e-05
1814,8.399110367918183e-05,1.408767366228858e-05
1815,8.04446948450277e-05,1.1536024800307132e-05
1816,9.330209718427795e-05,1.2137291804492634e-05
1817,9.829787632043008e-05,2.1790000886312555e-05
1818,9.738409494275402e-05,2.0869212221441558e-05
1819,9.329504973720759e-05,2.1948366082824577e-05
1820,9.070263513422105e-05,2.0467306370619553e-05
1821,9.514265093457652e-05,2.6498805112851187e-05
1822,8.882996121428732e-05,2.3448913253787396e-05
1823,8.762978677623323e-05,1.640229541521876e-05
1824,8.590376751271833e-05,2.1030887538131537e-05
1825,9.316863247477158e-05,2.226368255264788e-05
1826,8.825072131912748e-05,1.6373162466720714e-05
1827,7.953215936140623e-05,1.7042737795236462e-05
1828,8.569039050598803e-05,1.4253755978188565e-05
1829,9.187444129565847e-05,1.4800731520381305e-05
1830,9.189216780214338e-05,1.8131914686136952e-05
1831,8.978508049040101e-05,2.3254284627682864e-05
1832,9.637397261030856e-05,1.6047896693294206e-05
1833,8.695482347320649e-05,2.3513608056191515e-05
1834,9.190312744067342e-05,1.9723864426168802e-05
1835,9.674777379586885e-05,1.8253512450883136e-05
1836,9.116495948546799e-05,1.5403287150661527e-05
1837,8.948613253778603e-05,1.5341453753592305e-05
1838,8.266533609457838e-05,1.543134219161857e-05
1839,8.271194860753894e-05,1.3397064783760015e-05
1840,8.449455845038756e-05,1.3882736482173641e-05
1841,8.343117337972217e-05,1.360385827808841e-05
1842,8.688075115514948e-05,1.5861692560292795e-05
1843,8.813111287508946e-05,1.968655337236669e-05
1844,8.758700801081432e-05,1.3779032784100309e-05
1845,8.663304015499307e-05,1.612183703514347e-05
1846,8.527022941962059e-05,1.3539705349785436e-05
1847,7.724228885308548e-05,1.0296203491577671e-05
1848,7.969114017214451e-05,1.2204601461007769e-05
1849,7.812966305209557e-05,1.1416115114570857e-05
1850,8.02079159711866e-05,1.626032446466752e-05
1851,7.457421190792957e-05,1.3037540291804817e-05
1852,8.274968490695755e-05,1.226521676755965e-05
1853,8.693998051967355e-05,1.3117348359514835e-05
1854,8.869934436006588e-05,1.1967173620064386e-05
1855,9.147036689682864e-05,1.6331568645000516e-05
1856,8.653102509015298e-05,1.2018327097962356e-05
1857,8.628359955764608e-05,1.5071170693659042e-05
1858,8.937809866438329e-05,1.5557975245883426e-05
1859,9.016609351419902e-05,1.5001542763570797e-05
1860,9.550981121719815e-05,1.353290156203002e-05
1861,9.041587486535718e-05,1.5542401982315823e-05
1862,9.06741740891448e-05,1.486236732262114e-05
1863,9.127769158112642e-05,1.9111416690975602e-05
1864,8.981436417343502e-05,1.575499689465687e-05
1865,9.051920460478868e-05,1.4824206232333381e-05
1866,8.949954576564778e-05,1.5214284843523274e-05
1867,9.007594735521707e-05,1.1798154929465454e-05
1868,8.650509971630527e-05,1.2310165985240928e-05
1869,9.100828674490913e-05,1.3344704484552494e-05
1870,8.464029565402598e-05,1.480703392076066e-05
1871,8.135715438584157e-05,1.2788959267595601e-05
