year,ces_DET hommages_NOUN,ces_DET dommages_NOUN
1800,2.703981412111034e-07,1.006132670511306e-07
1801,3.5003384368792467e-07,1.2144031558136703e-07
1802,3.2448681963614945e-07,2.304975339484372e-07
1803,3.0620324587005143e-07,2.2038833691340187e-07
1804,4.671798308208963e-07,4.1774281100970256e-07
1805,3.7525986584796556e-07,4.065315195589392e-07
1806,3.573269609091767e-07,3.3715527791855493e-07
1807,2.932363827312656e-07,8.028413276406354e-07
1808,3.1951643819638775e-07,5.91445314057637e-07
1809,3.320774943915694e-07,3.591858472873355e-07
1810,4.6568523259793437e-07,4.6802534114931404e-07
1811,1.7549537645322744e-07,4.788516534404152e-07
1812,4.374221518332888e-07,4.507581792267956e-07
1813,3.479647503468186e-07,2.386865602943544e-07
1814,3.7130791152861775e-07,2.4858749725353846e-07
1815,3.5333629355704943e-07,2.2656678488885973e-07
1816,2.4798361053512963e-07,1.1588019432906549e-07
1817,3.829908568064866e-07,1.665854512111764e-07
1818,3.8863038653857984e-07,1.227881272214404e-07
1819,6.748884651130993e-07,2.225475768113938e-07
1820,3.4531460713083106e-07,2.1003671513142308e-07
1821,4.22071703809479e-07,3.0965071928790167e-07
1822,3.2382739334479993e-07,2.0051231786055723e-07
1823,2.8066831525563884e-07,2.223604553819314e-07
1824,3.2673917615966275e-07,2.5600182240737013e-07
1825,4.790160943457522e-07,3.1699594771339434e-07
1826,2.897826929526559e-07,2.4398116593715713e-07
1827,4.304466578730626e-07,4.958893029538558e-07
1828,3.283683760457734e-07,4.576978227532891e-07
1829,3.6693192484449355e-07,3.900795171318805e-07
1830,2.6509562545129484e-07,5.22885464704359e-07
1831,2.4945929411046563e-07,6.298847523567019e-07
1832,2.611284095621613e-07,3.423082297615565e-07
1833,3.104412478194263e-07,4.1237716885689224e-07
1834,4.0325172534494413e-07,4.3965641793874966e-07
1835,3.5243989771061024e-07,3.2218753887036655e-07
1836,2.432911578864605e-07,3.353654136617479e-07
1837,1.9551674057538548e-07,3.534608659094829e-07
1838,2.638483636019373e-07,2.93515519445009e-07
1839,2.7826072646064404e-07,3.069257488164112e-07
1840,2.8982083222217625e-07,3.025602168804653e-07
1841,3.0754427982060406e-07,4.963083881648345e-07
1842,3.340715863942023e-07,4.2731647909022286e-07
1843,3.6445642592752847e-07,3.1306628400784575e-07
1844,3.929809970770748e-07,4.807979578913546e-07
1845,4.2130721666922e-07,5.156130669092818e-07
1846,4.0278967716744773e-07,3.9342248925322565e-07
1847,3.0471712619828395e-07,5.565806873164547e-07
1848,2.6066518543643724e-07,4.94781133397737e-07
1849,3.0836248043897285e-07,6.904638141236319e-07
1850,3.74752580967197e-07,4.90844428213677e-07
1851,3.2763149704351235e-07,4.998314935278358e-07
1852,3.0664670092050983e-07,4.609466159877229e-07
1853,3.2785905901278056e-07,3.2128994220670393e-07
1854,4.0526181876998635e-07,3.912335202471695e-07
1855,3.714855978387277e-07,4.118183305479306e-07
1856,3.8000568380880395e-07,3.634386764872488e-07
1857,3.6660133062582645e-07,3.436582431959323e-07
1858,3.0928031513610676e-07,3.743662269073411e-07
1859,3.69691791846094e-07,4.491296898834207e-07
1860,3.396270393807299e-07,2.8882030278509774e-07
1861,3.074808283543007e-07,3.9897053483173295e-07
1862,3.257468144113318e-07,4.237871031875784e-07
1863,2.996772607843923e-07,3.601121747465186e-07
1864,3.845371665534003e-07,2.6562793564721687e-07
1865,2.984139477746339e-07,3.760768549909699e-07
1866,3.459450752529847e-07,3.3961977408125676e-07
1867,3.139769120252822e-07,3.518288238524292e-07
1868,3.3146554834218023e-07,3.5073104953653456e-07
1869,2.6957025411888935e-07,2.778722336671535e-07
1870,2.740875295614842e-07,2.918630919168663e-07
1871,2.8783389893760614e-07,5.629224126835197e-07
1872,3.192995183809444e-07,3.936817805083592e-07
1873,2.292639660339546e-07,4.136329181392284e-07
1874,2.9514569810373814e-07,4.020912030000545e-07
1875,2.683396189695486e-07,3.152561554031763e-07
1876,2.611878446856508e-07,3.663885017601842e-07
1877,2.480111191971446e-07,3.9706519672222385e-07
1878,3.0618179458485884e-07,3.1101305353331554e-07
1879,2.3398715320865904e-07,3.873312266478024e-07
1880,2.971462862433327e-07,3.5426511146852135e-07
1881,2.3427625706062827e-07,2.963315601789418e-07
1882,2.7553294046356314e-07,3.793569405274866e-07
1883,2.369752039044215e-07,4.259234387404831e-07
1884,3.0301788456199574e-07,2.9839669579700967e-07
1885,3.003666328993404e-07,3.325948156884806e-07
1886,2.49103708327425e-07,3.278359628211547e-07
1887,2.3569418239333118e-07,3.9108258320652567e-07
1888,2.1684902584695465e-07,4.6349892812713733e-07
1889,2.393282301227373e-07,3.827998504846164e-07
1890,2.877375653298486e-07,3.8670880897484494e-07
1891,2.466823225688586e-07,3.818157772172981e-07
1892,2.074877549773646e-07,3.761107336686109e-07
1893,2.6296438093709185e-07,4.3724756793039887e-07
1894,2.1173172726207667e-07,4.442585250785669e-07
1895,2.5518925816925275e-07,3.424591685785572e-07
1896,1.780902731951528e-07,3.5264234377052617e-07
1897,2.4297395739836247e-07,3.828150880735848e-07
1898,1.646581342384934e-07,4.724726316851502e-07
1899,2.625599719863203e-07,3.5376502971473656e-07
1900,2.1335228872487733e-07,3.4572415330558215e-07
1901,1.9448811450217818e-07,3.906528540653653e-07
1902,1.620393632606465e-07,3.240787442848614e-07
1903,1.7496713411446763e-07,3.5641455298218716e-07
1904,1.6930070145804166e-07,3.826733063760912e-07
1905,1.7133720575657208e-07,4.046035222415867e-07
1906,1.7078692593486267e-07,3.873571046142388e-07
1907,1.8668521484244138e-07,3.4765622203281055e-07
1908,1.5077964476972738e-07,2.7209095065927613e-07
1909,2.1783894688098826e-07,3.3115922093429617e-07
