year,as_VERB écrit_VERB,as_VERB décrit_VERB
1800,2.2009151834367913e-08,0.0
1801,2.3811825844433088e-09,0.0
1802,1.1189200677108602e-08,0.0
1803,9.751696339321825e-09,0.0
1804,1.4831105232815389e-08,0.0
1805,3.4114531644036106e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,0.0,0.0
1809,1.581321384946932e-08,0.0
1810,3.042164919975221e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,8.627225156487839e-09,1.7254450312975678e-08
1814,4.090680150170556e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,4.670620334934483e-09,0.0
1818,5.960588467246453e-09,0.0
1819,4.140420006848444e-09,0.0
1820,2.610625848831205e-08,0.0
1821,2.9584464655840748e-08,0.0
1822,2.5064039732569654e-08,0.0
1823,2.3718449426723964e-08,0.0
1824,2.189489300974401e-08,0.0
1825,1.2327619813845558e-08,0.0
1826,3.2589543508265706e-08,0.0
1827,6.452091305675367e-09,0.0
1828,1.9261833017480967e-08,0.0
1829,8.573175946935407e-09,0.0
1830,1.3567886369969528e-08,0.0
1831,5.14509785887185e-08,0.0
1832,1.488296597074168e-08,0.0
1833,1.50587169400751e-08,0.0
1834,5.694063887062839e-08,0.0
1835,3.025235173481633e-08,0.0
1836,1.9490174807401672e-08,0.0
1837,4.800944708449606e-08,5.5663127440652715e-09
1838,1.9567702125300457e-08,0.0
1839,2.307186797168015e-08,0.0
1840,3.05745047057826e-08,0.0
1841,4.4301785351308354e-08,0.0
1842,5.366612043644636e-08,0.0
1843,3.2488010504039266e-08,0.0
1844,1.975882035765153e-08,5.488561272137815e-10
1845,2.5669049108500985e-08,1.674068439427856e-09
1846,2.9272506196775794e-08,0.0
1847,3.343798482546845e-08,0.0
1848,2.011305433313737e-08,0.0
1849,1.1731181359664333e-08,0.0
1850,2.987158254086353e-08,2.0366988096043315e-09
1851,1.2253933867611977e-08,6.449438760824933e-10
1852,1.7578472011337e-08,0.0
1853,3.4637203327747557e-08,0.0
1854,2.0782657372819813e-08,1.0391328908454511e-09
1855,2.7065379271107304e-08,0.0
1856,2.6403665032148638e-08,0.0
1857,2.6848299583548396e-08,3.4170564155999728e-09
1858,2.6425849952715907e-08,4.893676019968041e-10
1859,4.073738679721828e-08,5.092173349652285e-10
1860,2.242820151820979e-08,0.0
1861,3.0182167876091626e-08,4.715963730639317e-10
1862,1.8523744316212287e-08,0.0
1863,3.995696573610985e-08,1.9978483312144135e-09
1864,2.828889478223573e-08,0.0
1865,1.8827376990770972e-08,0.0
1866,3.0166798836717135e-08,0.0
1867,2.5719900875742496e-08,0.0
1868,1.3831646938911035e-08,0.0
1869,2.1487483792270723e-08,4.883519144627257e-10
1870,3.612450782952692e-08,5.734048791339319e-10
1871,3.3987767267262825e-08,0.0
1872,2.9027228620748247e-08,0.0
1873,3.052862140862089e-08,0.0
1874,2.9275584623178474e-08,0.0
1875,5.034943839632433e-08,5.721527140956084e-10
1876,2.418405919968336e-08,0.0
1877,2.783167118991514e-08,0.0
1878,2.4760263173106978e-08,0.0
1879,3.176849006081284e-08,0.0
1880,2.5671385017744797e-08,6.417846254436199e-10
1881,2.091752193678076e-08,0.0
1882,1.9966154951589488e-08,0.0
1883,1.3902545781263598e-08,6.319338941018771e-10
1884,2.3766109080725073e-08,0.0
1885,2.900535989169839e-08,1.2891271383708158e-09
1886,2.710454793941608e-08,3.872078213618124e-09
1887,2.0892558794116667e-08,0.0
1888,2.1558090423923204e-08,0.0
1889,2.6940087494153886e-08,0.0
1890,2.818386235503567e-08,0.0
1891,2.103492668936724e-08,0.0
1892,2.5074049503359674e-08,0.0
1893,2.46336657738766e-08,0.0
1894,2.0164925729204697e-08,4.411077725308132e-09
1895,3.069493459406658e-08,0.0
1896,3.066455178668548e-08,0.0
1897,2.505486840220783e-08,0.0
1898,3.055511754723739e-08,0.0
1899,2.3768587098516036e-08,0.0
1900,4.049021384844309e-08,1.5573159428683425e-09
1901,2.459045056468767e-08,5.588738916095792e-10
1902,3.338993082024899e-08,0.0
1903,3.888158772724637e-08,0.0
1904,5.482117870769798e-08,0.0
1905,3.767354073147544e-08,0.0
1906,3.9095802151223324e-08,2.0576738091193647e-09
1907,4.525702124169584e-08,0.0
1908,3.241516921548282e-08,0.0
1909,3.905698164885507e-08,0.0
1910,6.787071527014632e-08,0.0
1911,3.085817112946643e-08,5.320374141248863e-10
1912,2.5526164293410147e-08,5.209421227725386e-10
1913,3.606033160963307e-08,2.121195885607108e-09
1914,2.276892807628883e-08,0.0
1915,1.4136913861761968e-08,0.0
1916,3.955486249651585e-08,0.0
1917,3.61891991929042e-08,1.0966424435210342e-09
1918,1.722956355365568e-08,0.0
1919,3.038589824200244e-08,0.0
1920,4.997673030970873e-08,0.0
1921,4.240738604721628e-08,7.572747429129834e-10
1922,4.943216680430851e-08,2.2133805899215986e-09
1923,4.777176698667063e-08,0.0
1924,5.9301473953610184e-08,2.578324886925998e-09
1925,3.8493624288094e-08,1.0998177923937646e-09
1926,4.681378129589575e-08,0.0
1927,8.250426475342465e-08,0.0
1928,4.4561559775502246e-08,0.0
1929,4.3447585085232276e-08,1.1140406375176326e-09
1930,3.7812974085227324e-08,0.0
1931,6.84321435073798e-08,1.1405356659111021e-09
1932,4.383814555808385e-08,0.0
1933,4.473558234963093e-08,0.0
1934,5.751158482780738e-08,2.3963160344919743e-09
1935,5.744776387928141e-08,0.0
1936,4.364897421282876e-08,0.0
1937,5.414180748175568e-08,3.777335333410292e-09
1938,2.9819993585533666e-08,0.0
1939,5.199976982339649e-08,0.0
1940,7.353770570261986e-08,0.0
1941,2.3612020783048138e-08,0.0
1942,3.6410540360520827e-08,0.0
1943,5.516146828199453e-08,0.0
1944,3.855823393905666e-08,0.0
1945,6.753362669087437e-08,2.178504043826024e-09
1946,5.707652661612883e-08,2.7842208538686464e-09
1947,7.629357412497484e-08,0.0
1948,6.52313261184645e-08,0.0
1949,6.577395339490977e-08,9.817008317369869e-10
1950,6.7002780212988e-08,1.0635361480382244e-09
1951,5.543929049167673e-08,1.0661401761424827e-09
1952,4.323369751091377e-08,0.0
1953,4.417269394707546e-08,0.0
1954,6.156697907044872e-08,0.0
1955,5.9129330765017585e-08,0.0
1956,6.802490304380626e-08,8.72114158667614e-10
1957,5.301022554249357e-08,8.835037701437898e-10
1958,6.948684472263267e-08,1.6544486891589827e-09
1959,4.5729411368711226e-08,0.0
1960,5.1906251741229426e-08,0.0
1961,6.739714564218957e-08,0.0
1962,5.2638238656754766e-08,6.341956404476434e-10
1963,6.142750663684637e-08,0.0
1964,9.308471504709814e-08,0.0
1965,4.9795595202795084e-08,0.0
1966,7.92087675449693e-08,0.0
1967,6.21222255858811e-08,4.930335584241163e-10
1968,5.075299824852664e-08,2.245707841908029e-09
1969,5.0867686951505675e-08,1.3625273131978588e-09
1970,6.3002531192069e-08,1.3796175313274261e-09
1971,4.984245549621846e-08,0.0
1972,3.745007148836521e-08,3.0780880067027283e-09
1973,5.623467913551394e-08,5.513203782392395e-10
1974,5.2880373857533414e-08,1.1251143350321513e-09
1975,7.253579781263397e-08,2.2845920710778955e-09
1976,6.913367656125047e-08,1.142705374768127e-09
1977,6.229388560541338e-08,5.876781838942691e-10
1978,7.247521693898307e-08,1.7821774056514528e-09
1979,6.320131262782525e-08,2.925986564150662e-09
1980,5.9125568441231735e-08,5.685150683554241e-10
1981,7.147870917378896e-08,3.1627747087981106e-09
1982,8.938803119917793e-08,2.483000915987077e-09
1983,5.7469375036589554e-08,2.5261264191556165e-09
1984,5.9149886766363124e-08,1.739702604197646e-09
1985,7.399136592312061e-08,6.015558051686298e-10
1986,5.994485263727256e-08,4.196139880008332e-09
1987,4.766437200487417e-08,1.2221633705067347e-09
1988,7.135898982824074e-08,2.398621523624911e-09
1989,5.6527657221749905e-08,1.0976244357863152e-09
1990,7.192219442231362e-08,0.0
1991,6.447611866633451e-08,1.7584396161396398e-09
1992,5.7303420675225425e-08,5.509944167592096e-10
1993,9.85978942935617e-08,2.2156829704300662e-09
1994,6.488159698392337e-08,2.1099706426497278e-09
1995,7.428757697880428e-08,1.626735190995987e-09
1996,6.672615171510188e-08,2.135236876199542e-09
1997,8.774657089816174e-08,5.753873377756236e-09
1998,9.059445460479765e-08,1.43043876743576e-09
1999,7.677937929884138e-08,1.3710603763428253e-09
2000,8.615161561920104e-08,2.2090156370779823e-09
2001,9.288169167120941e-08,8.762423564512289e-10
2002,7.404264579236042e-08,1.752488598683044e-09
2003,9.125561462042242e-08,2.9168460979889232e-09
2004,1.0835786667939828e-07,1.3214374039449694e-09
2005,7.836523963078434e-08,2.251874686720612e-09
2006,8.276958851638483e-08,1.2353669198716943e-09
2007,1.0505480929623445e-07,4.7933754743212376e-09
2008,1.1495087193225118e-07,3.405951742863067e-09
2009,1.244498264441063e-07,5.721831008997924e-09
2010,1.3840713108947966e-07,3.7790344187271785e-09
2011,1.9081619484495604e-07,7.265546830836911e-09
2012,2.1072324329907133e-07,5.7872298064864935e-09
2013,2.2898716167674138e-07,1.0319762822064149e-08
2014,2.2823792278359178e-07,1.0610681222544827e-08
2015,2.1146129824956006e-07,8.644644111654998e-09
2016,2.3737557341974025e-07,1.2220906064897008e-08
2017,2.8174846988804347e-07,1.0565567976072998e-08
2018,2.705376971334772e-07,1.1100306451794495e-08
2019,2.5280289150941826e-07,1.403043281555938e-08
