year,meilleurs_ADJ essais_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,4.943701892301533e-09
1805,1.1371510844071508e-08
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,1.2535384286138651e-08
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,0.0
1818,2.384235475716423e-09
1819,2.070210003424222e-09
1820,1.3053129244156025e-08
1821,1.97229765852569e-09
1822,5.012807946513931e-09
1823,0.0
1824,1.7684337549894735e-08
1825,1.1447076175841175e-08
1826,7.0463874735082754e-09
1827,1.8434546111834038e-09
1828,7.337841001486822e-09
1829,8.573175946935407e-09
1830,0.0
1831,0.0
1832,6.764984572527055e-09
1833,0.0
1834,4.387229424196448e-08
1835,3.025235173481633e-09
1836,2.688300027031687e-09
1837,4.87052354003481e-09
1838,1.4517972601879592e-08
1839,0.0
1840,5.732719632334238e-09
1841,1.7977535904378783e-08
1842,1.1404050592744852e-08
1843,5.316220019757623e-09
1844,8.781698035420504e-09
1845,8.928364714222425e-09
1846,1.1709002656346001e-08
1847,1.6718992412734224e-08
1848,1.930853166243196e-08
1849,4.189707469848258e-09
1850,0.0
1851,2.579775504329973e-09
1852,1.3672145193766028e-08
1853,1.5527022778627497e-08
1854,1.9223959313308114e-08
1855,1.3798036491152743e-08
1856,8.801221695886596e-09
1857,6.345962033638131e-09
1858,4.404308473482388e-09
1859,1.476730293603623e-08
1860,9.154367819341758e-10
1861,1.1789909493131745e-08
1862,5.421583626485926e-09
1863,1.048870412745373e-08
1864,1.2466292886870178e-08
1865,6.118897610818408e-09
1866,3.8924903300596725e-09
1867,8.249779526181555e-09
1868,8.397785911107292e-09
1869,1.6115612844203042e-08
1870,1.834895568819661e-08
1871,1.805600113868877e-08
1872,7.861540751719076e-09
1873,7.781805866358127e-09
1874,7.169530746864439e-09
1875,2.8607636259891933e-09
1876,1.6928840551599933e-08
1877,1.4843558382438005e-08
1878,6.6429977074733415e-09
1879,9.774920428640144e-09
1880,1.7969970400599777e-08
1881,1.4642266066289267e-08
1882,5.324308105514319e-09
1883,7.58320695126713e-09
1884,2.6406787867472303e-09
1885,9.66845359329227e-09
1886,1.4197620856748472e-08
1887,1.1099172247952538e-08
1888,7.60873763994141e-09
1889,9.397704836544563e-09
1890,5.243509182406569e-09
1891,7.0116419337296065e-09
1892,3.761107425503951e-09
1893,6.774258043407144e-09
1894,1.638400193293421e-08
1895,1.1435367319734269e-08
1896,1.47425724961181e-08
1897,1.3984112534615178e-08
1898,6.7900258748920805e-09
1899,1.4371703827009696e-08
1900,1.2977633190303095e-08
1901,2.179608138419553e-08
1902,2.6515532880466708e-08
1903,9.720396931811592e-09
1904,4.568431322127253e-08
1905,1.7546580910465792e-08
1906,1.3374879426208963e-08
1907,2.0571373937627868e-08
1908,1.5716445478375363e-08
1909,2.3104130164597336e-08
1910,1.6032451588543495e-08
