year,sois_VERB en_PRON,sois_VERB dans_ADP
1800,6.288328968651058e-09,1.477757365364596e-07
1801,1.1905912700171939e-08,1.9525697325661895e-07
1802,2.2378401354217203e-09,1.1636768704192946e-07
1803,1.950339223455444e-09,8.971560561121805e-08
1804,9.887403784603066e-09,1.9527622896475805e-07
1805,2.842877711017877e-09,2.388017206200743e-07
1806,1.729001475325731e-08,1.5272846098923765e-07
1807,0.0,8.256169969911298e-08
1808,0.0,1.0197332933614689e-07
1809,9.036122072814123e-09,1.1295152546608733e-07
1810,1.1700633351097167e-08,1.4742798271072388e-07
1811,7.521229861140455e-09,1.0529722516139373e-07
1812,0.0,1.653669143841796e-07
1813,8.627225156487839e-09,1.3803560250380542e-07
1814,2.8320094713762956e-08,7.866692897096073e-08
1815,1.0788894222457657e-08,6.203614288935455e-08
1816,2.3176038865813098e-09,1.7613788827475219e-07
1817,1.556873407970727e-09,1.2454987086130132e-07
1818,9.536941902865692e-09,1.645122438276303e-07
1819,1.449147024601416e-08,1.1696686641471388e-07
1820,7.119888678630559e-09,1.6375744671393022e-07
1821,2.1695274909916407e-08,2.1202200173320307e-07
1822,1.303330066093622e-08,2.0753024898567674e-07
1823,6.917880934764753e-09,1.6602914210128716e-07
1824,1.1789557774477544e-08,1.3389568565003174e-07
1825,3.522177216552791e-09,1.2239565716498646e-07
1826,1.7615968683770689e-09,1.1186139914354243e-07
1827,4.608636583469661e-09,1.0692036944703887e-07
1828,1.8344602503717056e-09,1.0915038473058303e-07
1829,8.57317605795771e-10,7.372931332128019e-08
1830,4.174734336004349e-09,1.3046044955444813e-07
1831,1.5591206103948707e-09,9.666548095310645e-08
1832,4.058990921151917e-09,1.420646739136444e-07
1833,4.6334514003376626e-09,9.961920710566119e-08
1834,4.667265685043276e-09,1.2601616106167057e-07
1835,1.2100940693926532e-08,1.6865686092160104e-07
1836,1.68018754465038e-08,1.3911952656542326e-07
1837,8.349468672008697e-09,1.2176309382994077e-07
1838,2.1461350030449466e-08,8.90014852927834e-08
1839,6.9914749545318955e-09,9.508406151326199e-08
1840,4.458782232319436e-09,1.178392423639707e-07
1841,1.2841097074556274e-09,1.0465493849309837e-07
1842,1.341653010911159e-09,7.177843963646069e-08
1843,5.906910960362666e-09,8.624090513942306e-08
1844,9.879410178825765e-09,1.1855292308959875e-07
1845,3.9061593959388574e-09,1.1662676319135201e-07
1846,5.854501328173001e-09,1.1474822358970016e-07
1847,4.314578916364553e-09,5.4471558819102484e-08
1848,3.218088684420195e-09,6.275272768085927e-08
1849,8.379414939696517e-10,4.022119171054328e-08
1850,3.394498016007219e-09,7.943125179821209e-08
1851,1.6768540334055615e-08,5.4175285146840224e-08
1852,9.114764054629632e-09,1.054708369530033e-07
1853,6.569124799682413e-09,7.584353389766818e-08
1854,3.63696517347023e-09,7.429800030767097e-08
1855,5.837630823180007e-09,8.17268315245201e-08
1856,7.248064815001953e-09,1.1700447433149463e-07
1857,5.857811125054013e-09,9.42131255232681e-08
1858,4.404308473482388e-09,1.091289725252409e-07
1859,6.619825576592575e-09,8.096555581538212e-08
1860,1.1900677776566226e-08,8.60510563915895e-08
1861,6.6023493339173456e-09,9.431927705527698e-08
1862,1.536115412648087e-08,9.578131002219159e-08
1863,3.995696662428827e-09,9.889349483760412e-08
1864,5.753673537611803e-09,1.1795030729899736e-07
1865,5.177528628053096e-09,1.2049521358470372e-07
1866,7.298419202328432e-09,8.466166312448564e-08
1867,2.91168689159349e-09,1.0724713384036022e-07
1868,2.9639244392143382e-09,7.459209883098339e-08
1869,6.348574999037737e-09,1.1183258707969657e-07
1870,2.2936195165357276e-09,9.747882856459e-08
