year,pas_ADV eu_VERB,pas_ADV dû_VERB
1800,2.0210689399391413e-05,3.939638190786354e-06
1801,2.2166428607306443e-05,4.462336164579028e-06
1802,2.083876825054176e-05,4.186998921795748e-06
1803,1.9162082026014104e-05,4.427270141604822e-06
1804,2.4147511794581078e-05,6.209289495018311e-06
1805,2.196407331211958e-05,4.992093181499513e-06
1806,2.296978527738247e-05,5.4895795074116904e-06
1807,2.6012628950411454e-05,5.696757398254704e-06
1808,2.215087260992732e-05,6.224905064300401e-06
1809,2.2766509573557414e-05,5.735678314522374e-06
1810,2.537633372412529e-05,7.598391675855964e-06
1811,2.044521170319058e-05,4.257016371411737e-06
1812,2.512510218366515e-05,5.3610883696819656e-06
1813,2.4501317966496572e-05,5.268358563625952e-06
1814,2.291724922542926e-05,4.782949417858617e-06
1815,2.3665439584874548e-05,5.297346888255561e-06
1816,2.2508569600176997e-05,4.579585493047489e-06
1817,2.2201014871825464e-05,4.700200861407211e-06
1818,2.2368896679836325e-05,5.222667823545635e-06
1819,2.2470059775514528e-05,5.65581376577029e-06
1820,2.3604803573107347e-05,5.415861778601538e-06
1821,2.441605829517357e-05,5.1950319175375625e-06
1822,2.275012775498908e-05,5.2784866966248956e-06
1823,2.273709833389148e-05,4.662651463149814e-06
1824,2.192099782405421e-05,4.667822850024095e-06
1825,2.2650241589872167e-05,5.012057954445481e-06
1826,2.1821781047037803e-05,5.3120952543395106e-06
1827,2.4740082153584808e-05,6.218894213816384e-06
1828,2.553660306148231e-05,6.1812138483219314e-06
1829,2.551805846451316e-05,5.734597380069317e-06
1830,2.533228871470783e-05,5.521086222870508e-06
1831,2.6118388632312417e-05,5.297891675581923e-06
1832,2.672980735951569e-05,5.677175067830831e-06
1833,2.3818256522645243e-05,4.4909729695064016e-06
1834,2.4819584723445587e-05,5.557779786613537e-06
1835,2.3432714442606084e-05,4.875922968494706e-06
1836,2.2404292394639924e-05,4.299263764551142e-06
1837,2.3403561499435455e-05,4.2784072320500854e-06
1838,2.2798265490564518e-05,4.38821507486864e-06
1839,2.3339642211794853e-05,4.896829068457009e-06
1840,2.4296539777424186e-05,4.6078325794951525e-06
1841,2.450209649396129e-05,5.044625140726566e-06
1842,2.4369785023736767e-05,4.338905910117319e-06
1843,2.3371874704025686e-05,4.188590537523851e-06
1844,2.384340768912807e-05,4.915555564366514e-06
1845,2.402567224635277e-05,4.400009856908582e-06
1846,2.443903031235095e-05,4.27495706389891e-06
1847,2.4589324311818928e-05,4.582622295856709e-06
1848,2.550013414293062e-05,4.2454635149624664e-06
1849,2.829728509823326e-05,5.096360382594867e-06
1850,2.563253292464651e-05,4.936957793688634e-06
1851,2.5477862436673604e-05,4.205679033475462e-06
1852,2.4818849851726554e-05,4.693452410720056e-06
1853,2.3702597900410183e-05,4.006569270131877e-06
1854,2.4187896997318603e-05,4.214723048789892e-06
1855,2.4087656129267998e-05,4.133042693865718e-06
1856,2.4798737285891548e-05,4.460666332306573e-06
1857,2.434701491438318e-05,3.8266148294496816e-06
1858,2.5688374080345966e-05,4.284902843210148e-06
1859,2.5129875211860053e-05,4.225485554343322e-06
1860,2.4018314434215426e-05,4.104360868950607e-06
1861,2.4906890757847577e-05,4.048654773214366e-06
1862,2.463386772433296e-05,3.692098289320711e-06
1863,2.477481757523492e-05,3.75795275431301e-06
1864,2.532575308578089e-05,3.83146698368364e-06
1865,2.5237157387891784e-05,3.7292327306204243e-06
1866,2.4979570298455656e-05,3.886651484208414e-06
1867,2.5342351364088245e-05,3.6915337204845855e-06
