year,ses_DET ans_NOUN,ses_DET dents_NOUN
1800,3.0812812790159683e-07,4.049683695939166e-06
1801,1.9049460320275102e-07,2.7455036004653266e-06
1802,1.991677720525331e-07,3.900555327618349e-06
1803,2.86699872731333e-07,4.294646942071267e-06
1804,3.534746895184071e-07,3.4235134762639063e-06
1805,2.3595885068061762e-07,2.8912067193687108e-06
1806,2.651135684317296e-07,2.1670150971431212e-06
1807,1.6512339584551228e-07,1.639846118450805e-06
1808,2.3793776904312836e-07,2.7714084467334033e-06
1809,1.4683698168482806e-07,2.428457840153442e-06
1810,1.9189039335287816e-07,2.7753902642757566e-06
1811,1.1281845502253418e-07,2.1084516461655767e-06
1812,1.3869482984318893e-07,3.083292689609607e-06
1813,3.0770434955584847e-07,2.148179106598036e-06
1814,3.1152103474596515e-07,2.7911025455296112e-06
1815,1.9959454156115441e-07,1.5104451751568604e-06
1816,1.7382029149359823e-07,2.213311709908794e-06
1817,2.0550728674351149e-07,2.7027322886397087e-06
1818,1.5855166157763279e-07,2.449801925763495e-06
1819,2.5463583597229444e-07,2.3082841948962596e-06
1820,2.2190319004522507e-07,2.079007543898115e-06
1821,2.0610510154117634e-07,1.9348240130057093e-06
1822,2.0452256421776838e-07,2.2878455183672486e-06
1823,3.508353771941586e-07,2.4252113206557624e-06
1824,3.309497262904415e-07,2.11959396523298e-06
1825,2.985045226555627e-07,2.521878812444811e-06
1826,1.7704049115607745e-07,2.1553136519969485e-06
1827,1.6683263970307394e-07,1.7346907661419664e-06
1828,1.72439257539736e-07,2.3444402046379764e-06
1829,1.5431717381719778e-07,2.864298053850689e-06
1830,1.711641122170704e-07,3.2187201384203945e-06
1831,1.1225668572478753e-07,3.3957646223825577e-06
1832,1.6371262312464552e-07,3.2417807602769244e-06
1833,1.4942881421120546e-07,3.4357041442945047e-06
1834,1.3255033382009174e-07,2.999184673058153e-06
1835,1.1495893659230205e-07,3.4389361474040925e-06
1836,1.52561029753695e-07,3.289135094064477e-06
1837,1.342872963938646e-07,3.0482520401164948e-06
1838,1.5338553316368575e-07,2.3657983376779157e-06
1839,1.2864314835603352e-07,2.4057665442001053e-06
1840,9.363442332599448e-08,2.3784418061723045e-06
1841,1.438202890113871e-07,2.5219914050467196e-06
1842,1.0531976091243678e-07,2.5095620088677606e-06
1843,1.0455232551942473e-07,2.3869826577538333e-06
1844,9.056126382134266e-08,2.3540440281522024e-06
1845,6.417262066182872e-08,2.79011388215622e-06
1846,8.781751636988133e-08,2.2826701098210833e-06
1847,8.898818659730523e-08,1.7759886006274428e-06
1848,8.769291981458593e-08,1.9710792216187656e-06
1849,1.03066805534624e-07,1.9674866180707795e-06
1850,8.622024783022653e-08,1.997322527813594e-06
1851,8.126293105092941e-08,1.896135035650559e-06
1852,5.3386471465799445e-08,2.4160633671499454e-06
1853,8.300985521181303e-08,3.0355329556641664e-06
1854,1.080698244226852e-07,2.0683940320509464e-06
1855,1.0189318899733735e-07,2.4831159777249923e-06
1856,1.2942973603990993e-07,2.2065180473873625e-06
1857,1.9818926455528185e-07,2.508119472111048e-06
1858,1.1255455079073329e-07,2.5207325364817734e-06
1859,1.217029423905558e-07,2.732460259835534e-06
1860,1.1580275360856263e-07,2.7046580797218667e-06
1861,8.677372975718356e-08,2.5857629708525565e-06
1862,9.894390129439046e-08,2.483085232540816e-06
1863,1.0538649997116067e-07,2.551252357818612e-06
1864,1.1699136004406085e-07,2.5359315500850244e-06
