year,tes_DET yeux_NOUN,tes_DET dieux_NOUN
1800,2.1034460431224034e-06,4.7162466820793725e-08
1801,3.2741260014290674e-06,1.1905913144261149e-08
1802,1.7746071989677148e-06,6.713520406265161e-09
1803,2.369662169598996e-06,1.950339223455444e-09
1804,2.911840383035269e-06,9.887403562558461e-09
1805,2.430660359209469e-06,8.528633133053631e-09
1806,2.0373401241613465e-06,5.76333825108577e-09
1807,1.984327695936372e-06,5.693910232196231e-09
1808,2.3499187165043622e-06,2.2660739951163578e-08
1809,1.5700262423479217e-06,2.259030518203531e-09
1810,2.6420031247198494e-06,2.574139479349924e-08
1811,3.7581081642201752e-06,2.2563690471599784e-08
1812,1.62966418315591e-06,2.1337664968257286e-08
1813,2.8901204416342807e-06,3.163315742682471e-08
1814,1.5638984933730171e-06,8.496028058857519e-08
1815,1.3863729009244707e-06,5.1247247334629265e-08
1816,1.068415379279486e-06,2.7811246638975717e-08
1817,2.1765090849612534e-06,9.341240336802059e-09
1818,1.605782642855047e-06,4.7684711068640695e-08
1819,2.169580014310668e-06,3.933399139732785e-08
1820,3.0330725877547593e-06,2.1359666035891678e-08
1821,2.770092109471989e-06,2.6626017834985305e-08
1822,2.8432647667386846e-06,5.9151133768864383e-08
1823,2.4222465242473845e-06,2.470671778276312e-08
1824,2.584439556585494e-06,2.947389354801544e-08
1825,2.04374336476576e-06,2.377469621173134e-08
1826,1.8435111428516393e-06,2.7304750904733055e-08
1827,1.4535639252244437e-06,3.133872850114017e-08
1828,1.7464061983218926e-06,2.384798314380987e-08
1829,1.4197179680763838e-06,2.9148798597056214e-08
1830,2.147900886484422e-06,3.1310508408211035e-08
1831,1.941105139735555e-06,5.4569221807909685e-08
1832,2.231091976057087e-06,2.4353945637933805e-08
1833,2.186989135566364e-06,3.938433634775862e-08
1834,2.021859430101358e-06,1.7735608537350345e-08
1835,1.7939645147180272e-06,1.3613558280667348e-08
1836,1.98194927492068e-06,2.4194700909418998e-08
1837,1.4722896750640757e-06,1.878630628837641e-08
1838,1.5079754476232665e-06,1.5780404538645598e-08
1839,1.4640148791045249e-06,1.8876983531868063e-08
1840,1.4484671453374176e-06,1.2739376997750185e-08
1841,1.727769614490171e-06,8.988768396278601e-09
1842,1.7267074241544833e-06,1.2745703159566801e-08
1843,1.5930938630503988e-06,2.303695284533447e-08
1844,1.4522733238209184e-06,3.841992834985319e-09
1845,1.3732941113175912e-06,1.7298706467272496e-08
1846,1.3652697390398316e-06,1.5221703675294407e-08
1847,1.2587784326001383e-06,1.7258315665458213e-08
1848,1.0032391557501796e-06,1.448139919091318e-08
1849,1.198256327938907e-06,8.379414939696517e-10
1850,1.1527715031434127e-06,2.104588681106634e-08
1851,1.0622225588008405e-06,1.9993260380601896e-08
1852,1.2168209622132053e-06,8.463709288974997e-09
1853,1.2630636234689518e-06,1.1943863231778096e-08
1854,1.3628228074935578e-06,1.6626126031482613e-08
1855,1.934378531132097e-06,2.600399184871094e-08
1856,1.5821490819689643e-06,9.836659209394583e-09
1857,1.8012768876474183e-06,2.3431243612037633e-08
1858,1.6707010175309733e-06,1.4191660235862713e-08
1859,1.6468088261945013e-06,1.4258085823115607e-08
1860,1.9718508639243737e-06,3.6159751415354435e-08
1861,2.1429339511769285e-06,1.792066162131789e-08
1862,1.9219513234247643e-06,1.987914033385607e-08
1863,1.675695322944648e-06,2.9967724579638144e-08
1864,1.8790538618418395e-06,3.452204211384924e-08
1865,1.613506277919896e-06,8.943004170536284e-09
