year,aux_ADP oies_NOUN,aux_ADP doigts_NOUN
1800,1.2576657582030748e-07,1.3582791056343524e-06
1801,6.429192911383552e-08,1.1048686729964174e-06
1802,7.608656460433849e-08,1.085352437257825e-06
1803,1.09218993626925e-07,1.0239280925361527e-06
1804,5.9324420931261557e-08,6.748152827640297e-07
1805,1.2224374756897305e-07,9.978500656870892e-07
1806,5.4751713385314815e-08,6.483755248254397e-07
1807,3.131650672116848e-08,6.206362286320655e-07
1808,1.3369836260324064e-07,4.509487308013149e-07
1809,8.132509776714869e-08,6.935223706427962e-07
1810,3.042164786748458e-08,6.318342435918112e-07
1811,4.011322829455821e-08,1.0203802958130836e-06
1812,3.7340914360584065e-08,1.0962226069111125e-06
1813,5.751483289628823e-09,8.540952762814413e-07
1814,5.349351184236184e-08,7.677892313040502e-07
1815,2.1038344355517324e-07,5.070780275673314e-07
1816,1.274682119856152e-07,6.442938911277452e-07
1817,9.496928132790572e-08,7.784367097585232e-07
1818,7.152706604784953e-08,6.532804945891257e-07
1819,4.554461963124368e-08,7.276788256405098e-07
1820,2.3732961373923445e-08,7.487749371648533e-07
1821,5.029359129160582e-08,5.591464010690217e-07
1822,5.6143449000956025e-08,5.925138708562372e-07
1823,1.1068609673259289e-07,4.546035912156299e-07
1824,3.115811697540494e-08,5.465302024276752e-07
1825,6.163809995740621e-08,5.84681413062782e-07
1826,2.554315425840059e-08,5.091014924074599e-07
1827,5.7147094167930845e-08,6.507395026167373e-07
1828,6.970948840390179e-08,6.255509721886376e-07
1829,9.85915242779356e-08,6.155540394070513e-07
1830,4.0703659109908585e-08,6.846564533091737e-07
1831,5.456921980950824e-08,6.361212285810325e-07
1832,3.51779220197912e-08,1.0052766781232236e-06
1833,6.486831871654886e-08,9.486991683349544e-07
1834,4.947301501800894e-08,8.559764710369677e-07
1835,4.689114518896531e-08,7.910989765491649e-07
1836,4.0324502126320994e-08,6.660263280888756e-07
1837,6.818733133684418e-08,7.918080031643626e-07
1838,3.9135405138779333e-08,6.974938857595703e-07
1839,5.5931800524433584e-08,1.006073308218447e-06
1840,4.7772664935052944e-08,7.872935228192546e-07
1841,6.099521199232072e-08,7.306584492994261e-07
1842,3.7566284305512454e-08,6.688140512522978e-07
1843,8.978505050549757e-08,7.3777320475088e-07
1844,6.641159000508878e-08,6.481990997286857e-07
1845,4.2409731282333496e-08,5.742054765001114e-07
1846,2.4588905134237393e-08,6.521914563961673e-07
1847,7.496580600729885e-08,5.24760669584623e-07
