year,devriez_VERB écrire_VERB
1800,0.0
1801,1.1905912700171939e-08
1802,0.0
1803,1.950339223455444e-09
1804,7.4155526164076946e-09
1805,2.2743021688143017e-08
1806,1.729001475325731e-08
1807,2.8469551160981155e-09
1808,0.0
1809,1.3554183553310395e-08
1810,2.3401267590372754e-09
1811,5.0141535368197765e-09
1812,5.3344164641089264e-09
1813,0.0
1814,0.0
1815,5.394447111228828e-09
1816,0.0
1817,3.113746815941454e-09
1818,2.2650237241350624e-08
1819,1.035105001712111e-09
1820,7.119888678630559e-09
1821,1.2819934447350079e-08
1822,2.8071724500478012e-08
1823,6.917880934764753e-09
1824,1.6842225392110777e-09
1825,0.0
1826,8.807984341885344e-10
1827,3.6869092223668076e-09
1828,1.834460228167245e-08
1829,8.57317605795771e-10
1830,1.0436835840010872e-09
1831,3.1182412207897414e-09
1832,1.7588959622116818e-08
1833,3.4750886612755494e-09
1834,1.3068342852307069e-08
1835,1.285724948729694e-08
1836,6.048674894287842e-09
1837,6.957891152126194e-09
1838,1.8936485712828244e-09
1839,6.292327547896548e-09
1840,6.369688665408546e-10
1841,3.2102742686390684e-09
1842,8.720745015011744e-09
1843,1.7720733769266417e-09
1844,5.488561272137815e-10
1845,5.580227946389016e-10
1846,6.439951683034906e-09
1847,3.235934187273415e-09
1848,1.126331028444838e-08
1849,0.0
1850,1.0862393651223101e-08
1851,5.159551008659946e-09
1852,7.161600201754936e-09
1853,2.030456869306363e-08
1854,2.0782657816909023e-09
1855,7.429711956774554e-09
1856,1.0354378465748937e-09
1857,3.4170564155999728e-09
1858,4.893676130990343e-09
1859,4.582956236731661e-09
1860,2.197048232233101e-08
1861,8.488735048217677e-09
1862,1.8071945717679228e-08
1863,2.1976331865403154e-08
1864,2.3973640850272204e-09
1865,1.553258677233771e-08
1866,7.298419202328432e-09
1867,5.82337378318698e-09
1868,3.457911734727759e-09
1869,6.348574999037737e-09
1870,9.747882501187632e-09
1871,6.37270636261178e-09
1872,8.4662747923403e-09
1873,8.380406590902112e-09
1874,5.974609140757536e-10
1875,4.577221712764867e-09
1876,1.269663130187837e-08
1877,1.36065949618569e-08
1878,9.662541877730746e-09
1879,8.55305515301552e-09
1880,6.417846254436199e-09
1881,1.673401861523871e-08
1882,3.3276925659464496e-09
1883,6.319338941018771e-10
1884,6.601696966868076e-09
1885,6.445635691854079e-10
1886,9.034849313138693e-09
1887,8.48760173255414e-09
1888,8.876860135842435e-09
1889,8.771191772893872e-09
1890,3.2771931834929546e-09
1891,0.0
1892,1.8805537127519756e-09
1893,1.2932674486876294e-08
1894,3.150769645188234e-09
1895,7.824199066419624e-09
1896,4.1279202278587945e-09
1897,7.574727511894253e-09
1898,5.092519295146758e-09
1899,3.3165470370022376e-09
1900,5.710158568206225e-09
1901,5.58873880507349e-09
1902,3.928227076954727e-09
1903,4.860198465905796e-09
1904,1.7198800605910947e-08
1905,9.28936660926638e-09
1906,1.1317205839134203e-08
1907,9.771402353919711e-09
1908,4.4202499438483756e-09
