year,avez_VERB ôté_VERB,avez_VERB oté_VERB,avez_VERB doté_VERB
1800,7.231578535993322e-08,0.0,3.144164484325529e-09
1801,3.809892135109294e-08,0.0,0.0
1802,5.818384352096473e-08,0.0,0.0
1803,6.241085515057421e-08,0.0,0.0
1804,5.438072037122765e-08,0.0,4.943701892301533e-09
1805,4.8328921309348516e-08,0.0,0.0
1806,3.7461699520235925e-08,0.0,0.0
1807,2.562259560079383e-08,0.0,0.0
1808,7.024829073998262e-08,0.0,0.0
1809,4.743964154840796e-08,0.0,0.0
1810,8.658469141664682e-08,0.0,0.0
1811,3.5099073869560016e-08,0.0,0.0
1812,6.13457871168066e-08,0.0,2.6672082320544632e-09
1813,2.5881675469463516e-08,0.0,2.8757416448144113e-09
1814,5.664018942752591e-08,0.0,0.0
1815,4.315557688983063e-08,0.0,0.0
1816,1.1819779643928996e-07,2.3176038865813098e-09,0.0
1817,6.694555310104988e-08,1.556873407970727e-09,1.556873407970727e-09
1818,6.199012148044858e-08,0.0,0.0
1819,4.5544620519422097e-08,4.140420006848444e-09,1.035105001712111e-09
1820,9.255855104584043e-08,0.0,0.0
1821,9.861488337037372e-08,1.97229765852569e-09,0.0
1822,1.0526896687679255e-07,0.0,1.0025615893027862e-09
1823,7.906149335212831e-08,0.0,1.9765373782121287e-09
1824,6.82110155025839e-08,0.0,3.3684450784221553e-09
1825,5.459374818883589e-08,0.0,6.163809906922779e-09
1826,4.844391554570393e-08,0.0,0.0
1827,4.2399456390285195e-08,0.0,4.608636583469661e-09
1828,9.814362300630819e-08,0.0,0.0
1829,6.858540757548326e-08,8.57317605795771e-10,0.0
1830,4.383471008395645e-08,0.0,0.0
1831,4.989185953263586e-08,0.0,7.795603274018958e-09
1832,8.253281436054749e-08,0.0,5.411987746839486e-09
1833,5.444305273272221e-08,0.0,4.6334514003376626e-09
1834,8.401077877806529e-08,3.733812370398937e-09,1.6802156110884425e-08
1835,8.092504089063368e-08,7.563087933704082e-10,3.025235173481633e-09
1836,5.107770206791429e-08,0.0,5.376600054063374e-09
1837,5.914207434898344e-08,0.0,4.87052354003481e-09
1838,7.763959075646198e-08,0.0,3.1560809521380406e-09
1839,3.355908262392404e-08,0.0,4.194885327990505e-09
1840,6.879263736436769e-08,0.0,1.9109065441114126e-09
1841,1.001605554051821e-07,6.420548537278137e-10,1.219904177673925e-08
1842,7.915753030829364e-08,1.341653010911159e-09,5.366612043644636e-09
1843,3.839492279666956e-08,1.1813822142769936e-09,1.1813822142769936e-09
1844,4.7750482679020934e-08,5.488561272137815e-10,2.7442805805577564e-09
1845,7.365900955846882e-08,1.1160455892778032e-09,3.9061593959388574e-09
1846,3.688335681317767e-08,0.0,6.439951683034906e-09
1847,6.741529290366088e-08,1.0786447290911383e-09,0.0
1848,6.91889070481011e-08,0.0,5.63165514222419e-09
1849,5.614208120618969e-08,0.0,7.54147322368226e-09
1850,4.616517301769818e-08,1.3577992064028876e-09,6.1100964288129944e-09
1851,4.901573547044791e-08,1.2898877521649865e-09,9.674158363282004e-09
1852,3.385483537954315e-08,0.0,5.208436348880241e-09
1853,7.1663180278847e-08,0.0,1.0152284346531815e-08
