year,aviez_VERB écrit_VERB,aviez_VERB ecrit_VERB,aviez_VERB décrit_VERB
1800,4.087413785214267e-08,0.0,0.0
1801,5.000483582762172e-08,0.0,0.0
1802,2.2378401354217203e-08,0.0,0.0
1803,1.1311967540450496e-07,0.0,0.0
1804,3.213406074564773e-08,0.0,0.0
1805,1.2792949632967066e-07,2.842877711017877e-09,0.0
1806,1.3832011802605848e-07,5.76333825108577e-09,0.0
1807,5.97860605466849e-08,0.0,2.8469551160981155e-09
1808,5.211970233176544e-08,0.0,0.0
1809,1.1295152546608733e-07,0.0,0.0
1810,1.427477371862551e-07,0.0,0.0
1811,1.0028307428910921e-07,0.0,1.7549536934780008e-08
1812,3.467370746079723e-08,0.0,0.0
1813,4.601186631703058e-08,0.0,0.0
1814,6.293354459785405e-08,0.0,0.0
1815,4.045835311217161e-08,0.0,0.0
1816,4.6352077731626196e-08,0.0,0.0
1817,5.7604317760251433e-08,0.0,4.670620334934483e-09
1818,5.6029534789558966e-08,0.0,2.384235475716423e-09
1819,3.415846450138815e-08,0.0,5.175524897538253e-09
1820,8.899861114741725e-08,0.0,0.0
1821,1.2129630988511053e-07,0.0,4.930744257336528e-09
1822,7.819980396561732e-08,0.0,0.0
1823,5.5343047478118024e-08,0.0,0.0
1824,5.9789897477458e-08,0.0,8.421112696055388e-10
1825,6.339919167430708e-08,0.0,4.4027217427355936e-09
1826,8.543744911548856e-08,0.0,8.807984341885344e-10
1827,3.6869092667757286e-08,0.0,9.217273055917019e-10
1828,7.246117661452445e-08,0.0,0.0
1829,3.772197487705853e-08,0.0,1.714635211591542e-09
1830,8.245100246995207e-08,0.0,1.0436835840010872e-09
1831,8.731075240575592e-08,0.0,0.0
1832,4.329590197471589e-08,0.0,1.7588959622116818e-08
1833,2.3167256557599103e-08,0.0,0.0
1834,3.827157613045529e-08,0.0,9.334530925997342e-10
1835,4.4622218808854086e-08,0.0,1.5126175867408165e-09
1836,5.040562456315456e-08,0.0,2.016224964762614e-09
1837,2.852735292435682e-08,0.0,0.0
1838,2.7142295522253335e-08,0.0,1.2624323808552163e-09
1839,3.216078425793967e-08,0.0,0.0
1840,3.758116307039927e-08,0.0,6.369688665408546e-10
1841,2.953452238330101e-08,6.420548537278137e-10,6.420548537278137e-10
1842,3.287049921141261e-08,0.0,0.0
1843,5.847842032835615e-08,0.0,5.906911071384968e-10
1844,3.3480223038395707e-08,0.0,0.0
1845,1.1160455670733427e-08,0.0,0.0
1846,5.21050615986951e-08,5.854501328173001e-10,0.0
1847,2.8584086209093584e-08,0.0,1.0786447290911383e-09
1848,2.735375304041554e-08,0.0,0.0
1849,2.4300303991253713e-08,0.0,0.0
1850,1.9009188889640427e-08,0.0,6.788996032014438e-10
1851,2.3862924081186065e-08,0.0,0.0
1852,4.427170807730363e-08,6.510545436100301e-10,0.0
1853,3.702597695109944e-08,0.0,5.971931837933653e-09
1854,1.1950028522278444e-08,0.0,0.0
1855,2.5473298137512757e-08,0.0,1.0613874223963649e-09
1856,4.0899795550330964e-08,0.0,0.0
1857,2.8312753030945714e-08,0.0,0.0
1858,7.34051397444091e-08,0.0,0.0
1859,4.0228169240208445e-08,0.0,5.092173349652285e-10
1860,6.133426211363258e-08,0.0,1.373155145145688e-09
1861,4.810283016354333e-08,0.0,0.0
1862,4.789065499721801e-08,0.0,0.0
1863,4.694943456229339e-08,0.0,4.994620828036034e-10
1864,5.7057263802562375e-08,0.0,0.0
1865,7.813361690978127e-08,0.0,0.0
1866,4.0871150019938796e-08,0.0,0.0
1867,5.483676801532056e-08,0.0,0.0
1868,4.4952855660085334e-08,0.0,9.87974813071446e-10
1869,4.5905078849273195e-08,1.4650557433881772e-09,2.9301114867763545e-09
1870,3.039045992636602e-08,0.0,0.0
1871,2.8677177965619194e-08,0.0,0.0
1872,2.53988243770209e-08,0.0,6.047339295989218e-10
1873,4.908523720814628e-08,5.986004469882289e-10,0.0
1874,4.241972462182275e-08,0.0,0.0
1875,4.405575992905142e-08,0.0,5.721527140956084e-10
1876,5.74371412653818e-08,0.0,1.209202959984168e-09
1877,6.246663986075873e-08,0.0,6.184815992682502e-10
1878,1.872117572077059e-08,0.0,0.0
1879,1.7717043832021773e-08,0.0,6.720257683667796e-09
1880,6.032775701214632e-08,0.0,0.0
1881,2.8587281875047665e-08,0.0,0.0
1882,2.4624924321869912e-08,0.0,0.0
1883,4.044376922252013e-08,0.0,0.0
1884,3.036780782394999e-08,0.0,6.601696966868076e-10
