year,aux_ADP eaux_NOUN,aux_ADP do_NOUN
1800,3.361111790667337e-06,0.0
1801,2.771696440362348e-06,4.7623651688866175e-09
1802,3.0389869323244056e-06,2.2378401354217203e-09
1803,3.5242629508047685e-06,1.950339223455444e-09
1804,3.8115940714789076e-06,0.0
1805,3.5933974196211693e-06,5.685755422035754e-09
1806,3.942123427691513e-06,0.0
1807,2.7359237684265736e-06,8.540865792383556e-09
1808,2.984419516849357e-06,1.1330369975581789e-08
1809,3.535382673724996e-06,6.7770915546105925e-09
1810,3.3908437382379475e-06,2.3401267590372754e-09
1811,2.9458152894790146e-06,2.5070767684098882e-09
1812,3.7740995573187774e-06,5.3344164641089264e-09
1813,3.3847480125359652e-06,2.8757416448144113e-09
1814,3.2379308390062533e-06,1.5733386149463513e-08
1815,3.1935125974769107e-06,5.394447111228828e-09
1816,2.6374332460221694e-06,2.3176038865813098e-09
1817,2.7930308359458422e-06,7.784366928831332e-09
1818,3.6979491540023446e-06,1.1921177378582115e-09
1819,2.961435393800116e-06,5.175524897538253e-09
1820,2.535867004382908e-06,2.3732962262101864e-09
1821,3.0827011983092234e-06,2.9584463767662328e-09
1822,3.5129758657603816e-06,5.012807946513931e-09
1823,2.967770878825604e-06,3.9530747564242574e-09
1824,2.752019703677888e-06,3.3684450784221553e-09
1825,3.0484444017986334e-06,8.805443041381977e-10
1826,2.805343047640463e-06,1.3211976290783412e-08
1827,3.2039241801840035e-06,6.452091028119611e-09
1828,3.0020940897657056e-06,1.1923991571904935e-08
1829,3.2749532152820393e-06,8.57317605795771e-10
1830,3.222894797261233e-06,7.30578508800761e-09
1831,4.0007034911582195e-06,7.795603274018958e-09
1832,3.7302125157623323e-06,1.3529969367098715e-09
1833,4.814155886379012e-06,0.0
1834,3.110265744510343e-06,4.667265685043276e-09
1835,3.806502121506128e-06,0.0
1836,2.7373615081316416e-06,6.048674894287842e-09
1837,3.3655317466241286e-06,4.870523429012508e-09
1838,3.2791682169630576e-06,3.1560809521380406e-09
1839,2.9154452469981607e-06,1.3982950353153e-09
1840,2.9867470612288116e-06,6.369688665408546e-10
1841,3.1569836771438986e-06,3.2102742686390684e-09
1842,2.960357287307147e-06,6.708265054555795e-10
1843,2.984171503683797e-06,2.953455480181333e-09
1844,3.0132201809252024e-06,1.6465684371524958e-09
1845,3.1840780287950565e-06,2.2320911785556063e-09
1846,3.3522874929303725e-06,1.1709002656346001e-09
1847,2.8972396854953786e-06,2.1572894581822766e-09
1848,2.8616852807417104e-06,1.6090443422100975e-09
1849,3.248699144364764e-06,8.379414939696517e-10
1850,2.825580084575563e-06,1.3577992064028876e-09
1851,3.3221058104437873e-06,3.8696632564949596e-09
1852,3.4011089322660837e-06,2.6042181744401205e-09
1853,3.696625697102718e-06,1.7915795513800958e-09
1854,3.664502229661082e-06,2.5978321716024766e-09
1855,3.744044054343476e-06,4.776243400783642e-09
1856,3.5986641719887302e-06,2.5885946719483854e-09
1857,4.2073725019520225e-06,9.763018171682347e-10
1858,3.873833929191051e-06,3.4255731584664773e-09
1859,4.611981612612226e-06,4.582956236731661e-09
1860,4.119007746439252e-06,2.746310290291376e-09
1861,3.6874119793139926e-06,6.13075279431996e-09
1862,3.82718618041622e-06,3.162590411776023e-09
1863,3.674542448095508e-06,4.495158911765884e-09
1864,3.6171427453268734e-06,2.8768367688059016e-09
1865,3.7061691671169683e-06,2.3534221793575227e-09
1866,3.5197844674428325e-06,1.9462451650298362e-09
1867,3.5323615446003487e-06,3.396968040192405e-09
