year,pas_ADV écrit_VERB,pas_ADV ecrit_VERB,pas_ADV décrit_VERB
1800,8.269152544926328e-07,0.0,1.3519907327008696e-07
1801,8.667504403092607e-07,2.3811825844433088e-09,1.2144030847593967e-07
1802,9.242279475074611e-07,4.475680270843441e-09,9.175144555229053e-08
1803,7.996390536391118e-07,7.801356893821776e-09,1.7162984988772223e-07
1804,1.3496305655280594e-06,2.4718509461507665e-09,9.88740396223875e-08
1805,1.077450633601984e-06,2.842877711017877e-09,1.194008660831969e-07
1806,9.077257914213988e-07,0.0,1.152667650217154e-07
1807,1.1587106882871012e-06,2.8469551160981155e-09,1.1387820109121094e-07
1808,8.973652825261524e-07,4.5321479902327155e-09,1.6089124699192325e-07
1809,1.0368950142947142e-06,4.518061036407062e-09,1.2424668227595248e-07
1810,1.2028251603624085e-06,7.020380277111826e-09,8.424456154898508e-08
1811,9.025476401802734e-07,0.0,1.579458341893769e-07
1812,1.0748849490482826e-06,2.6672082320544632e-09,1.0668833283489221e-07
1813,1.1042848200304434e-06,0.0,7.189353823378042e-08
1814,7.520558256146614e-07,3.1466771410748606e-09,8.181360300341112e-08
1815,9.467254926676105e-07,0.0,1.6183341244868643e-07
1816,8.621486244919652e-07,0.0,1.228330006597389e-07
1817,1.0649014257069211e-06,3.113746815941454e-09,1.930523012561025e-07
1818,1.217152203025762e-06,2.384235475716423e-09,9.656153565629211e-08
1819,1.030964540404966e-06,4.140420006848444e-09,1.563008567018187e-07
1820,1.240047254214005e-06,4.746592452420373e-09,8.899861114741725e-08
1821,1.2839657301810803e-06,7.88919063410276e-09,8.283650032581136e-08
1822,1.2241276863278472e-06,5.012807946513931e-09,1.0727409005539812e-07
1823,9.665267270975164e-07,0.0,1.0673301886754416e-07
1824,1.1301133326924173e-06,5.052667617633233e-09,1.1536924660049408e-07
1825,1.0901138693952817e-06,1.0566531649658373e-08,8.717388766399381e-08
1826,9.838518053584266e-07,4.403992281964975e-09,1.1274219957613241e-07
1827,1.0249607385048876e-06,4.608636583469661e-09,1.1060727445055818e-07
1828,1.2666947668549255e-06,5.503380862137419e-09,7.704733206992387e-08
1829,1.1642373465292621e-06,6.001223074036943e-09,1.4574399642697244e-07
1830,1.1804061159637058e-06,7.305785310052215e-09,1.5029043254344288e-07
1831,1.4608959872930427e-06,1.5591206103948707e-09,1.340843738262265e-07
1832,1.2474631603254238e-06,2.705993873419743e-09,7.712082350508354e-08
1833,1.3019998732488602e-06,6.950177322551099e-09,7.41352224054026e-08
1834,1.2545609706648975e-06,4.667265685043276e-09,1.213489042584115e-07
1835,1.1995057320746128e-06,5.294161553592858e-09,1.0285799589837552e-07
1836,1.3495266557583818e-06,4.704525213838906e-09,1.236618061284389e-07
1837,1.1911909041373292e-06,1.3915781860163179e-09,1.30808345488731e-07
1838,9.764914921106538e-07,1.8936485712828244e-09,9.910094433962513e-08
1839,1.0969624781864695e-06,2.0974426639952526e-09,9.508406151326199e-08
1840,1.1828511787825846e-06,1.9109065441114126e-09,1.0828470919932442e-07
1841,1.2391658401611494e-06,3.852329122366882e-09,1.1364370777755539e-07
1842,1.2651787528739078e-06,2.683306021822318e-09,1.0397810967788246e-07
1843,1.2776648645740352e-06,0.0,1.216823619643037e-07
1844,1.215716338265338e-06,3.2931368743049916e-09,7.683986069650928e-08
1845,1.08312224256224e-06,4.464182357111213e-09,7.92392356174787e-08
1846,1.1738275134121068e-06,1.7563503984519002e-09,1.0245377524142896e-07
1847,1.1703294831022504e-06,5.3932236454556914e-09,7.658377398911398e-08
1848,1.0450743275214336e-06,2.413566457803995e-09,1.3998685233218566e-07
1849,1.1186518804606749e-06,1.6758829879393033e-09,7.876649732452279e-08
1850,1.1873953553731553e-06,8.146795238417326e-09,1.0930283877996771e-07
1851,1.1589640962483827e-06,1.9348316282474798e-09,1.1415506406819986e-07
1852,1.0761931434899452e-06,5.859490670445666e-09,1.4648726676114165e-07
1853,1.3114362218402675e-06,5.971931837933653e-10,1.3257688635803788e-07
1854,1.2178637689430616e-06,6.234797567117312e-09,1.4807643822223326e-07
1855,1.2773797379850294e-06,3.1841622671890946e-09,1.353268999082502e-07
1856,1.3445160220726393e-06,8.801221973442352e-09,8.645906035553708e-08
1857,1.2711449244307005e-06,5.857811125054013e-09,1.137391620886774e-07
1858,1.430910856470291e-06,9.787352261980686e-09,1.2087379275271815e-07
1859,1.4823316405454534e-06,4.582956236731661e-09,1.22721374395951e-07
1860,1.5049780586195993e-06,4.57718396518203e-09,1.6432090887974482e-07
1861,1.5142959455261007e-06,2.357981809808507e-09,7.687020797675359e-08
1862,1.2058504808010184e-06,0.0,1.0391368476803109e-07
1863,1.4779083130633808e-06,1.4983863039219614e-08,1.1837251179258601e-07
1864,1.5817807934581651e-06,2.8768367688059016e-09,1.0836085095888848e-07
1865,1.6794020893939887e-06,5.177528628053096e-09,1.162590521630591e-07
1866,1.3988636737849447e-06,1.9462451650298362e-09,8.028261078152354e-08
1867,1.4087711406318704e-06,9.7056229719783e-10,1.0870297728615697e-07
1868,1.2655957561946707e-06,4.44588676984381e-09,1.205329311915193e-07
1869,1.562237798680144e-06,1.0743741896135361e-08,8.546158625222233e-08
1870,1.4501409850709024e-06,5.734048791339319e-10,8.31437105830446e-08
1871,1.5198904748103814e-06,2.1242354542039266e-09,5.2043770182308435e-08
1872,1.4852265621811966e-06,1.2094678591978436e-09,1.015952975080836e-07
1873,1.3719921980737126e-06,9.577607151811662e-09,1.2570609442263958e-07
