year,aux_ADP hivers_NOUN,aux_ADP divers_ADJ
1800,7.860410988769218e-08,3.6818166790908435e-06
1801,1.4287095950749062e-08,2.5383405954926275e-06
1802,9.622712582313397e-08,2.727927039813949e-06
1803,1.3457341196954076e-07,2.6251566396240378e-06
1804,1.7055771195373381e-07,2.4125265554175712e-06
1805,9.381496113292087e-08,3.2266661946778186e-06
1806,2.0171684411707247e-07,3.3744345273589715e-06
1807,5.693910054560547e-08,2.8782715162378736e-06
1808,9.517511045942229e-08,2.6943619104713434e-06
1809,2.959330061003129e-07,2.322283307876205e-06
1810,3.510190182964834e-08,2.791771294141654e-06
1811,1.2535383575595915e-07,2.5697536329971626e-06
1812,4.800974906515876e-08,3.0966286885814043e-06
1813,6.614205716459765e-08,2.5565343548805686e-06
1814,6.293354282149721e-09,4.276334038877394e-06
1815,4.8550024445148665e-08,3.0343765047291527e-06
1816,7.648093003354006e-08,3.070825187023729e-06
1817,4.826307531402563e-08,2.5875235678540776e-06
1818,1.0848271614349869e-07,3.291436996732955e-06
1819,9.00541365922436e-08,3.1663862500863615e-06
1820,3.20394981656591e-08,2.8942347398697166e-06
1821,5.9168929311681495e-08,2.582723709565471e-06
1822,3.308453244699194e-08,2.856297896869364e-06
1823,8.004976592701496e-08,2.594205398054328e-06
1824,7.915846111927749e-08,3.2311809263774194e-06
1825,4.490776106536032e-08,2.8961101179447724e-06
1826,5.2847905607222856e-08,3.2633581668051193e-06
1827,4.3321183085254233e-08,3.0970038551458856e-06
1828,5.77854990524429e-08,3.4506197152950335e-06
1829,3.943661042171698e-08,3.258664264649269e-06
1830,4.800944353178238e-08,3.6372373415360926e-06
1831,6.704218691311326e-08,3.4752797546389047e-06
1832,2.705993829010822e-08,3.4934380437334767e-06
1833,5.560141858040879e-08,3.705602694026311e-06
1834,1.4841904771856207e-07,3.7842187339265365e-06
1835,8.621920244422654e-08,3.4835582027881173e-06
1836,1.0081124912630912e-07,2.992750069097383e-06
1837,6.95789097449051e-08,3.256988748034928e-06
1838,4.986607748946881e-08,3.4855759167840006e-06
1839,1.2025337525756186e-07,3.7537229218287393e-06
1840,7.197748175258312e-08,3.784869022638304e-06
1841,6.035315891494974e-08,3.951205599150853e-06
1842,1.1404050326291326e-07,3.5325724638823885e-06
1843,8.387813466015359e-08,3.7981437799317064e-06
1844,7.244901212288823e-08,3.6120222830504645e-06
1845,5.30121653241622e-08,4.021112090413226e-06
1846,7.142491398326456e-08,3.7047284422442317e-06
1847,4.1527822958187244e-08,3.953232862841105e-06
1848,7.079795238951192e-08,4.342006377555663e-06
1849,4.357295679824347e-08,4.0983718463394325e-06
1850,4.820187271548093e-08,3.617177071646438e-06
1851,4.321124080775007e-08,4.255984549672576e-06
1852,5.208436348880241e-08,4.024819190817652e-06
1853,6.688563303214323e-08,4.0083605199470185e-06
1854,5.5593609715742787e-08,4.022483608423499e-06
1855,7.695058457102277e-08,3.497802254059934e-06
1856,4.659470320689252e-08,3.840956651401939e-06
1857,3.9540225316159194e-08,3.6787052977160783e-06
1858,5.2851699905431815e-08,3.6629164696933003e-06
1859,4.7357211485632433e-08,3.5762334391620243e-06
1860,4.8060432078500526e-08,3.781669420277467e-06
1861,5.1875602480322414e-08,3.6671333418780705e-06
1862,5.557123117228002e-08,3.6550509321386926e-06
1863,4.894728533599846e-08,3.5881355415767757e-06
1864,3.931677028390368e-08,3.928800197172677e-06
1865,3.247722446531043e-08,3.757003241844359e-06
1866,2.6760870852626795e-08,3.584497108022333e-06
1867,5.871901720411188e-08,3.922527412214549e-06
1868,3.507310708528166e-08,4.403897946758661e-06
1869,2.490594752657671e-08,3.9229307731147856e-06
1870,5.791389412479475e-08,3.8228904486459214e-06
1871,5.2043770182308435e-08,4.495944267546292e-06
1872,6.107812566824578e-08,4.338361122790957e-06
1873,4.549363552541763e-08,4.397318662086036e-06
1874,4.719941060216115e-08,4.425990482559428e-06
1875,5.034943839632433e-08,4.135519702685997e-06
1876,6.95291717534019e-08,4.1149178287014365e-06
1877,5.751878973114799e-08,4.412247562868288e-06
1878,2.8383716710322915e-08,3.992441634181887e-06
1879,3.360128886242819e-08,3.925852524844231e-06
1880,5.968597349692573e-08,4.031049229524797e-06
1881,6.972507549107831e-08,3.90530158256297e-06
1882,6.122954232523625e-08,4.290726792532951e-06
1883,6.256145468341856e-08,4.0475365494785365e-06
1884,5.545425452169184e-08,4.033636741951341e-06
1885,4.18966337178972e-08,4.374008312879596e-06
1886,3.484870347847391e-08,4.363187144917902e-06
1887,4.504957828999068e-08,4.4396688281267416e-06
1888,5.833365435137239e-08,4.503104719333351e-06
1889,4.636201111907212e-08,4.36930622527143e-06
1890,4.784702056781498e-08,4.974123839929234e-06
1891,8.222743730357251e-08,4.677402557717869e-06
1892,3.8864776286118285e-08,4.347840331320185e-06
1893,5.4194064347257154e-08,4.844826435146388e-06
1894,8.948185836743505e-08,4.512532086664578e-06
1895,5.1760085995056215e-08,4.698732482211199e-06
1896,5.779088496637996e-08,4.608528342942009e-06
1897,6.584185996416636e-08,4.544253897620365e-06
1898,1.3806385368297924e-07,4.631929186871275e-06
1899,7.6833337914195e-08,4.419298875291133e-06
1900,5.2429637520390315e-08,4.969914243702078e-06
1901,6.650599004842661e-08,4.731426543003181e-06
1902,6.628883397752361e-08,5.1008028094656765e-06
1903,7.88432146237028e-08,4.735453330795281e-06
1904,5.8045952044949445e-08,4.782341420650482e-06
1905,6.812202002492995e-08,4.5548858906840906e-06
1906,6.275904951280609e-08,4.843764145334717e-06
1907,6.58283951793237e-08,4.897529834124725e-06
1908,5.3043002878894185e-08,4.403551429277286e-06
1909,5.611003217609323e-08,4.636228823073907e-06
1910,3.740905540894346e-08,4.772860847879201e-06
1911,4.0966881442727754e-08,4.935710876452504e-06
1912,3.959160110866833e-08,4.953117695549736e-06
1913,6.151468312509678e-08,4.937083303957479e-06
1914,4.419850796466562e-08,4.690399237006204e-06
1915,3.652036184575991e-08,4.499072929320391e-06
1916,4.0653610255958483e-08,4.107113454665523e-06
1917,6.250861872558744e-08,4.486364105105167e-06
1918,4.135095466040184e-08,4.463605819182703e-06
1919,3.6831394822911534e-08,4.87003080706927e-06
1920,5.3762846619065385e-08,4.983285634807544e-06
1921,3.937828552125211e-08,4.898053248325596e-06
1922,7.894391274021473e-08,4.623752374754986e-06
1923,5.944930947521243e-08,4.398187229526229e-06
1924,5.672314884463958e-08,4.586840077536181e-06
1925,9.238469544925465e-08,4.3805744098790456e-06
1926,6.018914433525424e-08,4.192062533547869e-06
1927,6.13207333799437e-08,4.089535650564358e-06
1928,9.483613894190057e-08,4.630974672181765e-06
1929,1.0026365515614089e-07,4.374837772047613e-06
1930,6.407198327451624e-08,4.634189735952532e-06
1931,3.9918749195066994e-08,4.495991561270785e-06
1932,5.041386685888938e-08,4.6139648475218564e-06
1933,4.244144946596862e-08,4.478146365727298e-06
1934,8.267290496632995e-08,4.4331845856504515e-06
1935,8.377799076697556e-08,4.580262157105608e-06
1936,7.1535815493462e-08,4.4109710870543495e-06
1937,3.903246792447135e-08,4.443405487108976e-06
1938,4.2785206488815675e-08,4.474295565159991e-06
1939,5.352917753498332e-08,4.556097792374203e-06
1940,5.5787225505810056e-08,4.37422568211332e-06
1941,8.854507882460894e-08,4.129152330278885e-06
1942,8.192371581117186e-08,3.87165437132353e-06
1943,8.709705667797607e-08,3.8322705222526565e-06
1944,1.1888788975511488e-07,4.231766070006415e-06
1945,5.010559434026618e-08,4.121729489270365e-06
1946,6.960551957035932e-08,3.956377895519836e-06
