year,auriez_VERB écrit_VERB,auriez_VERB décrit_VERB
1800,3.144164484325529e-09,0.0
1801,1.1905912700171939e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,7.801356893821776e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,1.9900143755080535e-08,0.0
1806,1.729001475325731e-08,0.0
1807,0.0,0.0
1808,1.3596443970698147e-08,0.0
1809,1.8072244145628247e-08,0.0
1810,4.680253518074551e-09,0.0
1811,7.521229861140455e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,4.670620334934483e-09,0.0
1818,1.1921176934492905e-08,0.0
1819,8.280840013696888e-09,0.0
1820,4.746592452420373e-09,0.0
1821,2.6626018723163725e-08,0.0
1822,7.017931125119503e-09,0.0
1823,1.4824030003524058e-08,0.0
1824,8.421112696055388e-10,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,8.295545583791863e-09,0.0
1828,0.0,0.0
1829,4.286587973467704e-09,0.0
1830,3.1310507520032616e-09,0.0
1831,3.1182412207897414e-09,0.0
1832,1.8941957335982806e-08,0.0
1833,0.0,0.0
1834,5.600718555598405e-09,0.0
1835,4.5378527602224494e-09,0.0
1836,3.36037508930076e-09,0.0
1837,6.262101948095733e-09,0.0
1838,3.1560809521380406e-09,0.0
1839,1.3982950353153e-09,6.9914751765765e-10
1840,3.1848443882154243e-09,6.369688665408546e-10
1841,3.2102742686390684e-09,0.0
1842,2.683306021822318e-09,0.0
1843,5.31621990873532e-09,0.0
1844,7.1351298203126134e-09,0.0
1845,1.674068439427856e-09,0.0
1846,2.3418005312692003e-09,0.0
1847,5.3932236454556914e-09,0.0
1848,5.63165514222419e-09,0.0
1849,1.6758829879393033e-09,0.0
1850,8.82569484161877e-09,0.0
1851,1.2898877521649865e-09,0.0
1852,0.0,0.0
1853,2.9859659189668264e-09,0.0
1854,1.0391328908454511e-09,0.0
1855,1.0613874223963649e-09,0.0
1856,2.0708756931497874e-09,0.0
1857,4.393358121745905e-09,0.0
1858,8.808616946964776e-09,0.0
1859,6.110608019582742e-09,0.0
1860,9.612086238064421e-09,0.0
1861,1.3204698667834691e-08,0.0
1862,1.1294965851504912e-08,0.0
1863,3.496234635136375e-09,0.0
1864,5.274200631788517e-09,0.0
1865,9.88437331983505e-09,0.0
1866,3.4059290943133647e-09,0.0
1867,7.279217228983725e-09,0.0
1868,2.9639244392143382e-09,0.0
1869,4.883519144627257e-10,0.0
1870,0.0,0.0
1871,1.274541272522356e-08,0.0
1872,5.442605477412599e-09,0.0
1873,2.9930022904522957e-09,0.0
1874,4.182226565063729e-09,0.0
1875,1.716458086775674e-09,0.0
1876,1.753344314181504e-08,0.0
1877,3.710889595609501e-09,0.0
1878,0.0,0.0
1879,1.0996785704264767e-08,0.0
1880,6.417846254436199e-10,0.0
1881,4.8807553554297556e-09,1.3945015142624584e-09
