year,plusieurs_DET hivers_NOUN,plusieurs_DET divers_ADJ
1800,3.772997558826319e-08,0.0
1801,2.3811825400343878e-08,0.0
1802,5.818384352096473e-08,0.0
1803,1.2092102852356845e-07,0.0
1804,2.2246657849223084e-08,0.0
1805,3.980028751016107e-08,0.0
1806,6.339671898558663e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,2.4926813502190726e-08,0.0
1809,1.2650571079575457e-07,0.0
1810,2.106114038724627e-08,0.0
1811,3.008491944456182e-08,0.0
1812,8.001624962616916e-08,0.0
1813,2.300593315851529e-08,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,1.622322720606917e-08,0.0
1817,6.694555310104988e-08,0.0
1818,3.099506074022429e-08,0.0
1819,2.2772310259711048e-08,0.0
1820,3.797273961936298e-08,0.0
1821,6.7058117281249e-08,0.0
1822,7.017931125119503e-08,0.0
1823,8.004976592701496e-08,0.0
1824,4.29476756380609e-08,1.3473780313688621e-08
1825,3.0819052199149155e-08,0.0
1826,2.7304752237000685e-08,0.0
1827,2.1199728195142598e-08,0.0
1828,4.494427585655103e-08,0.0
1829,1.0287811491593857e-08,0.0
1830,4.487839233568991e-08,0.0
1831,3.741889287312006e-08,0.0
1832,2.0294953273491956e-08,0.0
1833,3.359252431778259e-08,0.0
1834,2.8937046536725575e-08,0.0
1835,4.159698363537245e-08,5.294161553592858e-09
1836,3.49478987970997e-08,0.0
1837,4.731365876864402e-08,0.0
1838,1.956770279143427e-08,5.049729523420865e-09
1839,2.5169310302608494e-08,1.3982950353153e-09
1840,3.05745047057826e-08,0.0
1841,3.017657856929645e-08,2.5682194149112547e-09
1842,4.024958855097793e-08,0.0
1843,5.1390126876160735e-08,1.1813822142769936e-09
1844,2.5247381074677833e-08,0.0
1845,2.6785095030845696e-08,0.0
1846,3.805426018743674e-08,0.0
1847,3.613460020090997e-08,0.0
1848,2.011305433313737e-08,0.0
1849,2.513824526317876e-08,0.0
1850,1.425689166723032e-08,0.0
1851,4.450112855991506e-08,0.0
1852,6.836072685700856e-08,5.859490670445666e-09
1853,2.149895550473957e-08,0.0
1854,4.9358813924982314e-08,0.0
1855,4.7231740296638236e-08,0.0
1856,4.711242240773572e-08,0.0
1857,2.9289054737091647e-08,0.0
1858,3.1808894129792264e-08,0.0
1859,3.055303920973529e-08,0.0
1860,3.066713261112852e-08,0.0
1861,5.470517960848298e-08,0.0
1862,2.9818709307294355e-08,0.0
1863,3.146611238236119e-08,0.0
1864,3.787834967905468e-08,0.0
1865,2.729969672543575e-08,0.0
1866,5.93604774223877e-08,0.0
1867,4.221945815174877e-08,0.0
1868,3.062721987134864e-08,0.0
1869,5.6648821966653884e-08,0.0
1870,2.9243648835830527e-08,0.0
1871,1.274541272522356e-08,0.0
1872,3.3260365017717675e-08,0.0
1873,1.7958013742713774e-08,0.0
1874,2.8080663461160782e-08,0.0
1875,3.661777370211894e-08,0.0
1876,4.1112898863104874e-08,0.0
1877,5.937423419588583e-08,0.0
1878,4.5293163830617544e-08,0.0
1879,2.871382909219733e-08,0.0
1880,3.658172431642015e-08,0.0
1881,3.346803723047742e-08,0.0
1882,3.660461800336634e-08,0.0
1883,3.09647596452578e-08,0.0
1884,2.5746619058963915e-08,0.0
1885,4.640857653726016e-08,6.445635691854079e-10
1886,2.7104547439815718e-08,0.0
1887,4.1785117588233334e-08,0.0
1888,4.1848057463766963e-08,0.0
1889,4.322944463508449e-08,0.0
1890,2.94947390955258e-08,0.0
1891,3.1871099537283953e-08,0.0
1892,2.7581453565517222e-08,6.268512375839919e-10
1893,3.2023766971533973e-08,0.0
1894,7.75089308291399e-08,0.0
1895,3.370423939941247e-08,0.0
1896,3.774098544795379e-08,0.0
1897,3.496028144756025e-08,0.0
1898,3.055511754723739e-08,0.0
1899,3.814029270188257e-08,0.0
1900,3.8413791814129183e-08,0.0
1901,3.017919070202879e-08,0.0
1902,3.830021388928628e-08,0.0
1903,2.970121215639665e-08,0.0
1904,2.956043942958786e-08,0.0
1905,3.096455358786443e-08,0.0
1906,4.83553357355504e-08,0.0
1907,2.5714216533856415e-08,0.0
1908,1.7681000885616527e-08,0.0
1909,3.190570296851547e-08,0.0
1910,4.008112952647025e-08,0.0
1911,2.7133907565257687e-08,0.0
1912,3.646594909367806e-08,0.0
1913,3.340883569791231e-08,0.0
1914,3.0135346662518714e-08,0.0
1915,2.591767689352764e-08,0.0
1916,4.394984820521586e-08,0.0
1917,2.0836207093033465e-08,0.0
