year,vos_DET ans_NOUN,vos_DET dents_NOUN
1800,4.4018303668735825e-08,2.515331631869344e-08
1801,1.1905912700171939e-08,5.9529565277216534e-08
1802,2.6854081625060644e-08,6.713520406265161e-08
1803,3.315576790896557e-08,1.443251047561489e-07
1804,4.69651695311768e-08,1.16176993358863e-07
1805,3.4114531644036106e-08,1.222437404635457e-07
1806,8.35684019762084e-08,1.3255677799861587e-07
1807,3.4163463169534225e-08,7.971474502710407e-08
1808,3.3991110370834576e-08,3.172503681980743e-08
1809,1.129515236897305e-08,7.680704072754452e-08
1810,3.7442028144596406e-08,5.8503168531842675e-08
1811,9.27618373225414e-08,1.0529722516139373e-07
1812,1.3336041604361526e-08,1.1468995353425271e-07
1813,2.5881675469463516e-08,5.176335093892703e-08
1814,5.349351184236184e-08,6.608021863030444e-08
1815,1.8880564667256294e-08,2.6972236000233352e-08
1816,2.7811246638975717e-08,7.64809318098969e-08
1817,2.3353100786493997e-08,1.1987925496725893e-07
1818,2.741870730460505e-08,1.2517236314124602e-07
1819,3.8298885840504227e-08,6.417651299273075e-08
1820,1.1510486785937246e-07,5.814575843032799e-08
1821,1.2819934447350079e-08,1.0453177390346013e-07
1822,5.413832582235045e-08,5.714601059025881e-08
1823,6.324919610278812e-08,4.842516754255399e-08
1824,2.86317822784099e-08,6.484256775962649e-08
1825,3.9624492131906663e-08,8.541279461482532e-08
1826,2.290075862276808e-08,3.8755132436563144e-08
1827,4.147772969531616e-08,4.055600300034712e-08
1828,1.3758452155343548e-08,4.861319757853977e-08
1829,1.971830521085849e-08,3.686465821495233e-08
1830,3.652892388572582e-08,6.679575226264944e-08
1831,7.795603274018958e-09,1.3720261993199756e-07
1832,2.8412935559885e-08,1.2988770081712175e-07
1833,9.266902800675325e-09,1.1351956175076339e-07
1834,9.334531370086552e-09,5.694063975880681e-08
1835,1.663879345414898e-08,9.075705520444899e-08
1836,2.2178475223011418e-08,9.61067254112713e-08
1837,1.7394727436226276e-08,8.001574869354044e-08
1838,1.8936486156917454e-08,6.185918555168257e-08
1839,1.6080392128969834e-08,5.733009489361507e-08
1840,1.52872523528913e-08,5.5416291555587804e-08
1841,1.733548060656176e-08,8.731946321560713e-08
1842,1.60998356868447e-08,1.2477373090291621e-07
1843,1.1813821920725331e-08,4.843667089637904e-08
1844,8.781698090931656e-09,6.03741754368059e-08
1845,6.69627359117797e-09,7.421703296373039e-08
1846,8.781752436348711e-09,5.3275963862731146e-08
1847,3.775256551818984e-09,4.368511064001268e-08
1848,7.24069959545659e-09,4.344419834989566e-08
1849,8.379414495607307e-09,3.854530916669319e-08
1850,1.9009188889640427e-08,5.97431668580839e-08
1851,6.449438760824933e-09,5.482023102132416e-08
1852,2.6042181744401205e-09,6.575651201323751e-08
1853,3.5831591027601917e-09,6.151089548822597e-08
1854,1.8184825201217336e-08,5.7671875719478294e-08
1855,4.6701046585440054e-08,6.633671745248648e-08
1856,4.0899795550330964e-08,6.264398749733502e-08
1857,1.2203773103180993e-08,7.371078813989129e-08
1858,1.4681027837859517e-08,8.02562833968068e-08
1859,1.1202780925145817e-08,7.943790314435262e-08
1860,6.408057640072684e-09,8.010071539388264e-08
1861,2.6409397335669382e-08,7.592701534164803e-08
1862,3.5692092836825395e-08,1.0120289406501115e-07
1863,1.9479021062807078e-08,1.1088057938479778e-07
1864,2.3014694150447212e-08,7.383881084344068e-08
1865,7.0602665935837194e-09,8.095772185967576e-08
1866,1.8489328568183083e-08,9.001383927120798e-08
1867,2.6690463172940326e-08,1.0190904120577216e-07
1868,1.1361710683388537e-08,7.311013394684096e-08
1869,1.3673853160867111e-08,7.081102526562688e-08
1870,2.0069171213776826e-08,9.977245163383941e-08
1871,7.434824311758348e-09,5.416800519242315e-08
1872,1.2094679036067646e-08,7.680121238973214e-08
1873,2.095101514498765e-08,7.841665516927776e-08
1874,3.2262889249068394e-08,6.512324257634816e-08
1875,2.2313955128083762e-08,6.465325474991346e-08
1876,9.069021977836655e-09,6.046014533467314e-08
1877,3.958282235316801e-08,9.02983120498746e-08
1878,1.8117266742390115e-08,5.072834374786339e-08
1879,1.221865097988939e-08,5.987138917973311e-08
1880,1.8611753915820373e-08,9.370055287227785e-08
1881,1.8825771164188154e-08,9.552335433760106e-08
1882,1.0648616211028639e-08,1.1713477476860135e-07
1883,1.9589950994713945e-08,6.951272535360431e-08
1884,2.3766109080725073e-08,7.129832813035364e-08
1885,9.023890079618013e-09,6.123353957221411e-08
1886,1.355227396970804e-08,6.13079040312492e-08
1887,1.3710741875172516e-08,6.463635471298801e-08
1888,1.7119660356001987e-08,6.086989978726365e-08
1889,2.192797943223468e-08,8.332632006613494e-08
1890,1.3108772733971819e-08,5.5056844971979046e-08
1891,5.736798147637501e-09,4.525696217783093e-08
1892,1.8178685001757344e-08,6.644623296025998e-08
1893,4.926733243593162e-09,5.234653999153238e-08
1894,1.1342770278588432e-08,4.285046673047077e-08
1895,2.2268873856035043e-08,5.9584283951252814e-08
1896,1.4152869098893461e-08,4.127920338881097e-08
1897,2.4472196713531957e-08,3.612562338162206e-08
1898,1.3014216371232123e-08,3.847681351309973e-08
1899,3.8693048765026106e-09,3.59292577911674e-08
1900,6.22926377147337e-09,4.9315004080341396e-08
1901,1.0618603774048552e-08,3.353243382964166e-08
1902,4.419255628107521e-09,5.646826473082456e-08
1903,1.83607493653426e-08,3.402138926134057e-08
1904,9.674325340824907e-09,5.5896101969210576e-08
1905,1.754658074393234e-08,4.231822448019784e-08
1906,1.4403716441790948e-08,6.533114227380565e-08
1907,7.199980611716228e-09,4.268559966602581e-08
1908,1.9154416719402434e-08,5.8445530193296236e-08
1909,1.430255680556769e-08,5.886052478754067e-08
1910,6.412980813053082e-09,5.825124294034367e-08
1911,1.4365010514438836e-08,6.065226654250466e-08
1912,1.66701485393439e-08,6.615965142398039e-08
1913,9.545381374209683e-09,5.67419884967002e-08
1914,4.68772043404897e-09,5.0895250958138405e-08
1915,1.1780762143587253e-08,4.2410743361642744e-08
1916,3.2962386153911893e-09,5.273981829034824e-08
1917,1.7546279096336548e-08,6.031533406058998e-08
1918,9.189101035644853e-09,8.040463495007089e-08
1919,1.5653341733923298e-08,6.353415177295929e-08
1920,4.543339038320937e-09,7.647954358702691e-08
1921,2.2718242842501013e-09,8.405749474249546e-08
1922,2.0658220023506146e-08,7.599273210701085e-08
1923,1.2739137744688378e-08,9.129715694555784e-08
1924,1.804827398643738e-08,1.2118127212801255e-07
1925,5.499089184013428e-09,9.018506119673475e-08
1926,1.114613823460786e-08,9.920062993273859e-08
1927,5.574612438330462e-09,8.807887441619755e-08
1928,5.713020723163709e-09,9.255093569304762e-08
1929,1.3368487650211591e-08,7.018455705498639e-08
1930,2.100720708497761e-09,6.932378404655992e-08
1931,1.0264820993199919e-08,6.158892595919951e-08
1932,1.0959536389520963e-08,4.9317913419777426e-08
1933,3.4411986593596566e-09,4.7029716121471665e-08
1934,2.3963160344919743e-09,4.313368862085554e-08
1935,1.0771455727365264e-08,5.984141893122796e-08
1936,1.2124714565686645e-09,5.092380206406233e-08
1937,1.510934133364117e-08,4.0291577629858466e-08
1938,3.8895642262559704e-09,6.74191168448246e-08
1939,1.6823455517567254e-08,5.505858347021331e-08
1940,0.0,3.296517903095264e-08
1941,2.9515025978810172e-09,4.132103725851266e-08
1942,6.068423541449874e-09,6.978686917236132e-08
1943,1.7419411690866582e-08,9.870999706507178e-08
1944,1.6065930807940276e-08,1.0282195717081777e-07
