year,avez_VERB eu_VERB,avez_VERB dû_VERB
1800,1.9368053472135216e-06,5.973912493573152e-07
1801,2.512147602828918e-06,8.81037578892574e-07
1802,2.246791609650245e-06,6.80303401168203e-07
1803,1.7728583543430432e-06,6.163072043818829e-07
1804,2.867347120627528e-06,1.1197485036973376e-06
1805,2.5216324957000325e-06,5.5151826927613e-07
1806,2.8931958695466164e-06,9.019624371831014e-07
1807,1.9074598185397917e-06,4.925232133246027e-07
1808,1.774335942172911e-06,6.798222216275462e-07
1809,2.4374940039706416e-06,5.466853849611653e-07
1810,2.6232821710436838e-06,8.120239840536669e-07
1811,1.6897697605600115e-06,4.813587111129891e-07
1812,2.107094587699976e-06,7.174789971031714e-07
1813,1.5126400967346854e-06,6.355389245982224e-07
1814,1.9540864286682336e-06,4.782949076798104e-07
1815,1.882661990748602e-06,6.284531082201283e-07
1816,1.9769161099247867e-06,5.747657496613101e-07
1817,2.797701426970889e-06,8.142447995851398e-07
1818,2.561861037975177e-06,8.094479539977328e-07
1819,2.3621096261194907e-06,9.29524276216398e-07
1820,2.950007228719187e-06,8.448934636362537e-07
1821,4.243398507242091e-06,1.4023036101207254e-06
1822,2.961566906378721e-06,1.02762567166792e-06
1823,2.855108277799445e-06,7.63931723213318e-07
1824,2.629071332194144e-06,8.429533977505344e-07
1825,2.668049319254351e-06,7.19404681603919e-07
1826,2.2522015115100658e-06,6.923075943632284e-07
1827,2.0296436105127214e-06,8.175721291081572e-07
1828,2.7168355245521525e-06,8.383483418583637e-07
1829,2.062706244032597e-06,6.181259664117533e-07
1830,2.2908855044079246e-06,9.591452680979273e-07
1831,2.7565251912164968e-06,9.822459787756088e-07
1832,3.180895873811096e-06,1.2975240224477602e-06
1833,2.5657736841822043e-06,9.985087672248483e-07
1834,2.41951033785881e-06,8.989153457150678e-07
1835,2.822544502123492e-06,8.894191410036001e-07
1836,2.754163460849668e-06,7.628051434949157e-07
1837,2.3002787656878354e-06,8.363384722542833e-07
1838,2.1145742721273564e-06,6.63408229684137e-07
1839,2.2351746338244993e-06,7.152278840294457e-07
1840,2.161872316719382e-06,7.560820449725725e-07
1841,2.1219912014203146e-06,6.947033739379549e-07
1842,2.1124326394783566e-06,6.674723636024282e-07
1843,2.2050498955650255e-06,6.562578391822171e-07
1844,1.9402064026508015e-06,5.472095381264808e-07
1845,2.1210446448094444e-06,6.81903827626229e-07
1846,2.2077324501879048e-06,7.09565540546464e-07
1847,1.8719879335549194e-06,6.574339863618661e-07
1848,2.124743105014204e-06,7.015433425294759e-07
1849,2.175296231143875e-06,7.273332016666245e-07
1850,2.207102625106927e-06,5.83174767143646e-07
1851,2.1050968825875316e-06,4.940270059705654e-07
1852,2.140016249541077e-06,5.989701890030119e-07
1853,2.124813363479916e-06,6.103314262873027e-07
1854,2.0569634671119275e-06,5.850318416378286e-07
1855,2.230505742772948e-06,6.394859042302414e-07
1856,2.460200221321429e-06,6.222981596692989e-07
1857,2.294309297212749e-06,6.262976057769265e-07
1858,2.703756081245956e-06,8.431803735220456e-07
1859,2.2069480110076256e-06,9.232110187440412e-07
1860,2.5174510938086314e-06,9.68989866123593e-07
1861,2.549450073274784e-06,9.299880616708833e-07
1862,2.8196752737130737e-06,7.459195217052184e-07
1863,2.4833254883560585e-06,9.964268201656523e-07
1864,2.533534143367433e-06,9.91070237432723e-07
1865,2.6226537102047587e-06,1.0176197520195274e-06
1866,2.5053041099454276e-06,7.784980766700755e-07
1867,2.414758910163073e-06,8.705943628228852e-07
1868,2.146869292118936e-06,7.320893473661272e-07
1869,2.454456762279733e-06,9.200550152854703e-07
1870,2.2523342977365246e-06,8.188221727323253e-07
1871,2.555455239416915e-06,7.296748663065955e-07
1872,2.6076127142005134e-06,9.125434985435277e-07
1873,2.2633082608081168e-06,8.524070267412753e-07
1874,2.4071700863714796e-06,8.675132221469539e-07
1875,2.570109927546582e-06,9.852469702309463e-07
1876,2.3156237602961482e-06,8.809043379187642e-07
1877,2.49186246037425e-06,8.151587280735839e-07
1878,2.0538941498671193e-06,5.423101470114489e-07
1879,2.3618651994183892e-06,7.233441010612296e-07
1880,2.452258968332899e-06,9.139013172898558e-07
1881,2.448047325742664e-06,8.346091817656998e-07
1882,2.6847824301512446e-06,9.124532880377956e-07
1883,2.396925310677034e-06,7.13453346179449e-07
1884,2.034643102888367e-06,6.278214073063282e-07
1885,1.8421626464260044e-06,6.903275675540499e-07
1886,1.8463359765519272e-06,5.653234325109224e-07
1887,1.9162393982696813e-06,6.803139740441111e-07
1888,1.7962961464945693e-06,5.643146891998185e-07
1889,1.9515900930855423e-06,6.565863372998137e-07
1890,1.9617277757788543e-06,7.000084565333964e-07
1891,1.7707583310766495e-06,6.380594186339295e-07
1892,1.833539840845333e-06,6.155678988761792e-07
1893,1.7582278815098107e-06,5.745802695855673e-07
1894,1.7852261180451023e-06,5.973859060759423e-07
1895,1.7748893696989398e-06,6.554271294589853e-07
1896,1.6081197600215091e-06,5.407575827121036e-07
1897,1.7054790077963844e-06,5.681045536221063e-07
1898,2.094722958645434e-06,5.845080863764451e-07
1899,1.8451056575941038e-06,7.086355253704824e-07
1900,1.674633722359431e-06,6.011239293002291e-07
1901,1.5654057961000944e-06,5.952006745246763e-07
1902,1.4779953971810755e-06,4.920104288430593e-07
1903,1.5271823485818459e-06,5.708033086193609e-07
1904,1.777926058821322e-06,4.853286554862279e-07
1905,1.8042013607555418e-06,5.310421329340898e-07
1906,1.6060143934737425e-06,4.953849952471501e-07
1907,1.6318241478074924e-06,5.590270575339673e-07
1908,1.7268444025830831e-06,6.777717089789803e-07
1909,1.852181185313384e-06,6.562673320331669e-07
1910,1.85548913123057e-06,6.781727392990433e-07
1911,1.6285665651594172e-06,6.480215688497992e-07
1912,1.7717242144499323e-06,7.100441052898532e-07
1913,1.5304428870877018e-06,5.960560542916937e-07
1914,1.4920344710844802e-06,5.652051413562731e-07
1915,1.4325406709758681e-06,5.536958269658498e-07
1916,1.582194499860634e-06,6.955063440727827e-07
1917,1.5484591813219595e-06,6.119265094639559e-07
1918,1.5276880276360316e-06,5.513460337169818e-07
1919,1.5082455320225563e-06,5.819360353598313e-07
1920,1.6931510344875278e-06,6.186513132888649e-07
1921,1.564529611641774e-06,5.490242074301932e-07
1922,1.6954495549725834e-06,6.226977689038904e-07
1923,1.766493824106874e-06,5.881234983462491e-07
1924,1.8525264522395446e-06,7.000152209002408e-07
1925,1.857592224041582e-06,6.587908387700736e-07
1926,1.6786084415798541e-06,6.743413791809871e-07
1927,2.238764409412397e-06,8.027441822378023e-07
1928,1.7196191492985236e-06,5.313108886184637e-07
1929,2.0721156488434644e-06,6.69538451347762e-07
1930,1.7246917423108243e-06,6.218133421498351e-07
1931,1.6115768630697858e-06,6.501053348983987e-07
1932,1.6362588439733372e-06,4.898913061879284e-07
1933,1.5405099702547886e-06,4.852090000895259e-07
1934,1.6055317928476143e-06,5.930882025495521e-07
1935,1.6181120372493751e-06,5.90036393077753e-07
1936,1.416166696799337e-06,5.492495915859763e-07
1937,1.4832337456027744e-06,5.527500661628437e-07
1938,1.4871101257085684e-06,4.5507903223551693e-07
1939,1.4605818705604179e-06,4.985860186934588e-07
1940,1.1132086683574016e-06,3.727600983438606e-07
1941,1.7207260043505812e-06,5.430764531411114e-07
1942,1.514071641395276e-06,4.5513175450651033e-07
1943,1.5387146277134889e-06,6.038729338797566e-07
1944,1.84436885319883e-06,5.173229737920337e-07
1945,1.7950873143490753e-06,6.121596243247041e-07
1946,1.5661241832276573e-06,6.278418140936992e-07
1947,2.2768863345845602e-06,6.866421813356283e-07
1948,1.6057778111644438e-06,6.001282031320443e-07
1949,1.5245814211084507e-06,5.389537705013936e-07
1950,1.7644064200794674e-06,7.12569203642488e-07
1951,1.888134306682332e-06,7.601579454785679e-07
1952,1.4984166227804963e-06,5.483298082253896e-07
1953,1.5201870837699971e-06,5.753223604187951e-07
1954,1.557742280056118e-06,6.586689096366172e-07
