year,seras_VERB en_ADP,seras_VERB dans_ADP
1800,3.772997558826319e-08,3.45858084394024e-08
1801,1.4287095950749062e-08,3.333655484993869e-08
1802,3.8043282302169246e-08,4.0281122437590966e-08
1803,6.631153581793114e-08,5.070882025393075e-08
1804,4.449331569844617e-08,3.9549615138412264e-08
1805,4.8328921309348516e-08,9.097208675257207e-08
1806,2.0171682990621775e-08,1.4408345627714425e-08
1807,1.4234775136401367e-08,5.97860605466849e-08
1808,3.172503681980743e-08,2.7192887941396293e-08
1809,3.6144488291256494e-08,6.551188391767937e-08
1810,5.3822915901946544e-08,7.488405628919281e-08
1811,1.2535384286138651e-08,3.7606151970237534e-08
1812,1.3336041604361526e-08,2.6672083208723052e-08
1813,3.4508900625951355e-08,2.0130190847567064e-08
1814,2.5173417128598885e-08,2.8320094713762956e-08
1815,3.236668177919455e-08,4.8550024445148665e-08
1816,6.952811659743929e-09,3.244645441213834e-08
1817,2.80237220096069e-08,2.335310045342709e-08
1818,2.8610825708597076e-08,3.457141417584353e-08
1819,4.864993385922389e-08,4.45095160728215e-08
1820,4.865257352548724e-08,7.831877280040089e-08
1821,4.6348993976153e-08,4.7335142028259725e-08
1822,7.21844344298006e-08,5.81485721795616e-08
1823,5.336650943377208e-08,6.127265717026376e-08
1824,4.884245186076441e-08,3.789500713224925e-08
1825,4.9310479255382234e-08,4.8429937615779295e-08
1826,3.435113882233054e-08,6.34174881497529e-08
1827,3.2260455640198415e-08,3.594736597278825e-08
1828,3.3020285172824515e-08,2.4765213879618386e-08
1829,5.1439055681612444e-08,3.3435387791769244e-08
1830,5.5315229730013016e-08,5.844628048201628e-08
1831,6.080570358335535e-08,6.704218691311326e-08
1832,3.2471927369215337e-08,2.3000948701223933e-08
1833,5.3284690437749305e-08,5.791814372546611e-08
1834,2.333632664885954e-08,5.227337385171893e-08
1835,5.672315950278062e-08,6.655517381659593e-08
1836,6.58633538819231e-08,4.5701101125672494e-08
1837,4.940102726891382e-08,3.89641890974346e-08
1838,5.680945847075236e-08,4.292270006089893e-08
1839,4.4046291947097416e-08,3.705481788074394e-08
1840,3.758116307039927e-08,5.7327198987877637e-08
1841,4.365973182984817e-08,7.640452537316378e-08
1842,5.634942823462552e-08,6.305769062464606e-08
1843,7.560846171372759e-08,5.198081609592009e-08
1844,4.061535463506516e-08,2.6893950177964143e-08
1845,4.408380149811819e-08,5.412821124650691e-08
