year,voulez_VERB écrire_VERB,voulez_VERB décrire_VERB
1800,3.144164395507687e-08,0.0
1801,3.095537337571841e-08,0.0
1802,4.923248297927785e-08,0.0
1803,7.801356893821776e-09,1.950339223455444e-09
1804,2.2246657849223084e-08,0.0
1805,3.980028751016107e-08,0.0
1806,3.1698359492793315e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,1.581321384946932e-08,0.0
1810,4.914266327205041e-08,0.0
1811,3.760615285841595e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,2.5881675469463516e-08,0.0
1814,1.0069366851439554e-07,0.0
1815,3.236668177919455e-08,0.0
1816,1.622322720606917e-08,0.0
1817,2.3353100786493997e-08,0.0
1818,4.6492591110336434e-08,0.0
1819,7.24573512300708e-09,0.0
1820,3.797273961936298e-08,0.0
1821,3.944595405869222e-08,0.0
1822,2.7069162911175226e-08,1.0025615893027862e-09
1823,1.8777104315859106e-08,0.0
1824,3.8737120178211626e-08,0.0
1825,2.289415235168235e-08,0.0
1826,2.8185549894033102e-08,0.0
1827,2.6730091917670507e-08,0.0
1828,1.559291185060374e-08,0.0
1829,1.457439946506156e-08,5.143905745796928e-09
1830,1.7742621594152297e-08,4.174734336004349e-09
1831,2.8064171431196883e-08,1.5591206103948707e-09
1832,4.19429042608499e-08,0.0
1833,3.70676112027013e-08,3.4750886612755494e-09
1834,1.8669062740173104e-08,1.3068342852307069e-08
1835,1.5882484660778573e-08,4.4622218808854086e-08
1836,2.688300071440608e-08,0.0
1837,3.2006298056330706e-08,6.957890930081589e-10
1838,1.830527018853445e-08,0.0
1839,3.2859933440931854e-08,0.0
1840,1.0828470564661075e-08,1.9109065441114126e-09
1841,1.6693427085101575e-08,6.420548537278137e-10
1842,2.1466448174578545e-08,6.708265054555795e-10
1843,3.6622846977252266e-08,5.906911071384968e-10
1844,8.232841963717874e-09,2.195424508855126e-09
1845,1.1718478631905782e-08,9.48638767539478e-09
1846,1.0538101946622191e-08,0.0
1847,1.77976389181822e-08,0.0
1848,1.609044275596716e-08,0.0
1849,2.5976186535103807e-08,0.0
1850,2.9192683825840504e-08,0.0
1851,1.1608989325395669e-08,0.0
1852,2.7344290387532055e-08,0.0
1853,1.3138249599364826e-08,0.0
1854,1.558699302961486e-08,0.0
1855,1.4328730202350926e-08,6.368324534378189e-09
1856,1.5531567143511893e-08,1.5531567143511893e-09
1857,1.2691923956253959e-08,0.0
1858,1.0766087576996597e-08,9.787352039936081e-10
1859,1.2730433596175317e-08,0.0
1860,2.3801355553132453e-08,0.0
1861,3.772770895693611e-08,0.0
1862,3.8402884428023754e-08,3.162590411776023e-09
1863,3.096664968893492e-08,0.0
1864,1.3904711160250827e-08,9.589455896019672e-10
1865,1.4591217123438582e-08,0.0
1866,2.238181906477621e-08,1.4596839292835284e-09
1867,2.0867089389753346e-08,0.0
1868,1.0373735648272486e-08,2.4699371437009177e-09
1869,1.8069020057964735e-08,4.883519144627257e-10
1870,1.3188312664169644e-08,0.0
1871,2.7615060460561835e-08,0.0
1872,2.53988243770209e-08,0.0
1873,1.3169209722718733e-08,1.1972008939764578e-09
1874,1.8521287614703397e-08,1.1949218281515073e-09
1875,1.6592428764283795e-08,0.0
1876,3.083467703390852e-08,0.0
1877,2.5976227391311113e-08,3.0924081073635534e-09
1878,2.3552445327368332e-08,0.0
1879,9.774920428640144e-09,0.0
1880,2.1178893305773272e-08,0.0
1881,2.2312024228199334e-08,4.8807553554297556e-09
1882,2.1962771157291172e-08,0.0
1883,3.981183382961717e-08,0.0
1884,1.8484751507230612e-08,6.601696966868076e-10
1885,1.6758653131887513e-08,1.2891271383708158e-09
1886,3.0976625708944994e-08,0.0
1887,1.1099172247952538e-08,5.876032105334161e-09
1888,6.974675947901687e-09,0.0
1889,1.4409814674820609e-08,1.0024218788373673e-08
1890,1.4419650362640368e-08,0.0
1891,1.5935549768641977e-08,6.374220040683554e-10
1892,2.193979398157353e-08,6.268512375839919e-10
1893,2.0938616174248637e-08,0.0
1894,1.827446460822557e-08,0.0
1895,3.611168697403855e-09,0.0
1896,7.66613794667137e-09,0.0
1897,1.1653426668090106e-08,0.0
1898,5.6583546736987955e-09,0.0
1899,6.633094074004475e-09,5.527578395003729e-10
1900,2.28406342728249e-08,0.0
1901,1.620734302321125e-08,5.029864968975062e-09
1902,3.928227076954727e-09,9.820567692386817e-10
1903,4.860198465905796e-09,1.0800440541913758e-09
1904,1.5586412160928376e-08,0.0
1905,1.651442893546573e-08,0.0
1906,1.0288369267641428e-08,1.0288369045596824e-09
1907,1.2857108266928208e-08,5.65712765521198e-09
1908,2.553922229253658e-08,2.4556945366072114e-09
1909,9.901770070541716e-09,3.300590023513905e-09
1910,2.2445432179551972e-08,1.068830135508847e-09
1911,2.6601871816467337e-09,5.320374141248863e-10
1912,1.40654377034366e-08,5.209421227725386e-10
1913,1.2727175757731857e-08,5.30298971401777e-10
1914,1.339348720819089e-08,2.0090231700464756e-09
1915,1.295883844676382e-08,0.0
1916,9.888715624128963e-09,1.0987462051303964e-09
1917,9.869782324756216e-09,0.0
1918,1.8378202071289707e-08,0.0
1919,1.9336480860943084e-08,0.0
1920,1.665890891899835e-08,0.0
1921,2.3475516641724425e-08,0.0
1922,1.0329110011753073e-08,0.0
1923,1.4862327368803108e-08,0.0
1924,1.0313299547703991e-08,3.867487219366694e-09
1925,1.0998178368026856e-08,0.0
1926,6.687683296036084e-09,2.229227691330493e-09
1927,2.0068604555945058e-08,0.0
1928,1.4853853258500749e-08,3.4278122562625413e-09
1929,2.0052731031228177e-08,0.0
1930,1.995684684175103e-08,0.0
1931,7.983749661377715e-09,3.4216069977333063e-09
1932,3.287861094491973e-09,0.0
1933,9.176529758292418e-09,0.0
1934,1.5576054224197833e-08,1.1981580172459871e-09
1935,2.393656828303392e-08,0.0
1936,1.4549657478823974e-08,0.0
1937,1.0072894518486919e-08,1.2591118148108649e-09
1938,2.5930428915188486e-09,0.0
1939,9.176430282309411e-09,0.0
1940,1.0143131667916805e-08,0.0
1941,2.9515025090631752e-08,0.0
1942,3.034211770724937e-09,0.0
1943,3.774205836748479e-08,2.9032352077962287e-09
1944,3.2131861615880553e-09,6.4263723231761105e-09
1945,3.267756198965799e-08,4.357008087652048e-09
1946,1.5313215584455975e-08,2.7842208538686464e-09
1947,1.4305045148432782e-08,0.0
1948,1.6307831529616124e-08,2.174377566888097e-09
1949,8.835307596655184e-09,0.0
1950,6.381216888229346e-09,1.0635361480382244e-09
1951,2.1322803078760444e-08,0.0
1952,1.7926167217297007e-08,0.0
1953,1.6160740301529586e-08,2.1547654771580937e-09
1954,1.3681550115052232e-08,0.0
1955,1.3139850985055546e-08,0.0
1956,1.1337483840634377e-08,3.488456634670456e-09
1957,1.0602045463770082e-08,8.835037701437898e-10
1958,5.790570245522986e-09,0.0
1959,6.200598257066758e-09,7.750747821333448e-10
1960,1.7302083321624195e-08,0.0
1961,8.33779090214648e-09,2.08444772553662e-09
1962,1.331810839388936e-08,0.0
1963,1.681173777967615e-08,0.0
1964,1.8251904876365188e-08,1.2167936658258327e-09
1965,1.586892572902343e-08,1.0944086747954884e-09
1966,1.495550172592175e-08,0.0
1967,1.627010703941778e-08,2.465167847631733e-09
1968,1.527081394669949e-08,8.982831700699023e-10
1969,1.3171097990039016e-08,4.5417578031781147e-10
1970,2.115413444414571e-08,9.197450023812337e-10
1971,8.221435976452085e-09,3.5968783507200897e-09
