year,es_VERB en_PRON,es_VERB dans_ADP
1800,3.144164484325529e-09,1.0061326349841693e-07
1801,7.143547975374531e-09,5.476719877606229e-08
1802,4.475680270843441e-09,6.265952379180817e-08
1803,9.751696339321825e-09,6.826187615160961e-08
1804,0.0,3.707776485839531e-08
1805,2.842877711017877e-09,8.812921237222326e-08
1806,0.0,3.7461699520235925e-08
1807,0.0,5.124519120158766e-08
1808,0.0,7.704651894258063e-08
1809,0.0,4.292158095609011e-08
1810,0.0,7.488405628919281e-08
1811,0.0,1.1031137603367824e-07
1812,0.0,1.600324850414836e-08
1813,0.0,9.777521370324394e-08
1814,0.0,8.181360300341112e-08
1815,0.0,6.203614333344376e-08
1816,0.0,1.0197457100957763e-07
1817,3.113746815941454e-09,3.89218364205135e-08
1818,1.1921177378582115e-09,2.6226590676969863e-08
1819,0.0,4.7614829967734806e-08
1820,0.0,6.40789963313182e-08
1821,0.0,7.396116152857957e-08
1822,0.0,5.81485721795616e-08
1823,0.0,6.819053632867167e-08
1824,0.0,3.2842340402794434e-08
1825,0.0,6.956300069305144e-08
1826,8.807984341885344e-10,4.580151724553616e-08
1827,0.0,4.5164637085814974e-08
1828,0.0,6.053718948351161e-08
1829,0.0,4.200856196234781e-08
1830,0.0,7.618890407457002e-08
1831,0.0,7.171954763407484e-08
1832,0.0,2.976593194148336e-08
1833,0.0,4.170106393530659e-08
1834,0.0,4.573920264761e-08
1835,0.0,6.201732105637348e-08
1836,0.0,6.720750284072707e-08
1837,6.957890930081589e-10,6.957890841263747e-08
1838,6.312161904276081e-10,7.32210807541378e-08
1839,0.0,9.088918062616358e-08
1840,1.9109065441114126e-09,1.0701077002295278e-07
1841,6.420548537278137e-10,7.126809009605495e-08
1842,0.0,8.117000671603591e-08
1843,0.0,1.0514301440611717e-07
1844,0.0,8.013299629405779e-08
1845,0.0,2.0925854987696724e-07
1846,5.854501328173001e-10,8.840296872314468e-08
1847,1.6179670936367074e-09,6.364003724002032e-08
1848,8.045221711050488e-10,5.229394162142853e-08
1849,0.0,4.1059134758825167e-08
1850,2.7155984128057753e-09,6.042206646128534e-08
1851,0.0,5.030562122421145e-08
1852,1.9531636308300904e-09,5.794385615764952e-08
1853,5.971931837933653e-10,1.0630038360659455e-07
1854,0.0,8.157193320812439e-08
1855,0.0,6.739809776945549e-08
1856,1.0354378465748937e-09,8.024642994541864e-08
1857,0.0,8.249750133026978e-08
1858,1.468102750479261e-09,1.0276719564217274e-07
1859,1.5276520048956854e-09,8.860381917052962e-08
1860,0.0,1.016134802966917e-07
1861,0.0,1.0988195653371946e-07
1862,0.0,6.505900529418795e-08
1863,4.994620828036034e-10,9.889349456004837e-08
1864,6.233146443435089e-09,2.1240644509923357e-07
1865,0.0,1.736825510079143e-07
1866,4.865612912574591e-10,8.855415539743561e-08
1867,1.94112459439566e-09,6.502767213589777e-08
1868,1.4819622196071691e-09,6.817025943739452e-08
1869,0.0,7.471784202461862e-08
1870,4.013834153937523e-09,7.282241654138488e-08
1871,0.0,7.328612383616928e-08
1872,1.2094678591978436e-09,9.25242938931703e-08
1873,5.986004469882289e-10,5.866284541466982e-08
1874,0.0,7.647499700169647e-08
1875,5.721527140956084e-10,9.154443370018583e-08
1876,6.04601479992084e-10,6.106474748079904e-08
1877,0.0,8.596894218726447e-08
1878,7.2469061862534545e-09,7.428079129567777e-08
1879,0.0,4.7652736867576095e-08
1880,1.9253538763308597e-09,4.8133846464182284e-08
1881,0.0,6.693606963148468e-08
1882,6.655385131892899e-10,6.455723577936112e-08
1883,0.0,5.9401784824331116e-08
1884,0.0,7.393900602892245e-08
1885,0.0,5.607703101873085e-08
1886,6.453463874400711e-10,5.8726520535401505e-08
1887,0.0,5.810742820244741e-08
1888,0.0,5.135897751529228e-08
1889,0.0,7.330209683686917e-08
1890,0.0,4.653614382732485e-08
1891,0.0,4.52569608455633e-08
1892,0.0,7.647585253955924e-08
1893,6.158416554491453e-10,4.310891560388441e-08
1894,6.301539290376468e-10,3.7809236630437226e-08
1895,0.0,6.138986918813316e-08
1896,0.0,5.425266635938897e-08
