year,aux_ADP unes_PRON,aux_ADP dunes_NOUN
1800,3.552905738501977e-07,1.509198916949117e-07
1801,4.690929671369304e-07,4.4289995670965254e-07
1802,4.095247447821748e-07,9.398928568771225e-08
1803,6.338602567268481e-07,8.191424782921786e-08
1804,5.017857496181222e-07,2.1010732487170003e-07
1805,4.0368862563866514e-07,1.7910130090115217e-07
1806,4.034336722469334e-07,2.3053352826707396e-07
1807,4.156554567202875e-07,2.476850937682684e-07
1808,4.1015938911925787e-07,1.7222161829977267e-07
1809,3.4337264054329353e-07,1.5361407634806312e-07
1810,4.3526358384227137e-07,2.363528017745864e-07
1811,3.0586335242333007e-07,1.1031137958639192e-07
1812,2.5871921138787e-07,9.601949102489016e-08
1813,3.105800914227075e-07,7.476928232108548e-08
1814,2.8005426777610865e-07,9.125363575890333e-08
1815,3.991890764609707e-07,7.82194824466842e-08
1816,4.0094547415492343e-07,6.952811482108245e-08
1817,3.6430837013767814e-07,1.214361262658059e-07
1818,4.077042725647573e-07,1.0371424252753059e-07
1819,3.61251650815575e-07,5.79658792076998e-08
1820,3.4175465124519633e-07,7.119888678630559e-08
1821,4.0826561065188116e-07,9.07256898496911e-08
1822,3.920015814173894e-07,1.0627152846609533e-07
1823,4.48673983299841e-07,2.52008511170132e-07
1824,3.4779195523526596e-07,1.0863235022640083e-07
1825,3.0642941606373597e-07,9.509878395874694e-08
1826,3.073986665214079e-07,8.103345550125596e-08
1827,2.949527289075604e-07,8.479891278057039e-08
1828,3.3203731186759455e-07,1.219916079264749e-07
1829,2.2804648303065278e-07,6.601345603485242e-08
1830,2.9953719504760556e-07,7.305785132416531e-08
1831,1.9644919801997673e-07,1.3564348932959547e-07
1832,4.667839537120244e-07,5.817886794545757e-08
1833,3.1391633337207736e-07,2.2356403228673827e-07
1834,2.464316164463298e-07,1.1668163613087756e-07
1835,3.335321849817774e-07,2.2916157149666105e-07
1836,2.607650997354938e-07,1.1626897844507766e-07
1837,3.06147194706341e-07,8.90610021286875e-08
1838,3.3517578579278506e-07,1.2498080437239878e-07
1839,3.2160785501389455e-07,1.3563461465082582e-07
1840,2.9746446550404926e-07,8.726473338382945e-08
1841,2.953452327147943e-07,6.869986801660843e-08
1842,2.824179450300335e-07,1.0263645577879288e-07
1843,3.6859125618349253e-07,9.332919337357026e-08
1844,2.980288664744535e-07,9.385439625475556e-08
1845,4.2130719979383e-07,2.0646842813221156e-07
1846,2.8277240904373e-07,8.95738700990023e-08
1847,2.901554241319104e-07,1.01392604534567e-07
1848,2.78364664652031e-07,8.930196315759531e-08
1849,2.4719274449580553e-07,2.2792008280703158e-07
1850,3.3605530980196363e-07,1.2831202855778656e-07
1851,3.2376183156657135e-07,1.0190113641783682e-07
1852,3.724032104912567e-07,5.9245962802378926e-08
1853,2.705285035986549e-07,1.295909226595171e-07
1854,3.0134853012953045e-07,1.1430461555050897e-07
1855,2.706537785002183e-07,1.3373481877465565e-07
1856,2.795682103595709e-07,1.0147290829820577e-07
1857,2.670185548225845e-07,1.5523199081712846e-07
1858,3.3472745109008883e-07,8.36818578875409e-08
1859,3.152055167987555e-07,1.24758248176704e-07
1860,3.153679708489676e-07,8.238931314963338e-08
1861,3.065376521504959e-07,1.0092162333608101e-07
1862,3.4924033442962354e-07,1.644547015233755e-07
1863,2.8918853356429963e-07,1.5882894244256818e-07
1864,3.04944689943909e-07,1.5439023981489441e-07
1865,2.8429338527757864e-07,1.0072646955405773e-07
1866,2.393881519680008e-07,1.1580158809643137e-07
1867,2.1983236564437902e-07,6.89099213246891e-08
1868,2.326680661468572e-07,9.385760746383198e-08
