year,les_DET hommages_NOUN,les_DET dommages_NOUN
1800,3.1661735278021297e-06,1.6349655567182708e-06
1801,2.8859933181024644e-06,1.3715611544284911e-06
1802,2.804013774948544e-06,2.215461847754341e-06
1803,2.6992695723038196e-06,2.0673596026199448e-06
1804,2.632521209022798e-06,3.73743867498888e-06
1805,3.104422376054572e-06,3.3517528379434225e-06
1806,2.7260591082267638e-06,3.7576966462893324e-06
1807,3.160120286338497e-06,7.570053867311799e-06
1808,2.918703401633138e-06,5.121327376400586e-06
1809,2.8373423788252694e-06,4.935981650078247e-06
1810,3.89865115835164e-06,5.211462166698766e-06
1811,2.389244247780198e-06,5.056773716205498e-06
1812,3.4273625999503565e-06,4.30487392577561e-06
1813,3.1201796062418907e-06,2.904499041278541e-06
1814,4.515481620614992e-06,2.7376092077702197e-06
1815,3.816571364723131e-06,1.9150287808855637e-06
1816,2.7301372824695136e-06,2.222582082822555e-06
1817,3.2818890574048964e-06,1.7141175590040802e-06
1818,3.04109241255901e-06,1.701151994382144e-06
1819,3.915802238907418e-06,2.7554496142556673e-06
1820,3.688102367505053e-06,1.936609756114649e-06
1821,3.516606625453278e-06,2.669504837626846e-06
1822,3.2452919356273924e-06,2.3740658008364335e-06
1823,2.8679557928512622e-06,3.0231138197223117e-06
1824,3.6303417942917804e-06,2.822756968612339e-06
1825,3.7299857922334922e-06,2.992089619624494e-06
1826,3.514385852554369e-06,3.145331220366643e-06
1827,3.22235867145082e-06,4.821555648959475e-06
1828,2.8828541900338678e-06,4.687045930040767e-06
1829,2.998039747126313e-06,3.7464779722995445e-06
1830,3.328306910077572e-06,4.065147464871188e-06
1831,2.270079541233372e-06,4.739726733760108e-06
1832,2.77499677281412e-06,3.663915634888326e-06
1833,3.076611704955212e-06,3.874723745411757e-06
1834,3.0663933507923957e-06,4.008247628917161e-06
1835,2.9155702989669408e-06,3.4964154735916964e-06
1836,2.4275348309288347e-06,3.530409912855248e-06
1837,2.218175737311867e-06,3.303606575855156e-06
1838,2.4175581074814545e-06,3.426241377724182e-06
1839,2.092548513132897e-06,3.581033652721999e-06
1840,2.3867222438411773e-06,3.421159846084265e-06
1841,2.3614777475700066e-06,3.913324377435856e-06
1842,2.6343357717451e-06,3.728453634721518e-06
