year,quels_PRON ont_VERB,quels_DET dons_NOUN
1800,5.973912564627426e-07,2.2009150946189493e-08
1801,8.000773732419475e-07,3.095537337571841e-08
1802,5.102275508761522e-07,1.5664880947952042e-08
1803,4.5637936807452206e-07,3.315576746487636e-08
1804,5.413353534322596e-07,3.460591457837836e-08
1805,4.0368863096773566e-07,2.842877666608956e-08
1806,6.426122070024576e-07,7.780506550147948e-08
1807,5.01064093327841e-07,1.9928686256776018e-08
1808,4.940041264944739e-07,1.0423940466353088e-07
1809,4.7439640837865227e-07,3.388545799509757e-08
1810,6.996979351470145e-07,6.084329839950442e-08
1811,4.613021360455605e-07,4.512738094319957e-08
1812,5.147711874542438e-07,2.400487275622254e-08
1813,4.6011867027573317e-07,2.0130191291656274e-08
1814,6.38775475181319e-07,1.2586708564299443e-08
1815,4.693168875746778e-07,6.203614244526534e-08
1816,5.029200593753558e-07,6.952811837379613e-08
1817,4.7017577031738256e-07,5.4490568501819325e-08
1818,5.722165212773689e-07,2.026600132154499e-08
1819,5.154822915187651e-07,2.4842520929269085e-08
1820,5.363649577816432e-07,2.1359665147713258e-08
1821,6.429690273535016e-07,5.325203744632745e-08
1822,5.734652290811937e-07,5.012807946513931e-08
1823,6.937646332971781e-07,1.680056804787e-08
1824,5.498986723750932e-07,7.073734931140052e-08
1825,5.071935262890293e-07,5.459374508021142e-08
1826,5.205518789352936e-07,5.2847905607222856e-08
1827,6.45209127014823e-07,2.6730091917670507e-08
1828,5.118144059679253e-07,1.9261832129302547e-08
1829,6.146967166387185e-07,3.943660953353856e-08
1830,6.710885571692415e-07,1.6698937344017395e-08
1831,5.753154965759677e-07,1.0913843828674885e-08
1832,5.006088770187489e-07,5.682587023159158e-08
1833,4.587117032883725e-07,5.79181431703546e-08
1834,5.992768663531933e-07,2.9870498963191494e-08
1835,6.753837240580651e-07,2.647080776796429e-08
1836,5.746241313886458e-07,3.293167605278313e-08
1837,6.679575363932599e-07,4.0355766728339404e-08
1838,5.863998566724149e-07,3.092959310890819e-08
1839,6.348259660171607e-07,1.3283802946517653e-08
1840,6.427015932786162e-07,2.4204816817530173e-08
1841,6.29213772640469e-07,2.8892468417751616e-08
1842,5.661775688281523e-07,2.3478927690945284e-08
1843,7.448614951499621e-07,2.6581100209810415e-08
1844,5.274507515196092e-07,4.500620409686462e-08
1845,7.070148839716239e-07,4.9664030221663324e-08
1846,6.949293265279266e-07,2.2832555401919308e-08
1847,7.199953699910111e-07,2.9123408573639153e-08
1848,7.771684238377929e-07,3.700801975980994e-08
1849,9.158700464695357e-07,1.1731180915575123e-08
1850,7.05376706378047e-07,2.9192682937662084e-08
1851,6.642922016908415e-07,1.9993260380601896e-08
1852,6.158975978109993e-07,2.3437963569961084e-08
1853,5.965959957165978e-07,1.7318602552052198e-08
1854,5.964622857845825e-07,3.4810951454744554e-08
1855,7.594227042773127e-07,5.094659627502551e-08
1856,7.046154451018083e-07,3.20985731327994e-08
1857,6.921980002516648e-07,4.4421733846888856e-08
1858,6.278586255348273e-07,2.9851423111182385e-08
1859,6.528166238695121e-07,3.0043823429082295e-08
1860,6.078500405237719e-07,2.654766628751304e-08
1861,5.876090938272682e-07,4.008569209901225e-08
1862,6.749871488409553e-07,2.4848925583853543e-08
1863,5.943598750945966e-07,2.8968801135675903e-08
1864,6.376988039846765e-07,4.938569686530059e-08
1865,5.784711518685981e-07,3.388927893865912e-08
1866,6.544249373519051e-07,3.454585151274614e-08
1867,8.497273142893391e-07,2.523461972714358e-08
1868,7.992715893578861e-07,1.3831647049933338e-08
1869,6.109282537636318e-07,2.9789466005070153e-08
1870,6.920997179804544e-07,2.695002976338401e-08
1871,5.491148442615668e-07,2.6552943399593687e-08
1872,6.289233027700902e-07,3.0236695813812275e-08
1873,7.033555249336132e-07,2.693702061407066e-08
1874,5.257656141566258e-07,1.1351757311928168e-08
1875,7.500921839209695e-07,1.830888685105947e-08
1876,6.281809277197681e-07,2.7207065933509966e-08
1877,6.630122584283527e-07,2.1646855974388757e-08
1878,5.634469744109083e-07,1.3285994970857473e-08
1879,7.19067571708365e-07,2.993569392373274e-08
1880,5.904418571844872e-07,1.9253539429442412e-08
1881,6.289201763820529e-07,1.2550513517339823e-08
1882,5.923292718534867e-07,1.3976308999019693e-08
1883,5.965456040257777e-07,1.8958016489989404e-08
1884,5.670857774475735e-07,1.7824581810543805e-08
1885,6.013778062197161e-07,1.5469525438405185e-08
1886,5.491897709930527e-07,1.1616234862898978e-08
1887,6.829255028151238e-07,1.8933882239835498e-08
1888,6.004562038697259e-07,2.155808975778939e-08
1889,5.958145123940994e-07,2.568706025662948e-08
1890,5.728533665205759e-07,2.16294753774271e-08
1891,5.908902096507518e-07,2.8046567734918426e-08
1892,6.50671566404526e-07,2.2566645219157522e-08
1893,6.546396917883612e-07,3.387129021703572e-08
1894,6.339348743722439e-07,2.3315695596437536e-08
1895,6.807053125612583e-07,3.069493326179895e-08
1896,6.887729995241898e-07,2.240870994318911e-08
1897,6.700720831531726e-07,1.1653426668090106e-08
1898,6.314724174671937e-07,2.093591344731749e-08
1899,6.284856652882809e-07,1.6582735185011188e-08
1900,7.111742661436438e-07,2.491705508589348e-08
1901,6.158790313293139e-07,1.2295225282343836e-08
1902,5.033041077240341e-07,2.0132163491837218e-08
1903,5.443422139705945e-07,1.8900771614482892e-08
1904,6.073326659361555e-07,2.1498501645567103e-08
1905,5.692317301964067e-07,2.2191264381632436e-08
1906,5.48884500517488e-07,3.446603624723821e-08
1907,5.847413007131763e-07,1.5942815068115124e-08
1908,4.940857465385307e-07,2.7994917495277605e-08
1909,4.730845972744646e-07,2.1453835763463047e-08
1910,5.07159882090491e-07,2.2979848246507117e-08
1911,5.623635388474213e-07,2.2877609140437016e-08
1912,5.073976154790216e-07,1.4586379659675686e-08
1913,4.884053481646333e-07,4.295421796030041e-08
1914,4.38636710953233e-07,1.808120764223986e-08
1915,5.31312366547354e-07,1.5314990609027745e-08
1916,5.241019493951171e-07,1.6481192854911342e-08
1917,4.244006177600568e-07,1.4256351654751143e-08
1918,4.502659365357431e-07,1.8378202071289707e-08
1919,4.2816494527642135e-07,3.591060848684435e-08
1920,3.8466938434567055e-07,3.407504367558545e-08
1921,4.369475163912284e-07,3.256281466690325e-08
1922,4.6112096185879636e-07,2.2871600613427745e-08
1923,4.426850210847988e-07,4.4586981218230903e-08
1924,4.512068585427187e-07,4.1253197746726755e-08
1925,3.6843896822347233e-07,4.8391981977147225e-08
1926,3.611348731169528e-07,3.566764272822098e-08
1927,3.868780922289261e-07,1.1149225098705529e-08
1928,4.0448185956165617e-07,2.1709478437159646e-08
1929,3.8880019559428547e-07,2.6736974412244763e-08
1930,4.4220169570508006e-07,2.6259009633378128e-08
1931,3.9120372008483173e-07,2.5091783761865827e-08
1932,3.8029590854193884e-07,2.7398840973802407e-08
1933,4.393263708379891e-07,2.1794257953899887e-08
1934,4.409221432410959e-07,9.585264137967897e-09
1935,3.123722223108416e-07,1.6755597798123745e-08
1936,3.2130493821114214e-07,3.516167090822364e-08
1937,3.7143797726457706e-07,2.1404900851784703e-08
1938,4.1877642331655807e-07,1.6854778683850213e-08
1939,3.991747092868536e-07,1.8352860564618823e-08
1940,4.107968365474335e-07,1.0143131667916805e-08
1941,3.276167888088821e-07,2.066051907334554e-08
1942,2.791474855712295e-07,3.944475457373642e-08
1943,3.570979387745865e-07,2.6129116870166058e-08
