year,vos_DET hivers_NOUN,vos_DET divers_ADJ
1800,0.0,4.087413785214267e-08
1801,1.4287095950749062e-08,2.6193008650921e-08
1802,0.0,3.8043282302169246e-08
1803,1.950339223455444e-09,7.801356893821776e-09
1804,4.943701892301533e-09,2.2246657849223084e-08
1805,0.0,1.1371510844071508e-08
1806,5.187004603612877e-08,2.881669125542885e-09
1807,1.1387820464392462e-08,2.8469550272802735e-08
1808,0.0,2.039466551195801e-08
1809,2.259030518203531e-09,9.036122072814123e-09
1810,4.680253518074551e-09,2.3401267590372754e-09
1811,1.504245972228091e-08,5.0141535368197765e-09
1812,8.00162425207418e-09,2.6672083208723052e-08
1813,2.8757416448144113e-09,5.751483289628823e-09
1814,6.293354282149721e-09,1.2586708564299443e-08
1815,0.0,1.6183340889597275e-08
1816,0.0,9.270415546325239e-09
1817,7.784366928831332e-09,2.0239355080775567e-08
1818,1.0729059418679299e-08,2.1458118837358597e-08
1819,1.035105001712111e-09,1.3456364911235141e-08
1820,8.306536791735653e-09,6.64522934457068e-08
1821,1.1833785507064931e-08,2.2681422962023134e-08
1822,2.0051231786055723e-09,1.9048670196752937e-08
1823,1.4824030003524058e-08,6.917880934764753e-09
1824,8.421112696055388e-10,1.3473780313688621e-08
1825,8.805443041381977e-10,1.7610886082763955e-09
1826,0.0,9.688783109140786e-09
1827,5.530363722527909e-09,5.530363722527909e-09
1828,1.8344602503717056e-09,4.4027046897099353e-08
1829,1.714635211591542e-09,6.858540846366168e-09
1830,2.0873671680021744e-09,1.7742621594152297e-08
1831,2.0268567268999504e-08,1.091384405071949e-08
1832,9.470978667991403e-09,8.117981842303834e-09
1833,0.0,1.6217079235048004e-08
1834,9.334530925997342e-10,1.4935249481595747e-08
1835,3.025235173481633e-09,2.949604294144592e-08
1836,3.36037508930076e-09,1.8146025126952736e-08
1837,3.478945576063097e-09,3.7572612465730515e-08
1838,1.8936485712828244e-09,2.0830134062066463e-08
1839,2.0974426639952526e-09,3.355908262392404e-08
1840,6.3696887764308485e-09,2.293087852933695e-08
1841,1.2841097074556274e-09,3.7239180628034774e-08
1842,1.341653010911159e-09,3.5553803456878086e-08
1843,4.134837805480629e-09,1.5357969118667825e-08
1844,2.195424508855126e-09,9.330554162634286e-09
1845,2.2320911785556063e-09,1.562463758375543e-08
1846,2.9272506640865004e-09,3.2785209214125643e-08
1847,1.0786447290911383e-09,4.476375625728224e-08
1848,0.0,3.539897619475596e-08
1849,2.513824481908955e-09,4.8600607982507427e-08
1850,3.394498016007219e-09,4.2091777174846357e-08
1851,3.8696632564949596e-09,2.8377531435808123e-08
1852,6.510545436100301e-10,1.5625309046640723e-08
1853,5.971931837933653e-10,1.7318601663873778e-08
1854,1.0391328908454511e-09,2.0782657372819813e-08
1855,4.776243400783642e-09,3.1841622671890946e-08
1856,2.0708756931497874e-09,1.8120163147727908e-08
1857,2.4407544874094356e-09,2.0990489346672803e-08
1858,1.2234189661342043e-08,1.3702292633865909e-08
1859,3.055304009791371e-09,1.476730293603623e-08
1860,3.204028820036342e-09,1.785101666484934e-08
1861,1.0375120318428799e-08,3.6784516987964366e-08
1862,1.671654992208005e-08,4.02100790442006e-08
1863,1.748117206545885e-08,1.4983863039219614e-08
1864,3.835782358407869e-09,1.6781548595190543e-08
1865,3.765475486972036e-09,1.7415323905201063e-08
1866,7.298419202328432e-09,7.298419202328432e-09
1867,3.88224918879132e-09,1.844068364675877e-08
1868,5.433861360870651e-09,1.0373735648272486e-08
1869,1.953407657850903e-09,2.6371003158942585e-08
1870,0.0,2.4656408914580652e-08
1871,1.0621177271019633e-09,8.496941816815706e-09
1872,1.2094678591978436e-09,4.354084381930079e-08
1873,3.591602570907071e-09,2.933142118077825e-08
1874,7.766991494406739e-09,3.345780963392997e-08
1875,5.721527140956084e-10,2.5174718643050653e-08
1876,4.232210137899983e-09,1.6928840551599933e-08
1877,3.710889595609501e-09,1.2988113251566347e-08
1878,6.039088673581716e-10,7.850815442189685e-09
1879,2.443730107160036e-09,6.109325378922392e-09
1880,9.626769603698904e-09,1.2193908105473383e-08
1881,7.669758161910067e-09,1.1156012114099667e-08
1882,1.9966155395678697e-09,1.7969540300200038e-08
1883,6.319338829996468e-09,2.464542170343975e-08
1884,3.300848483434038e-09,1.2543224237049344e-08
1885,3.2228177904158883e-09,2.4493415295978593e-08
1886,0.0,4.5174246565693466e-09
1887,6.528924623161458e-10,7.834709381260296e-09
1888,1.268122939990235e-09,1.0779045211961602e-08
1889,3.132568426877924e-09,1.1903759755682586e-08
1890,6.554386366985909e-09,2.2284914580339432e-08
1891,7.0116419337296065e-09,2.6134301833735663e-08
