year,nous_PRON irons_VERB,nous_PRON dirons_VERB
1800,1.2293683084863005e-06,4.36095626810129e-06
1801,1.559674529971744e-06,4.54805888239207e-06
1802,1.4702609689720703e-06,4.3436477881186875e-06
1803,1.2326144087637658e-06,3.4872065270974417e-06
1804,1.3916520913426211e-06,3.3073365557356738e-06
1805,1.2053801299316547e-06,4.497432655625744e-06
1806,1.178602644813509e-06,3.486819650788675e-06
1807,1.1160063877468929e-06,3.6754189522980596e-06
1808,8.724385054392769e-07,3.4104414794455806e-06
1809,1.1588826396291552e-06,3.7996893524905317e-06
1810,1.5632046483915474e-06,4.645151534532488e-06
1811,1.168297757203618e-06,3.562556003089412e-06
1812,1.0162063404095534e-06,4.462239417080127e-06
1813,9.202373121297569e-07,4.56955342542642e-06
1814,9.723232352598643e-07,5.758419092671829e-06
1815,9.224504680105383e-07,4.765994049193978e-06
1816,8.806894697954704e-07,4.3176959252377856e-06
1817,1.0135246100162476e-06,4.521160462900298e-06
1818,1.192117764503564e-06,4.702904448095069e-06
1819,8.736286360999657e-07,4.350546305431635e-06
1820,1.5450158059593377e-06,4.923402912027086e-06
1821,1.8224030213787046e-06,5.738399863730592e-06
1822,1.7334289452719531e-06,5.115069257044524e-06
1823,1.4221186006579956e-06,4.890941681878758e-06
1824,1.5275898874733684e-06,6.928049401722092e-06
1825,1.6166792988769885e-06,4.445868171387701e-06
1826,1.2718729180960509e-06,4.7704043026897125e-06
1827,1.3097745181767095e-06,4.72569581688731e-06
1828,1.3419076765330828e-06,5.458436589833582e-06
1829,1.366564220006694e-06,5.366808295548253e-06
1830,1.4381959942966205e-06,5.418805017143313e-06
1831,1.5840665525956865e-06,6.194386287461384e-06
1832,1.7913679073444655e-06,6.594506999135774e-06
1833,1.4803877093072515e-06,7.099605682014953e-06
1834,1.5868702121224487e-06,6.275605187511246e-06
1835,1.8816962210621568e-06,6.478541308752028e-06
1836,1.8387972602340596e-06,8.136812084558187e-06
1837,1.5390854457564274e-06,7.2925654421851505e-06
1838,1.5048194086375588e-06,7.310745672839403e-06
1839,1.7247969026357168e-06,7.05369916431664e-06
1840,1.4325430299777508e-06,7.314950607906212e-06
1841,1.6828257685119752e-06,7.804176675563212e-06
1842,1.840747955839106e-06,7.762804443700588e-06
1843,1.5990007682376017e-06,8.244866648965399e-06
1844,1.6394332931213285e-06,8.536359473509947e-06
1845,1.5585576988996763e-06,7.959637287058285e-06
1846,1.4677235355975427e-06,8.414674766754615e-06
1847,1.3008455255203444e-06,7.658916956643225e-06
1848,1.5720363251148228e-06,7.911671218607808e-06
1849,1.4169590372148377e-06,8.834417258185567e-06
1850,1.4460561885698553e-06,7.33143701836525e-06
1851,1.2840832823712844e-06,7.055686182866339e-06
1852,1.5293270791971736e-06,7.37449499865761e-06
