year,sommes_VERB en_ADP,sommes_VERB dans_ADP
1800,1.4746131000720197e-06,1.106745912693441e-06
1801,1.631110080779763e-06,1.4668084986624308e-06
1802,1.4076014167585527e-06,1.0428334462631028e-06
1803,1.2150613883932238e-06,1.2267634019735851e-06
1804,1.3619899164041271e-06,1.433673560313764e-06
1805,1.1001936854881933e-06,1.0490218755876413e-06
1806,1.5099946040209034e-06,1.4091361890677945e-06
1807,1.2099559398848214e-06,1.1587106882871012e-06
1808,1.0038708069259883e-06,1.1670281310216524e-06
1809,1.2063222811775631e-06,1.0007505579778808e-06
1810,1.4766200138183194e-06,1.1419818974900409e-06
1811,1.0980995739373611e-06,7.270522814906144e-07
1812,1.2642567526199855e-06,8.428377782365715e-07
1813,1.2423204225342488e-06,1.0611486231937306e-06
1814,1.5670451603000402e-06,1.268110850105586e-06
1815,1.6291230622300645e-06,9.548170964990277e-07
1816,1.562064994686807e-06,1.0452394008098054e-06
1817,1.446335431865009e-06,1.4447784906224115e-06
1818,1.5867086631260463e-06,1.3685511248695548e-06
1819,1.6654839782859199e-06,1.3104429399390938e-06
1820,1.835744683376106e-06,1.2388605910018669e-06
1821,2.017660563069512e-06,1.6301040659527644e-06
1822,2.079312707792269e-06,1.4597296740248566e-06
1823,1.6948807797234622e-06,1.3727052419199026e-06
1824,1.9764352146012243e-06,1.1259027132837218e-06
1825,1.7337916915494134e-06,1.1799293133663014e-06
1826,1.5466820286746952e-06,1.1415147582738427e-06
1827,1.4950417153158924e-06,1.1761239875340834e-06
1828,1.8133639514417155e-06,1.6042355355239124e-06
1829,1.5774644452903885e-06,1.5766071328471298e-06
1830,1.6542385310458485e-06,1.4778559034311911e-06
1831,2.005029045903939e-06,1.6744954791647615e-06
1832,1.886077711787948e-06,1.6533622329006903e-06
1833,1.9414160306041595e-06,1.347175953014812e-06
1834,1.915445636768709e-06,1.4701886357215699e-06
1835,2.324893330296618e-06,1.7213587852893397e-06
1836,2.333444399482687e-06,1.4752046126886853e-06
1837,2.0957168089807965e-06,1.2844266166212037e-06
1838,1.995905677176779e-06,1.2958868182977312e-06
1839,2.2386702767107636e-06,1.3039101531830966e-06
1840,2.171426785935182e-06,1.42681028592051e-06
1841,2.323596618225565e-06,1.3868384485249408e-06
1842,2.614881623230758e-06,1.5764422869324335e-06
1843,2.3999780296435347e-06,1.5777359294588678e-06
1844,2.457228902130737e-06,1.4028762507223291e-06
1845,2.43576960201608e-06,1.6015254686863045e-06
1846,2.51216647484398e-06,1.5338792991315131e-06
1847,2.1977386950311484e-06,1.366103560940246e-06
1848,2.6645773232303327e-06,1.5969765172485495e-06
