year,ayez_VERB eu_VERB,ayez_VERB dû_VERB
1800,5.0306631749208464e-08,6.288328968651058e-09
1801,1.3334621939975477e-07,4.7623651688866175e-09
1802,1.1860552717735118e-07,4.475680270843441e-09
1803,7.216254971353919e-08,7.801356893821776e-09
1804,9.39303390623536e-08,4.943701892301533e-09
1805,1.4214388954769674e-07,0.0
1806,2.2765186713513685e-07,5.76333825108577e-09
1807,7.117387923472052e-08,5.693910232196231e-09
1808,8.611080914988634e-08,0.0
1809,1.3102376783535874e-07,2.259030518203531e-09
1810,1.942305232205399e-07,7.020380277111826e-09
1811,8.273353557797236e-08,2.5070767684098882e-09
1812,9.068507722531649e-08,2.6672082320544632e-09
1813,1.2653262615458516e-07,2.8757416448144113e-09
1814,9.125363931161701e-08,9.440030979135372e-09
1815,7.821948599939788e-08,1.0788894222457657e-08
1816,1.367386346373678e-07,0.0
1817,1.3389110620209976e-07,1.401186100480345e-08
1818,1.513989502655022e-07,4.768470951432846e-09
1819,1.2524770909294602e-07,7.24573512300708e-09
1820,1.4358441546846734e-07,1.4239777357261119e-08
1821,1.9821591479285416e-07,1.97229765852569e-09
1822,1.303330066093622e-07,1.0025615893027862e-08
1823,1.7294702558956487e-07,1.9765373782121287e-09
1824,1.4905369027928828e-07,1.0947446504872005e-08
1825,1.3736490700466675e-07,3.522177216552791e-09
1826,1.2243097557984584e-07,1.3211976401805714e-08
1827,2.037017310385636e-07,9.217273055917019e-10
1828,1.1098484264948638e-07,4.586150570418113e-09
1829,9.087566610332942e-08,1.714635211591542e-09
1830,1.49246758951449e-07,2.0873671680021744e-09
1831,6.392394169552063e-08,3.1182412207897414e-09
1832,1.1229874274931717e-07,6.764984572527055e-09
1833,1.2973663388038403e-07,1.7375443306377747e-08
1834,1.1761508744712046e-07,3.733812370398937e-09
1835,1.4899282518854307e-07,1.285724948729694e-08
1836,1.290383977448073e-07,8.064899859050456e-09
1837,1.0436836106464398e-07,6.957890930081589e-10
1838,8.458297173774554e-08,7.574594285131298e-09
1839,1.3913034990764572e-07,7.690622361167243e-09
1840,1.2038711361128662e-07,5.095750932326837e-09
1841,1.3097918838411715e-07,6.420548537278137e-10
1842,1.395319202401879e-07,1.341653010911159e-09
1843,1.0455232768435962e-07,2.953455480181333e-09
1844,1.2074835353814706e-07,6.037417232818143e-09
1845,1.0379223880363497e-07,5.580227946389016e-10
1846,1.0538102657164927e-07,1.5807152919933287e-08
1847,9.761734531821276e-08,1.0786447290911383e-09
1848,7.321151684891447e-08,4.82713291560799e-09
1849,8.798385664476882e-08,1.6758829879393033e-09
1850,1.2966982865236787e-07,3.394498016007219e-09
1851,8.126292527776968e-08,3.8696632564949596e-09
1852,1.0481978307552708e-07,1.3021090872200602e-09
1853,8.539862506040663e-08,2.9859659189668264e-09
1854,8.832629561084104e-08,1.2469595134234623e-08
1855,8.119613426060823e-08,2.1227748447927297e-09
1856,8.179959110066193e-08,5.694908100650764e-09
1857,1.2154957573784486e-07,8.78671624349181e-09
1858,1.1206518024664547e-07,3.9149408159744326e-09
1859,1.31887290422128e-07,5.092173349652285e-10
1860,1.1809134292661838e-07,3.204028820036342e-09
1861,1.150695183582684e-07,3.772770984511453e-09
1862,1.3870217685507669e-07,2.2589932147099034e-09
1863,1.1287843193485969e-07,4.495158911765884e-09
1864,8.630509995555258e-08,1.9178911792039344e-09
1865,1.289675424231973e-07,1.882737743486018e-09
1866,1.1336877747680774e-07,7.784980660119345e-09
1867,9.899735431417866e-08,7.279217228983725e-09
1868,8.644779825317528e-08,2.4699371437009177e-09
1869,1.2111127034586389e-07,3.4184632902167778e-09
