year,aurez_VERB écrit_VERB,aurez_VERB décrit_VERB
1800,7.545995117652637e-08,9.432493897065797e-09
1801,6.191074675143682e-08,4.7623651688866175e-09
1802,2.6854081625060644e-08,6.713520406265161e-09
1803,2.9255089017965474e-08,0.0
1804,5.438072037122765e-08,2.4718509461507665e-09
1805,1.1655798459742073e-07,0.0
1806,5.4751712497136396e-08,0.0
1807,0.0,0.0
1808,6.798221985349073e-09,0.0
1809,4.292158095609011e-08,0.0
1810,9.360507036149102e-09,0.0
1811,2.757784400841956e-08,0.0
1812,2.1337665856435706e-08,5.3344164641089264e-09
1813,1.7254450312975678e-08,0.0
1814,6.293354282149721e-09,9.440030979135372e-09
1815,1.0788894222457657e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,1.401186100480345e-08,0.0
1818,3.9339884239097955e-08,9.536941902865692e-09
1819,2.2772310259711048e-08,6.210630232317271e-09
1820,3.9159388620646496e-08,0.0
1821,2.7612166775270452e-08,2.9584463767662328e-09
1822,4.110502516141423e-08,2.0051231786055723e-09
1823,4.4472091786929013e-08,9.882686891060644e-10
1824,1.9368560089105813e-08,0.0
1825,2.7296874094417944e-08,7.044354433105582e-09
1826,1.5854372037438225e-08,0.0
1827,3.502563927781921e-08,9.217273055917019e-10
1828,1.6510142586412258e-08,0.0
1829,1.800366966620004e-08,0.0
1830,1.1480519646056564e-08,2.0873671680021744e-09
1831,6.236482441579483e-09,0.0
1832,4.058990921151917e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,3.9205030333278046e-08,1.8669061851994684e-09
1835,9.075705520444899e-09,2.2689263801112247e-09
1836,1.747394939854985e-08,6.720750067579218e-10
1837,1.530736071231331e-08,3.478945576063097e-09
1838,1.64116205070286e-08,6.312161904276081e-10
1839,2.307186797168015e-08,0.0
1840,8.280594876453051e-09,6.369688665408546e-10
1841,3.0818632978935057e-08,1.2841097074556274e-09
1842,7.379091560011375e-09,0.0
1843,1.063243981747064e-08,0.0
1844,1.0428266250528395e-08,1.097712254427563e-09
1845,1.674068350610014e-08,5.580227946389016e-10
1846,1.1709002656346001e-08,2.3418005312692003e-09
