year,dix_DET années_NOUN
1800,3.068704572228853e-06
1801,2.793127155342745e-06
1802,2.7838731000429107e-06
1803,2.6076036441224915e-06
1804,3.2529557714156e-06
1805,2.8116061656646707e-06
1806,3.1006760714547e-06
1807,3.387876688520919e-06
1808,4.087997389490283e-06
1809,3.1581247093015463e-06
1810,3.5944346414851225e-06
1811,3.0962398795963963e-06
1812,3.205984221210656e-06
1813,3.022404422736713e-06
1814,2.8320094500600135e-06
1815,3.581912771721818e-06
1816,2.178547678255427e-06
1817,2.417824333633689e-06
1818,3.085200724228798e-06
1819,2.5070243836466943e-06
1820,2.7874363297542004e-06
1821,2.7769951884693e-06
1822,2.391109291011162e-06
1823,2.1791323803199703e-06
1824,2.4993861984512478e-06
1825,2.9744785905450044e-06
1826,3.0502049668257314e-06
1827,4.506324856379251e-06
1828,3.0552934617844585e-06
1829,3.5715851822715194e-06
1830,3.294909014073255e-06
1831,3.0434035309667706e-06
1832,3.305371606643348e-06
1833,3.2422575770851836e-06
1834,3.625531867612608e-06
1835,3.4086837175095752e-06
1836,3.584176070603462e-06
1837,3.3829264793894254e-06
1838,3.685671295272641e-06
1839,3.783786397093536e-06
1840,3.6192570220805464e-06
1841,4.126486629729698e-06
1842,3.8867687379706695e-06
1843,4.046824926717818e-06
1844,3.994025931319811e-06
1845,4.163966167425315e-06
1846,3.735757402978379e-06
1847,4.161950585057639e-06
1848,3.8657289849197696e-06
1849,3.938324937280413e-06
1850,3.833067268033119e-06
1851,3.93028777523341e-06
1852,3.730542459834396e-06
1853,3.894296725093227e-06
1854,3.772052465933484e-06
1855,3.5100081703376418e-06
1856,3.3092594406980425e-06
1857,3.600112904678099e-06
1858,3.902706552594282e-06
1859,3.862413421984456e-06
1860,5.485296981078136e-06
1861,3.740230823723323e-06
1862,3.9076062989806815e-06
1863,3.714000129662054e-06
1864,3.979624281669203e-06
1865,3.6581594855533694e-06
1866,3.2254147015464696e-06
1867,3.446466777745627e-06
1868,3.528551957288073e-06
1869,3.345699042256456e-06
1870,3.337216369914131e-06
1871,3.263887847992919e-06
1872,2.9299359169954187e-06
1873,2.988213459786948e-06
1874,2.9992536951795046e-06
1875,2.9574574682555976e-06
1876,3.04416836627297e-06
1877,2.9922139361815425e-06
1878,3.5244121363575687e-06
1879,3.2416079562835876e-06
1880,3.629292052664823e-06
1881,3.563648718341028e-06
1882,3.4474896040137537e-06
1883,3.6468905193487444e-06
1884,3.4408043774192265e-06
1885,3.294364447015141e-06
1886,3.5377888565335525e-06
1887,3.386553288464711e-06
1888,3.459439270159237e-06
1889,3.253485459708827e-06
1890,3.335527182457554e-06
1891,3.050701664619737e-06
1892,2.8227110391298993e-06
1893,3.178974694151293e-06
1894,2.97999802967297e-06
1895,3.0767157284117275e-06
1896,2.9833069845608406e-06
1897,3.032221641774413e-06
1898,3.1449135917682725e-06
1899,3.0335350800214655e-06
1900,3.183673001672105e-06
1901,3.3062979412079585e-06
1902,2.8332337080883008e-06
1903,3.3502967085041746e-06
1904,2.988291527117326e-06
1905,3.055169443655359e-06
1906,3.1420679675875363e-06
1907,3.0754204374261462e-06
1908,3.30536477122223e-06
1909,3.41666080316827e-06
1910,3.0408216815658307e-06
1911,3.0347413542131108e-06
1912,3.068349045065588e-06
1913,3.02376483318767e-06
1914,3.1046104709275824e-06
1915,2.5340419469443987e-06
1916,2.8809125183215656e-06
1917,2.3051424591358227e-06
1918,2.430517319851333e-06
1919,2.935461964170827e-06
1920,2.8047546720699756e-06
1921,2.7572372971462755e-06
1922,2.783695094876748e-06
1923,2.7006972516119276e-06
1924,2.595084040990514e-06
1925,2.569174341715552e-06
1926,2.5859040704290237e-06
1927,2.6301021023300564e-06
1928,2.8725067124923953e-06
1929,3.007909640473372e-06
1930,3.0187355832822504e-06
1931,2.981360296416824e-06
1932,2.8724945195790497e-06
1933,2.76213555139293e-06
1934,2.483781628370707e-06
1935,2.3481773752109802e-06
1936,2.447979852604476e-06
1937,2.553478680056287e-06
1938,2.5502576761482487e-06
1939,2.5082243837459828e-06
1940,2.1325934369542665e-06
1941,2.0188277716215453e-06
1942,2.1421534057708413e-06
1943,2.116458489354045e-06
1944,2.1174897000264536e-06
1945,2.054329328871063e-06
1946,2.3234321986365103e-06
1947,2.133835877771162e-06
1948,2.3907280422008625e-06
1949,2.3531368356088933e-06
1950,2.4354977909979425e-06
1951,2.3892200715636136e-06
1952,2.4210870321894618e-06
1953,2.118134361239754e-06
1954,2.085459257727962e-06
1955,2.256300177805315e-06
1956,2.3416264411935117e-06
1957,2.275905643500664e-06
1958,2.636364030195182e-06
1959,2.391105795140902e-06
1960,2.2866433937451802e-06
1961,2.2518984508224094e-06
1962,2.3167167739757133e-06
1963,2.0807759426588746e-06
1964,2.068549250111573e-06
1965,2.050921892760016e-06
1966,2.267143301537544e-06
1967,2.0239027946900023e-06
1968,2.1617184131628164e-06
1969,2.443465632495645e-06
1970,2.618973809376257e-06
1971,2.061525123053798e-06
1972,2.1577398285899108e-06
1973,1.980894069220085e-06
1974,1.909881603978647e-06
1975,1.8819327607388914e-06
1976,1.9814511631466303e-06
1977,2.0257266726275702e-06
1978,1.9283160099803354e-06
1979,1.90072093175786e-06
1980,1.834598123195974e-06
1981,1.7464842301251338e-06
1982,1.885218409825029e-06
1983,1.7512370789063425e-06
1984,1.8336465075208253e-06
1985,1.9947590033098095e-06
1986,1.8283181191236508e-06
1987,1.7538043834974815e-06
1988,1.763586510605819e-06
1989,1.871998534852537e-06
1990,1.875425624575655e-06
1991,1.873910377980792e-06
1992,1.856851241655022e-06
1993,1.951462763827294e-06
1994,1.8509716994685732e-06
1995,1.6923468564300492e-06
1996,1.774915659780163e-06
1997,1.636017941564205e-06
1998,1.7155729210571735e-06
1999,1.7019428923958912e-06
2000,1.7062437507320283e-06
2001,1.7708858024434448e-06
2002,1.7682609723124187e-06
2003,1.651768201327286e-06
2004,1.658403846249712e-06
2005,1.719981980841112e-06
2006,1.6397437434534368e-06
2007,1.5985906713922304e-06
2008,1.5573714620131796e-06
2009,1.4442854876506317e-06
2010,1.4176102780538713e-06
2011,1.2982384305360029e-06
2012,1.3603393398398111e-06
2013,1.3396167304335904e-06
2014,1.5853223800377236e-06
2015,1.433902639291773e-06
2016,1.5456339497177396e-06
2017,1.1898842018354117e-06
2018,1.257690598777117e-06
2019,1.3282993194252413e-06
