year,ses_DET âmes_NOUN,ses_DET ames_NOUN,ses_DET dames_NOUN
1800,6.288328968651058e-09,6.288328968651058e-09,2.703981500928876e-07
1801,0.0,1.1905912700171939e-08,4.2146930923081527e-07
1802,6.713520406265161e-09,6.713520406265161e-09,9.488441889971e-07
1803,3.900678446910888e-09,1.950339267864365e-08,1.8333188922525778e-07
1804,0.0,2.4718509461507665e-09,3.633620990761699e-07
1805,2.842877711017877e-09,8.528632911009026e-09,1.0120644515776434e-06
1806,0.0,0.0,6.137955379514892e-07
1807,0.0,2.562259560079383e-08,5.380745351502014e-07
1808,0.0,0.0,3.9882902314047897e-07
1809,0.0,2.259030518203531e-09,4.766554351220975e-07
1810,2.3401267590372754e-09,2.106114038724627e-08,8.12023960961028e-07
1811,2.5070767684098882e-09,7.521229861140455e-09,2.7577843653148193e-07
1812,2.6672082320544632e-09,2.6672082320544632e-09,4.134172799652447e-07
1813,0.0,5.751483289628823e-09,5.205092179494386e-07
1814,3.1466771410748606e-09,6.293354459785405e-08,6.796822566990102e-07
1815,2.1577788444915313e-08,8.091670444798638e-09,3.587307251251559e-07
1816,1.1588019432906549e-08,0.0,5.515896983609991e-07
1817,0.0,1.401186100480345e-08,4.1101459480330504e-07
1818,1.0729059418679299e-08,1.1921177378582115e-09,2.8610824731600815e-07
1819,2.4842520929269085e-08,0.0,3.0328576938742913e-07
1820,7.119888678630559e-09,1.1866481131050932e-08,4.165134788181035e-07
1821,1.972297603014539e-08,0.0,2.19911182153254e-07
1822,5.012807946513931e-09,1.303330066093622e-08,7.649544926380258e-07
1823,3.9530747564242574e-09,8.894418535021487e-09,6.947528650158574e-07
1824,4.210556348027694e-09,1.2631669044083083e-08,6.273729074024459e-07
1825,2.641632912414593e-09,5.283265824829186e-09,6.780191190713936e-07
1826,8.807984341885344e-10,4.403992281964975e-09,4.994126947543975e-07
1827,9.217273055917019e-10,6.452091305675367e-09,3.7145610942701524e-07
1828,9.172301251858528e-10,5.503380862137419e-09,4.7512521916814876e-07
1829,3.0006116702452346e-08,7.715858174606183e-09,8.315980872808382e-07
1830,9.39315203396518e-09,1.0436835395921662e-08,9.382715662198393e-07
1831,1.4032085715598441e-08,1.4032085715598441e-08,3.617159847202345e-07
1832,3.5177919244233635e-08,2.705993873419743e-09,6.710864557391005e-07
1833,1.6217079235048004e-08,3.706761031452288e-08,5.421138109529267e-07
