year,pourriez_VERB écrire_VERB,pourriez_VERB décrire_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,8.528632911009026e-09,0.0
1806,0.0,0.0
1807,8.540865792383556e-09,0.0
1808,1.3596443970698147e-08,0.0
1809,0.0,0.0
1810,2.8081521108447305e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,0.0,0.0
1813,1.4378708002027452e-08,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,8.306536791735653e-09,0.0
1821,1.2819934447350079e-08,0.0
1822,4.010246357211145e-09,0.0
1823,2.9648061783404955e-09,0.0
1824,1.0105335235266466e-08,0.0
1825,2.3774695989686734e-08,0.0
1826,1.7615968683770689e-09,0.0
1827,0.0,0.0
1828,7.337841001486822e-09,0.0
1829,3.429270423183084e-09,0.0
1830,2.0873671680021744e-09,0.0
1831,0.0,0.0
1832,4.058990921151917e-09,1.3529969367098715e-09
1833,2.4325620628928846e-08,0.0
1834,0.0,0.0
1835,4.5378527602224494e-09,0.0
1836,1.68018754465038e-08,0.0
1837,2.0873671680021744e-09,0.0
1838,5.049729523420865e-09,0.0
1839,0.0,0.0
1840,1.9109065441114126e-09,0.0
1841,0.0,0.0
1842,2.0124795163667386e-09,0.0
1843,5.906910960362666e-09,0.0
1844,4.9397050894128824e-09,0.0
1845,1.0602432709561072e-08,5.580227946389016e-10
1846,9.952652035849496e-09,5.854501328173001e-10
1847,5.393223645455691e-10,0.0
1848,2.413566457803995e-09,0.0
1849,1.6758829879393033e-09,0.0
1850,6.788996032014438e-10,6.788996032014438e-10
1851,5.159551008659946e-09,0.0
1852,7.812654523320361e-09,0.0
1853,2.9859659189668264e-09,0.0
1854,3.117398783558656e-09,0.0
1855,1.4328730202350926e-08,0.0
1856,8.801221973442352e-09,0.0
1857,3.4170564155999728e-09,0.0
1858,1.9574704079872163e-09,1.9574704079872163e-09
1859,5.092173349652285e-09,0.0
1860,8.238931314963338e-09,0.0
1861,1.0375120318428799e-08,0.0
1862,8.132375661773494e-09,0.0
1863,7.991393324857654e-09,0.0
1864,1.4384183844029508e-09,0.0
1865,6.118897832863013e-09,4.706844358715045e-10
1866,1.4596839292835284e-09,0.0
1867,6.79393608038481e-09,0.0
1868,2.9639244392143382e-09,0.0
1869,2.441759683335931e-09,0.0
1870,8.601073631098188e-09,0.0
1871,4.248470908407853e-09,0.0
1872,3.628403577593531e-09,0.0
1873,2.3944017879529156e-09,0.0
1874,6.572069999322139e-09,0.0
1875,9.7265964171811e-09,0.0
1876,3.02300739996042e-09,0.0
1877,8.040260901509555e-09,0.0
1878,9.662541877730746e-09,0.0
1879,8.55305515301552e-09,0.0
1880,9.626769603698904e-09,0.0
1881,3.137628468152798e-08,0.0
1882,1.3976308999019693e-08,0.0
1883,1.3902545781263598e-08,0.0
1884,5.281357573494461e-09,0.0
1885,4.511945039809007e-09,0.0
1886,2.5813855497602844e-09,0.0
1887,3.264462256069578e-09,0.0
1888,9.510921827882157e-09,0.0
1889,4.385595886446936e-09,0.0
1890,6.554386366985909e-09,0.0
1891,6.3742202627281586e-09,0.0
1892,2.9462007944403013e-08,0.0
1893,1.847525021858587e-09,0.0
1894,6.9316934414587195e-09,0.0
1895,7.22233739480771e-09,0.0
1896,7.66613794667137e-09,0.0
1897,4.078699600285063e-09,0.0
1898,4.52668391659472e-09,0.0
1899,7.738609753005221e-09,0.0
1900,1.038210584169974e-08,0.0
1901,6.706486921359556e-09,0.0
1902,3.928227076954727e-09,0.0
1903,5.400220270956879e-09,0.0
1904,1.4511488011237361e-08,0.0
1905,9.805441791854719e-09,5.160759042333041e-10
1906,3.600929110447737e-09,0.0
1907,1.0799970695529737e-08,0.0
1908,9.822778146428846e-09,0.0
1909,3.300590023513905e-09,5.500983557560346e-10
