year,mes_DET ans_NOUN,mes_DET dents_NOUN
1800,1.2262241444460642e-07,1.9808236473295437e-07
1801,2.809795489611133e-07,1.500145003774378e-07
1802,9.622712582313397e-08,1.3874608839614666e-07
1803,1.1897068930011301e-07,1.131196771808618e-07
1804,2.0269178335752258e-07,1.1617699158250616e-07
1805,1.336152555264647e-07,9.097208675257207e-08
1806,1.3832011802605848e-07,1.4696512717904398e-07
1807,1.0533733885154106e-07,6.263301344233696e-08
1808,1.3143229082857033e-07,8.384473693112682e-08
1809,1.1746958961111886e-07,5.873479480555943e-08
1810,2.1763179169909108e-07,1.8721013361755467e-07
1811,8.524061279047146e-08,7.52123057168319e-08
1812,1.1468995486652034e-07,5.601137331723294e-08
1813,2.875741715868685e-07,2.0705339398574552e-07
1814,1.3530711440168375e-07,8.810695817373926e-08
1815,7.282503844407984e-08,8.900837666914185e-08
1816,1.0197456923322079e-07,7.879853569647821e-08
1817,2.459860013459547e-07,1.2143611949344546e-07
1818,1.1563542257064796e-07,2.6703436795116886e-07
1819,2.111614219035829e-07,1.2835302354297085e-07
1820,2.4563615674821904e-07,1.8867704287828246e-07
1821,1.4397773084873222e-07,2.731632385843952e-07
1822,1.87479017199621e-07,1.9750463309264887e-07
1823,2.1445430964384116e-07,1.6998222140962582e-07
1824,3.065284950309888e-07,1.347378075777783e-07
1825,1.717061417494392e-07,1.761088581631043e-07
1826,9.336463135944939e-08,1.321197617976111e-07
1827,9.032927539287527e-08,1.0784209436565106e-07
1828,1.2290883910637262e-07,1.1465376292818519e-07
1829,8.74463982336593e-08,1.3974276491524051e-07
1830,1.544651753171422e-07,2.5778984991120524e-07
1831,1.4811645598911127e-07,2.3542721860891902e-07
1832,1.434176764014694e-07,4.5325396413886665e-07
1833,1.1699465085612815e-07,2.28197482243786e-07
1834,1.0734710209625575e-07,2.576330562220619e-07
1835,9.302598158456021e-08,1.6033746419452655e-07
1836,9.879502327336809e-08,2.3253795422562007e-07
1837,6.888311654407175e-08,2.2265251509168138e-07
1838,8.268932338850732e-08,1.8683998881385833e-07
1839,6.711816002979987e-08,1.0976616149349638e-07
1840,5.0320539179971036e-08,1.5223556015797612e-07
1841,8.346712876416973e-08,8.603535217588387e-08
1842,7.91575285319368e-08,1.3215281668976786e-07
1843,7.324569972766426e-08,1.9020253194668157e-07
1844,6.421616838281352e-08,1.6794998103364378e-07
1845,7.031086912689943e-08,1.5401429021011381e-07
1846,4.6836011513562426e-08,1.4460617858702562e-07
1847,4.853901458545806e-08,1.1163973123728965e-07
1848,4.98803736093123e-08,1.0217431478665162e-07
1849,1.5250535856381475e-07,1.223394558991231e-07
1850,9.708264059327121e-08,1.2899092638463117e-07
1851,4.4501126561513615e-08,1.031910237259126e-07
1852,5.664174484998341e-08,1.3281513133733824e-07
1853,5.613615816635331e-08,1.5646461726248617e-07
1854,6.182840839308312e-08,1.6366343080775891e-07
1855,8.278821894691646e-08,1.868041898944739e-07
1856,7.558696424325717e-08,1.563511213831248e-07
1857,9.616573248827365e-08,1.791513781768117e-07
1858,7.683071689967846e-08,2.4321569291885226e-07
1859,9.573285764119532e-08,2.1692659046834706e-07
1860,6.224969983925632e-08,2.453370537836008e-07
1861,8.866011791397455e-08,2.2400828392221683e-07
1862,8.764893544288554e-08,1.8478563434953799e-07
1863,6.84263046224487e-08,1.4983862794970548e-07
1864,6.13725177345259e-08,1.5439023837160448e-07
1865,5.2245974213604995e-08,1.4497080869091405e-07
1866,7.347075592356589e-08,2.0484230933703884e-07
1867,4.124889763090778e-08,1.8343627417038988e-07
1868,4.643481643640257e-08,1.407864118618818e-07
1869,6.690421416877257e-08,2.43687603429521e-07
1870,6.135432029097387e-08,1.3876397719769784e-07
1871,3.9298356568906456e-08,2.0180236992572986e-07
1872,4.535504372071841e-08,1.517882131096826e-07
1873,5.6268441461782004e-08,1.6940392200126553e-07
1874,4.600448944014346e-08,1.625093730694971e-07
