year,cents_ADJ ans_NOUN,cents_ADJ dents_NOUN
1800,4.904896400148573e-07,1.8864987794131594e-08
1801,3.881327472754492e-07,1.904946067554647e-08
1802,7.026818025224202e-07,6.713520406265161e-09
1803,4.797834662895184e-07,2.7304748684287006e-08
1804,4.053835596096178e-07,9.887403784603066e-09
1805,7.192480779849575e-07,0.0
1806,5.763338322140044e-07,0.0
1807,5.209927849136875e-07,5.693910232196231e-09
1808,5.551881372412026e-07,2.2660739951163578e-09
1809,4.969867291038099e-07,9.036122072814123e-09
1810,4.820661274607119e-07,4.680253518074551e-09
1811,4.888799480795569e-07,0.0
1812,6.214594918674266e-07,0.0
1813,4.457399427337805e-07,0.0
1814,5.2234838676668e-07,0.0
1815,8.253504120148136e-07,2.697223555614414e-09
1816,5.330488761501329e-07,2.7811246638975717e-08
1817,9.123278346123698e-07,3.113746815941454e-09
1818,7.093100293786847e-07,0.0
1819,9.999114354286576e-07,2.6912729822470283e-08
1820,5.577246042776096e-07,8.306536791735653e-09
1821,8.323096380991046e-07,1.2819934447350079e-08
1822,5.875010629097233e-07,1.303330066093622e-08
1823,6.957411642360967e-07,3.360113609574e-08
1824,5.103194098410313e-07,7.57900142644985e-09
1825,7.044354219942761e-07,0.0
1826,6.45625277684303e-07,7.927186018719112e-09
1827,7.152603984650341e-07,1.3825909306319772e-08
1828,6.429783070416306e-07,9.172301251858528e-10
1829,7.510102477681357e-07,0.0
1830,8.203352876989811e-07,4.174734336004349e-09
1831,7.99828853814688e-07,0.0
1832,7.306183533728472e-07,2.3000948701223933e-08
1833,6.660586109319411e-07,3.4750886612755494e-09
1834,7.084909157129005e-07,3.733812370398937e-09
1835,7.290816483873641e-07,1.5126175867408165e-09
1836,6.277180659708392e-07,1.8818100855355624e-08
1837,7.19445949926012e-07,1.461157062010443e-08
1838,6.173294195832568e-07,6.312161904276081e-10
1839,5.579196908911399e-07,1.1885507689157748e-08
1840,6.337839977277326e-07,5.095750932326837e-09
1841,7.248799533954298e-07,6.420548537278137e-10
1842,6.486892516477383e-07,1.0062397137744483e-08
1843,1.1382617230992764e-06,1.7720733769266417e-09
1844,7.837665521037707e-07,1.6465684371524958e-09
1845,8.816759873297997e-07,3.9061593959388574e-09
1846,7.757214461889816e-07,1.1709002656346001e-08
1847,6.3370379166372e-07,1.4561703842730367e-08
1848,7.763638905089465e-07,2.333114323960217e-08
1849,6.737049602634215e-07,1.6758829879393033e-09
1850,7.990648214217799e-07,5.431196825611551e-09
1851,7.919910558484844e-07,6.449438760824933e-10
1852,9.017105639941292e-07,1.8880582430824688e-08
1853,9.119140145230631e-07,1.5527023222716707e-08
1854,7.050516614981461e-07,2.5978321716024766e-09
1855,8.724604754206666e-07,0.0
1856,8.029820719457348e-07,8.28350277259915e-09
1857,6.995202284088009e-07,7.322263684272912e-09
1858,7.736902034594095e-07,4.893676019968041e-10
1859,8.157661568475305e-07,3.055304009791371e-09
1860,8.783616181062825e-07,1.8308735638683515e-09
