year,quels_DET yeux_NOUN,quels_DET dieux_NOUN
1800,1.163340872523122e-07,2.5153315874604232e-08
1801,1.4048977092784298e-07,1.0477203571390703e-07
1802,1.1412984690650774e-07,2.6854081625060644e-08
1803,1.3457340841682708e-07,5.26591596994308e-08
1804,2.2246658915037187e-07,7.4155526164076946e-09
1805,1.2508661662025133e-07,2.2743021244053807e-08
1806,9.221341201737232e-08,7.204172902675055e-08
1807,1.1103125174827255e-07,2.8469550716891945e-08
1808,2.311395519427606e-07,7.478044095066139e-08
1809,6.551188569403621e-08,3.162642725484943e-08
1810,2.597540671445131e-07,4.44624070894406e-08
1811,6.769107141479935e-08,9.526891808775417e-08
1812,7.20146218213813e-08,7.468182960934655e-08
1813,1.782959770935122e-07,4.601186542885216e-08
1814,5.034683603355461e-08,9.440031423224582e-09
1815,8.631115644419651e-08,1.3486117556027466e-08
1816,2.2712518443768204e-07,3.244645441213834e-08
1817,1.6347170728181482e-07,8.095741643732168e-08
1818,1.8597037509948677e-07,1.168275371998817e-07
1819,1.2110728775382995e-07,1.5940617537069102e-07
1820,1.6375743605578919e-07,1.0205173861521644e-07
1821,2.238557783584838e-07,6.90304157169308e-08
1822,1.7244059336007922e-07,8.521773509073682e-08
1823,1.146391692685711e-07,8.103803317283109e-08
1824,1.642116984612585e-07,9.179012572246847e-08
1825,1.6818396275652958e-07,7.308517879778265e-08
1826,1.3211976401805714e-07,8.015265917649117e-08
1827,1.4010255000584948e-07,3.871254605769536e-08
1828,1.192399139426925e-07,4.861319524707142e-08
1829,1.2774032320805873e-07,5.3153692669560826e-08
1830,1.3567886369969528e-07,7.931995305021644e-08
1831,1.917718392974166e-07,1.0290196339468594e-07
1832,1.3394669373667512e-07,9.876877626879832e-08
1833,1.0541102213323938e-07,5.096796462655817e-08
1834,1.484190406131347e-07,4.947301390778591e-08
1835,1.4369867074037757e-07,5.974839467626225e-08
1836,1.3239877816317858e-07,5.040562500724377e-08
1837,8.975679577361007e-08,4.383471141622408e-08
1838,9.152634738995857e-08,3.534810644190145e-08
1839,9.718150195681119e-08,5.243606315818994e-08
1840,9.554532809374905e-08,2.1019973317493168e-08
1841,1.232745354684539e-07,2.3113975178290502e-08
1842,1.026364522260792e-07,4.092041638870114e-08
1843,1.1400338095768348e-07,9.510126602885194e-08
1844,1.6355913246002274e-07,2.9638230647499597e-08
1845,1.2722919606744654e-07,7.477505603592505e-08
1846,1.5338793701857867e-07,7.083946407249186e-08
1847,8.143767438184568e-08,1.833696039454935e-08
1848,8.206126445031714e-08,1.6090443533123278e-08
1849,9.552533164480792e-08,4.7762666044448565e-08
1850,4.820187182730251e-08,3.869727649430388e-08
1851,9.22269727254843e-08,3.4826969752543846e-08
1852,1.3086196304357145e-07,2.8646399918841325e-08
1853,1.2660495585237186e-07,3.822036198641854e-08
1854,1.4859600838690312e-07,5.091751242858322e-08
1855,1.623922791793575e-07,4.404757802944914e-08
1856,1.4340814402657998e-07,1.5531567310045347e-08
1857,1.2350217915013673e-07,2.7336451824400143e-08
1858,1.2478873756549547e-07,4.159624489297187e-08
1859,1.4920068025503497e-07,4.5320342811905334e-08
1860,1.0252892224116295e-07,6.08765478027351e-08
