year,autres_ADJ âmes_NOUN,autres_ADJ ames_NOUN,autres_ADJ dames_NOUN
1800,1.8864987794131594e-08,3.144164395507687e-08,2.7354230347498287e-07
1801,2.3811825844433088e-09,2.3811825400343878e-08,4.5242468615924736e-07
1802,1.3427040812530322e-08,1.0070280609397742e-07,4.72184268573983e-07
1803,5.851017448321727e-09,3.510610468993036e-08,2.593951187179755e-07
1804,9.887403784603066e-09,3.460591457837836e-08,4.84482782781015e-07
1805,8.528632911009026e-09,2.55858996212055e-08,4.321174245092152e-07
1806,2.305335300434308e-08,2.5935023018064385e-08,6.944822388277316e-07
1807,1.7081731584767113e-08,3.131650672116848e-08,2.932363720731246e-07
1808,2.2660739951163578e-09,5.891792298484688e-08,4.2148974932487704e-07
1809,0.0,9.262024946998793e-08,5.489444401263199e-07
1810,1.4040760554223652e-08,1.0530570282440976e-07,7.230991698747857e-07
1811,2.5070768572277302e-08,5.766276700569506e-08,4.262030515178594e-07
1812,2.1337665856435706e-08,1.0935553973467904e-07,4.3742216249142984e-07
1813,2.5881675469463516e-08,8.052076339026826e-08,5.406394123497194e-07
1814,6.293354282149721e-09,5.034683425719777e-08,2.989343172998815e-07
1815,1.6183340889597275e-08,7.282503844407984e-08,2.049889962218998e-07
1816,2.1785476178592944e-07,5.5622493277951435e-08,2.9897088715813425e-07
1817,4.514932783195036e-08,8.251429051142622e-08,5.931687736548952e-07
1818,2.6226590676969863e-08,7.033494608954527e-08,3.802855554901896e-07
1819,8.280839836061205e-08,6.003609342997152e-08,5.310088866394835e-07
1820,9.8491796052258e-08,6.407899544313977e-08,4.853390542791658e-07
1821,4.832129363308013e-08,8.480879720718093e-08,3.895287963295857e-07
1822,1.1529458276982041e-07,5.213320264374488e-08,5.764728996382473e-07
1823,5.5343047478118024e-08,4.15072847204101e-08,5.702310330590876e-07
1824,6.231623217445303e-08,2.4421225930382207e-08,6.029516574912464e-07
1825,9.245714949202011e-08,5.723537910284904e-08,1.0628170172832796e-06
1826,2.7304752237000685e-08,3.170874407487645e-08,8.05930561398327e-07
1827,5.346018383534101e-08,4.2399456390285195e-08,4.84828569624618e-07
1828,4.4027046897099353e-08,4.861319524707142e-08,4.595322828926385e-07
1829,4.4580517055692326e-08,5.658296231558779e-08,7.11573601819282e-07
1830,4.905312778191728e-08,3.444155893816969e-08,6.429091072845949e-07
1831,5.456922025359745e-08,1.138158063351824e-07,2.3698633899726929e-07
1832,4.6001897402447867e-08,4.6001897402447867e-08,4.0860507644069344e-07
1833,6.255159235024621e-08,7.29768601104297e-08,3.3476686578381987e-07
1834,9.427876079826092e-08,1.2134890314818847e-07,3.7431470012450063e-07
1835,6.882410019670715e-08,7.865611451052246e-08,5.120210673226211e-07
1836,1.25005954032531e-07,9.677879830860547e-08,5.40348329636231e-07
1837,9.949783930096601e-08,4.87052354003481e-08,5.482818306035142e-07
1838,8.584540012179787e-08,1.64116205070286e-08,8.32574174935985e-07
1839,8.040196775027653e-08,5.1037767900830033e-08,4.677296914223916e-07
1840,1.0382592563473736e-07,2.8663599493938818e-08,5.197666226308684e-07
1841,1.8105946253399452e-07,7.640452803769904e-08,4.256823595838455e-07
1842,2.2741018312899541e-07,3.8237111255057243e-08,4.60857802586645e-07
1843,2.002442869297738e-07,2.953455624510326e-08,4.2057208204937524e-07
1844,1.9758820712922898e-07,3.0187087551869496e-08,3.0571286702141265e-07
1845,2.4329793291144597e-07,1.7298706134205588e-08,3.1472485062522537e-07
1846,2.534999055114895e-07,3.219975797108532e-08,4.045460535451184e-07
1847,9.707802917091612e-08,2.6966118227278457e-09,3.8399751645101787e-07
1848,1.078059739256787e-07,2.413566591030758e-08,6.27527292351715e-07
1849,1.944024319300297e-07,2.0948537127196687e-08,3.041727691943663e-07
1850,1.0862393651223101e-07,1.3577992064028876e-08,3.9919295691248635e-07
1851,1.3221350059211545e-07,5.159551008659946e-09,2.9796407829962845e-07
1852,2.1159272023396625e-07,1.0416872697760482e-08,3.873774625517967e-07
1853,2.0662884026023676e-07,4.180352286553557e-09,4.0429978298561764e-07
1854,2.3276577110209473e-07,1.0910894965299178e-08,5.413882497862232e-07
1855,2.297903733960993e-07,3.1841622671890946e-09,4.951372076789085e-07
1856,2.0398125855081162e-07,2.2779633290781476e-08,6.378297268128108e-07
1857,3.5146865684509976e-07,2.147864019974577e-08,6.780415997553746e-07
1858,2.941099239706091e-07,1.9085335867252695e-08,7.159447807936203e-07
1859,3.4779543511831434e-07,6.110608019582742e-09,4.88339418680539e-07
1860,2.2107798258730327e-07,9.612086460109026e-09,6.128849321385132e-07
1861,3.5605526704785007e-07,4.244367357575385e-09,5.159264345744319e-07
1862,3.14451853000719e-07,1.1294965879260488e-08,5.281525989886404e-07
1863,2.64215429979231e-07,7.491931519609807e-09,4.5700779605084563e-07
1864,2.382979857884493e-07,2.06173303984869e-08,3.7782454853640957e-07
1865,2.033356736319547e-07,6.589582213223366e-09,4.772740282987797e-07
1866,2.2819725131739688e-07,4.37905156580598e-09,4.3303956154261414e-07
1867,1.9265661421741243e-07,4.367530337390235e-09,2.8049249323203185e-07
1868,2.025348351253342e-07,5.433861360870651e-09,4.4705859458815667e-07
1869,2.6126826924155466e-07,2.441759683335931e-09,4.2095933938668395e-07
1870,1.9667787398702785e-07,8.027668307875047e-09,3.1995992388900163e-07
1871,1.4338588982809597e-07,8.496941816815706e-09,2.878339069312119e-07
1872,1.9411959328863304e-07,4.8378714367913744e-09,3.6163089145446747e-07
1873,2.0711576098619844e-07,8.979006316245375e-09,4.4595734571828416e-07
1874,1.1530995891462226e-07,4.779687312606029e-09,4.194175549088186e-07
1875,1.4418247928915662e-07,1.0298749131276708e-08,3.862030890644519e-07
1876,1.6868381180756842e-07,3.02300739996042e-09,5.193526764202261e-07
1877,1.7193788437452895e-07,6.184815992682502e-09,3.6181172635707526e-07
1878,1.437303041029736e-07,8.454723976480949e-09,2.7236289845689043e-07
1879,1.6250805856543593e-07,7.94212251520321e-09,4.154341262108119e-07
1880,1.5852080537115398e-07,2.5671385017744797e-09,4.2678676681617844e-07
1881,1.3526664588425774e-07,2.7890030285249168e-09,4.023137005759736e-07
1882,1.457529350545883e-07,5.324307883469714e-09,3.8401572055590805e-07
1883,1.6430281846169237e-07,3.791603475633565e-09,3.393484959701709e-07
1884,1.5381954199256143e-07,1.3203393933736152e-09,3.413077322989011e-07
1885,1.443822412738882e-07,5.156508664505566e-09,4.1316525889456557e-07
1886,1.3745878391091537e-07,5.1627709884982664e-09,3.530044816457689e-07
1887,1.4037188122983935e-07,2.6115698492645834e-09,3.179586300916526e-07
1888,1.6231973631875007e-07,6.340614699951175e-10,2.8849798283658856e-07
1889,1.4723070762556745e-07,2.506054641582267e-09,2.8193114909313977e-07
1890,1.3108773089243186e-07,7.865263995654459e-09,2.693852816371134e-07
1891,1.5043158896332898e-07,4.46195413950079e-09,2.9640122711782624e-07
1892,1.8366741016961896e-07,1.8805537127519756e-09,2.2315903791536584e-07
1893,1.576554637949812e-07,1.2316833108982905e-09,2.3340398147553287e-07
1894,1.4934647651898558e-07,1.0082462864602348e-08,2.980628153181897e-07
1895,2.2991108039605024e-07,5.416753046105782e-09,3.1778283648975503e-07
1896,1.8752551511624915e-07,1.179405795248556e-09,3.455658842410614e-07
1897,2.1733642086019245e-07,6.992056045262984e-09,2.6977684708384686e-07
1898,2.1275414496813028e-07,6.2241901632731356e-09,2.8008856345351774e-07
1899,2.1447004883157206e-07,4.9748205555033564e-09,3.0401679929070724e-07
1900,2.0089375141196797e-07,1.038210628578895e-09,2.5332338804417986e-07
1901,2.0398897504492197e-07,1.1177477832191585e-09,2.0901883779345098e-07
1902,1.5860216251439851e-07,3.437198747846537e-09,2.401128753604098e-07
1903,1.5714641676822794e-07,2.1600881083827517e-09,2.4354993932718116e-07
1904,1.8811188340350782e-07,5.374625189347171e-10,2.284215723236116e-07
1905,1.96624924342359e-07,4.6446830825885854e-09,2.2500909846456807e-07
1906,2.2017110268279794e-07,2.0576738091193647e-09,3.0659338978722417e-07
1907,2.2525654230776126e-07,7.199980611716228e-09,2.1342800016199703e-07
1908,1.9449100818746956e-07,7.858222517143076e-09,2.7012640746448824e-07
1909,2.7834977345264633e-07,7.151278569317299e-09,3.0420439856015946e-07
