year,dix_DET âmes_NOUN,dix_DET ames_NOUN,dix_DET dames_NOUN
1800,6.288328968651058e-09,3.144164484325529e-09,9.432493897065797e-09
1801,2.3811825844433088e-09,9.524730337773235e-09,7.143547975374531e-09
1802,0.0,2.2378401354217203e-09,2.2378401354217203e-09
1803,0.0,1.5602713787643552e-08,0.0
1804,2.4718509461507665e-09,7.4155526164076946e-09,2.4718509461507665e-09
1805,5.685755422035754e-09,5.685755422035754e-09,2.842877711017877e-09
1806,5.4751712497136396e-08,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,0.0,1.5862518409903714e-08
1809,0.0,0.0,3.840352036377226e-08
1810,0.0,9.360507036149102e-09,0.0
1811,0.0,0.0,1.504246061045933e-08
1812,8.535066342574282e-08,0.0,1.600324983641599e-08
1813,2.8757416448144113e-09,2.8757416448144113e-09,3.4508900625951355e-08
1814,0.0,0.0,1.2586708564299443e-08
1815,0.0,8.091670444798638e-09,2.697223555614414e-09
1816,6.952811659743929e-09,0.0,3.7081662185300956e-08
1817,1.556873407970727e-09,0.0,1.2454987263765815e-08
1818,2.384235475716423e-09,3.5763532135746345e-09,3.5763532135746345e-09
1819,0.0,4.140420006848444e-09,2.6912729822470283e-08
1820,0.0,4.746592452420373e-09,2.3732962262101864e-09
1821,1.676452932031225e-08,3.94459531705138e-09,1.577838126820552e-08
1822,4.010246357211145e-09,2.0051231786055723e-09,4.010246357211145e-09
1823,9.882686891060644e-10,0.0,2.964806067318193e-09
1824,0.0,0.0,1.431589158329416e-08
1825,4.4027217427355936e-09,8.805443041381977e-10,1.2327619813845558e-08
1826,6.1655889282974385e-09,0.0,5.989429041619587e-08
1827,0.0,9.217273055917019e-10,1.566936447261469e-08
1828,5.503380862137419e-09,1.8344602503717056e-09,9.172301140836225e-09
1829,6.858540846366168e-09,4.286587973467704e-09,1.800366966620004e-08
1830,4.174734336004349e-09,0.0,6.262101504006523e-09
1831,0.0,0.0,4.6773619422069146e-08
1832,6.764984572527055e-09,1.6235963684607668e-08,2.705993873419743e-09
1833,6.950177322551099e-09,0.0,1.5058717162119706e-08
1834,1.5868701908061666e-08,0.0,4.667265685043276e-09
1835,1.1344631900556124e-08,6.050470346963266e-09,3.025235173481633e-09
1836,7.392825018825988e-09,6.720750067579218e-10,8.064899859050456e-09
1837,6.957890930081589e-10,6.957890930081589e-10,2.4352618477330168e-08
1838,2.5248647617104325e-09,0.0,2.4617432092810532e-08
1839,1.6080392128969834e-08,2.0974426639952526e-09,9.088918062616358e-09
1840,1.0191501864653674e-08,0.0,9.554533164646273e-09
1841,3.2102742686390684e-09,0.0,3.2102742686390684e-09
1842,2.0124795163667386e-09,0.0,1.7441490030023488e-08
1843,4.134837805480629e-09,5.906911071384968e-10,4.134837805480629e-09
1844,1.0977122322231025e-08,2.195424508855126e-09,9.330554107123135e-09
1845,3.348136878855712e-09,0.0,7.812318791877715e-09
1846,1.5221703009160592e-08,1.7563503984519002e-09,8.196302303531411e-09
1847,1.0786447290911383e-08,2.6966118227278457e-09,1.7258315665458213e-08
1848,5.63165514222419e-09,0.0,1.6090443422100975e-09
1849,2.513824481908955e-09,0.0,3.3517659758786067e-09
1850,8.146795238417326e-09,0.0,4.752297222410107e-09
1851,5.8044946626978344e-09,0.0,3.8696632564949596e-09
1852,1.9531636308300904e-09,0.0,6.510545214055696e-09
1853,9.555090940693844e-09,0.0,1.3138250265498641e-08
1854,4.676098175337984e-09,0.0,1.818482575632885e-08
1855,7.960405667972736e-09,0.0,1.3798036491152743e-08
1856,7.248064703979651e-09,0.0,1.65670055451983e-08
1857,2.9289055625270066e-09,0.0,1.2203773103180993e-08
1858,1.0766087576996597e-08,0.0,1.7617234560063366e-08
1859,6.110607797538137e-09,0.0,1.0693563812225193e-08
1860,7.781213007262977e-09,0.0,2.334363813361051e-08
1861,7.0739455404478235e-09,0.0,6.602349444939648e-09
1862,9.487771457372673e-09,0.0,1.445755648532554e-08
1863,1.4983862706152706e-08,0.0,1.1987090431375691e-08
1864,4.794728059032138e-09,0.0,6.233146443435089e-09
1865,8.001635798393636e-09,0.0,1.3179164426446732e-08
1866,8.271541673821048e-09,0.0,1.9462451650298362e-09
1867,1.0190904120577216e-08,0.0,1.2132028714972876e-08
1868,5.9278488784286765e-09,0.0,7.903798504571569e-09
1869,3.9068154267241084e-09,0.0,1.4162205630441349e-08
1870,2.2936195165357276e-09,0.0,1.1468098026767848e-08
