year,serons_VERB en_PRON,serons_VERB dans_ADP
1800,0.0,6.917161954334006e-08
1801,9.524730337773235e-09,1.0953439755212457e-07
1802,2.2378401354217203e-09,1.2308120744819462e-07
1803,5.851017448321727e-09,7.80135707145746e-08
1804,7.4155526164076946e-09,6.426812149129546e-08
1805,0.0,1.0802935435094696e-07
1806,3.458002950651462e-08,7.204172902675055e-08
1807,0.0,1.0818429529990681e-07
1808,9.064295980465431e-09,9.064295625194063e-08
1809,0.0,1.5361408145508904e-07
1810,7.020380277111826e-09,1.8018975822542416e-07
1811,5.0141535368197765e-09,6.267691787797958e-08
1812,0.0,1.0135391192989118e-07
1813,2.8757416448144113e-09,9.202373263406116e-08
1814,3.1466771410748606e-09,1.4160046646338742e-07
1815,2.697223555614414e-09,1.7531952778426785e-07
1816,0.0,2.0858435334503156e-07
1817,0.0,9.652615062805125e-08
1818,7.152706427149269e-09,1.7285707087921764e-07
1819,1.8631890696951814e-08,1.0351050150347874e-07
1820,9.493184904840746e-09,1.5663755448258598e-07
1821,0.0,1.922990264802138e-07
1822,7.017931125119503e-09,2.105379337535851e-07
1823,4.941343334508019e-09,1.7986489808663464e-07
1824,2.189489300974401e-08,9.263224143296611e-08
1825,2.1133063299316746e-08,1.3120110509134975e-07
1826,1.7615968683770689e-09,1.2331177856594877e-07
1827,2.7651818612639545e-09,1.0507691428074395e-07
1828,1.8344602503717056e-09,1.2841221064263664e-07
1829,1.714635211591542e-09,1.3717081515096652e-07
1830,0.0,1.3463518655498774e-07
1831,0.0,1.1849316905454543e-07
1832,0.0,1.7318360789886356e-07
1833,1.1583628500844156e-09,1.3437009727113036e-07
1834,1.3068342852307069e-08,1.540197587246439e-07
1835,1.5126175867408165e-09,1.376482003934143e-07
1836,8.064899859050456e-09,1.344150035720304e-07
1837,2.0873671680021744e-09,1.1897993346110525e-07
1838,1.1361890983607736e-08,9.594486272135327e-08
1839,8.38977065598101e-09,1.2095252088784036e-07
1840,8.917564464638872e-09,1.477767739288538e-07
1841,3.2102742686390684e-09,1.5216700433029473e-07
