year,pouvons_VERB écrire_VERB,pouvons_VERB ecrire_VERB,pouvons_VERB décrire_VERB
1800,0.0,0.0,1.2576657937302116e-08
1801,2.3811825844433088e-09,0.0,4.7623651688866175e-09
1802,0.0,0.0,8.951360541686881e-09
1803,0.0,0.0,1.950339223455444e-09
1804,0.0,0.0,2.2246657849223084e-08
1805,0.0,0.0,1.1371510844071508e-08
1806,5.76333825108577e-09,0.0,0.0
1807,1.1387820464392462e-08,0.0,5.693910232196231e-09
1808,1.8128591960930862e-08,0.0,1.8128591960930862e-08
1809,0.0,0.0,2.259030518203531e-09
1810,1.6380887757350138e-08,0.0,1.4040760554223652e-08
1811,0.0,0.0,5.0141535368197765e-09
1812,0.0,0.0,1.8670457180292033e-08
1813,0.0,0.0,2.8757416448144113e-09
1814,0.0,0.0,3.1466771410748606e-09
1815,0.0,0.0,0.0
1816,2.3176038865813098e-09,0.0,2.3176038865813098e-09
1817,6.227493631882908e-09,0.0,3.113746815941454e-09
1818,5.960588467246453e-09,0.0,7.152706427149269e-09
1819,1.035105001712111e-09,0.0,1.3456364911235141e-08
1820,1.0679833017945839e-08,1.1866481131050932e-09,2.8479554714522237e-08
1821,3.94459531705138e-09,0.0,1.97229765852569e-09
1822,2.90742860897808e-08,0.0,1.7043547018147365e-08
1823,3.063632902922109e-08,0.0,1.4824030003524058e-08
1824,5.052667617633233e-09,0.0,1.7684335773537896e-08
1825,8.805443041381977e-10,0.0,1.4969252504215547e-08
1826,7.0463874735082754e-09,0.0,1.0569580766173203e-08
1827,2.027800150017356e-08,0.0,3.133872894522938e-08
1828,1.4675682002973645e-08,0.0,3.0268594741755805e-08
1829,1.714635211591542e-09,0.0,5.486832677092934e-08
1830,1.461157062010443e-08,0.0,1.2524203008013046e-08
1831,4.677361609140007e-09,0.0,5.9246584527272717e-08
1832,0.0,0.0,2.3000948701223933e-08
1833,2.0850531967653296e-08,0.0,2.20088942626262e-08
1834,1.8669061851994684e-09,0.0,3.360431222176885e-08
1835,0.0,0.0,9.075705520444899e-09
1836,5.376600054063374e-09,0.0,2.755507466645213e-08
1837,2.99189295560609e-08,0.0,5.775049416456568e-08
1838,1.199310784016916e-08,0.0,2.651107955387033e-08
1839,1.5381244722334486e-08,0.0,3.0063343814390464e-08
1840,7.64362617644565e-09,0.0,4.7772665823231364e-08
1841,2.43980835534785e-08,0.0,2.3113974734201292e-08
1842,1.7441490030023488e-08,0.0,3.6224630406422875e-08
1843,5.31621990873532e-09,0.0,2.126487963494128e-08
1844,1.0428266250528395e-08,0.0,1.0428266250528395e-08
1845,1.4508592549589139e-08,0.0,2.0088821273134272e-08
1846,1.5221703009160592e-08,0.0,4.156695965207291e-08
1847,8.089835468183537e-09,0.0,2.588747349818732e-08
1848,2.413566457803995e-09,0.0,2.815827571112095e-08
1849,2.011059585527164e-08,0.0,5.781796375003978e-08
1850,1.6972489191857676e-08,6.788996032014438e-10,2.2403686017469226e-08
1851,1.2253933867611977e-08,0.0,3.5471913406581734e-08
1852,6.510545436100301e-09,0.0,3.7761164861649377e-08
1853,1.0152284346531815e-08,0.0,2.7470886010405593e-08
1854,1.7145692865483397e-08,0.0,2.8576154775805662e-08
