year,quelques_DET âmes_NOUN,quelques_DET ames_NOUN,quelques_DET dames_NOUN
1800,7.545994984425874e-08,3.3013726730146686e-07,2.1380319203956333e-07
1801,5.0004833385131064e-08,3.4289030503842355e-07,3.0241018578180956e-07
1802,8.503792514602537e-08,2.416867346255458e-07,2.774921767922933e-07
1803,4.8758479920252285e-08,2.0868630024040158e-07,1.7162985077590065e-07
1804,4.202146608456303e-08,1.2606439270257397e-07,2.5212879606328897e-07
1805,2.842877755426798e-08,9.381496446358994e-08,2.7291625848135936e-07
1806,8.06867319624871e-08,8.06867319624871e-08,3.602086451337527e-07
1807,3.701041606518629e-08,2.0782771992244875e-07,2.2490945461584033e-07
1808,3.6257183921861724e-08,1.6995554430465631e-07,2.3793777303993124e-07
1809,7.228897658251299e-08,2.281620865574041e-07,2.4397530573594395e-07
1810,3.978215445954447e-08,2.7145471293010814e-07,4.6802534114931404e-07
1811,3.5099075201827645e-08,9.276183998707666e-08,1.7800245011301286e-07
1812,8.801787165779729e-08,1.3869483117545656e-07,2.6938803188159e-07
1813,1.5241430628698538e-07,1.782959770935122e-07,2.933256504356052e-07
1814,2.485874954771816e-07,2.548808488711529e-07,2.9893431907623835e-07
1815,2.4814457333377504e-07,2.1577788800186681e-07,3.96491859788739e-07
1816,1.62232268507978e-07,1.9467872824918686e-07,3.244645547795244e-07
1817,1.4323234798219175e-07,2.2418976541871416e-07,3.3161403223402885e-07
1818,1.3709354096391735e-07,2.3484719435806767e-07,3.2783236392219806e-07
1819,2.84653873805496e-07,1.3249344288368547e-07,3.426197434652778e-07
1820,2.753023604640248e-07,2.017301730106169e-07,2.836089034730094e-07
1821,2.7217706755067184e-07,1.1242096542574131e-07,2.958446345679988e-07
1822,1.7845596289589594e-07,1.4938167680611514e-07,3.6092218635985773e-07
1823,1.610877964353108e-07,1.9666547679264568e-07,5.089583772210915e-07
1824,2.138962686970558e-07,1.3473780047235095e-07,2.7537039137826014e-07
1825,1.822726645173134e-07,2.2806096811045506e-07,4.358694396522367e-07
1826,2.149148130570211e-07,1.5149733711972146e-07,3.408689930317621e-07
1827,1.7236300386969106e-07,1.7420645370691545e-07,2.949527473372626e-07
1828,1.467568182533796e-07,1.3850174163110296e-07,2.935136489412571e-07
1829,1.894671894930866e-07,2.863440663469774e-07,5.461113228300007e-07
1830,1.8681936797548815e-07,2.3482881350567197e-07,3.7050767787150107e-07
1831,2.8687818520722885e-07,3.1961973689931256e-07,1.980083224051299e-07
1832,3.4636720336322924e-07,2.8277635166773507e-07,3.6395617108997413e-07
1833,2.247223869211723e-07,2.1198040034420274e-07,3.729928459428322e-07
1834,2.669675946975758e-07,2.3523018199966828e-07,2.6790104401541726e-07
1835,2.4277512267190104e-07,1.7168209609508267e-07,2.790779376482533e-07
1836,2.379145565001295e-07,1.841485577358526e-07,3.4343031635186705e-07
1837,2.998850909818884e-07,1.3985360380885936e-07,3.527650791479431e-07
1838,2.7205418007270055e-07,1.224559380563761e-07,3.9072281410312826e-07
