year,aurions_VERB eu_VERB,aurions_VERB dû_VERB
1800,3.018398047061055e-07,4.244622004989651e-07
1801,3.405091035801888e-07,2.9764782993879635e-07
1802,3.0210841828193225e-07,2.551137754380761e-07
1803,1.794312112224361e-07,2.145373088069391e-07
1804,2.84262853256223e-07,2.3729768372504623e-07
1805,1.5635826855486812e-07,3.9231713344634045e-07
1806,2.1900684998854558e-07,2.0748018414451508e-07
1807,1.6512339584551228e-07,2.2775640218242188e-07
1808,1.7222161829977267e-07,2.8552531716741214e-07
1809,2.0783080856290326e-07,1.7394535234416253e-07
1810,2.667744638529257e-07,4.048419270930026e-07
1811,1.7298829391165782e-07,2.1560860830049933e-07
1812,1.440292436427626e-07,2.1337666566978442e-07
1813,4.112310421078291e-07,1.6104152678053651e-07
1814,3.681612383843458e-07,3.8074793451414735e-07
1815,2.3196122356239357e-07,2.265667831125029e-07
1816,3.3605255111979204e-07,1.367386346373678e-07
1817,3.1293154734157724e-07,3.3939841159735806e-07
1818,2.6345801984462014e-07,2.8610824642782973e-07
1819,2.598113439944427e-07,2.9396983336482663e-07
1820,2.7411570613367076e-07,3.678609061807947e-07
1821,2.98803087162014e-07,3.8262575685621414e-07
1822,2.2858404236103524e-07,3.7896828075645317e-07
1823,3.9036612520249037e-07,3.1723425308882724e-07
1824,3.772658487832814e-07,2.4758071504038526e-07
1825,1.9283920948964806e-07,3.2051812581812555e-07
1826,1.3388135755576513e-07,3.4791537473211065e-07
1827,2.037017310385636e-07,3.1891764251668064e-07
1828,3.191960900039703e-07,3.43961289672734e-07
1829,2.417635585061362e-07,3.6093069866183214e-07
1830,2.776198471110547e-07,2.9118771749381267e-07
1831,3.9289838582590164e-07,5.004777108297276e-07
1832,2.489514372427948e-07,3.3419024703107425e-07
1833,3.822597420821694e-07,3.86893191262061e-07
1834,2.959046412343014e-07,3.155071510718699e-07
1835,3.6680975767922064e-07,4.6966775357759616e-07
1836,2.795831903767976e-07,2.9302469783942797e-07
1837,2.574419681877771e-07,3.520692928304925e-07
1838,2.4112458163472184e-07,3.238139072436752e-07
1839,3.334933751375502e-07,3.2650189041305566e-07
1840,2.6497903604649764e-07,3.5160681477464095e-07
1841,3.171751075115026e-07,3.698235957472207e-07
1842,3.038844056391099e-07,3.555380487796356e-07
1843,2.386392168318707e-07,3.4909845680886065e-07
1844,2.0911419085223315e-07,3.732221784957801e-07
1845,3.0077427481955965e-07,3.3983587854891084e-07
1846,2.640380216689664e-07,3.3663383192106267e-07
1847,2.9932391498732613e-07,3.505595316255494e-07
1848,2.9204153406681144e-07,4.1593796140659833e-07
1849,3.1590394655722775e-07,4.2232250052620657e-07
1850,2.980369231408986e-07,3.767892735595524e-07
1851,2.6313711032344145e-07,2.302449644275839e-07
1852,2.4023913169912703e-07,3.151104124299309e-07
1853,2.645565757575241e-07,2.633621818404208e-07
1854,3.579812926091108e-07,3.169355409227137e-07
1855,2.695924194995314e-07,3.2531525562262686e-07
1856,2.72320164640405e-07,3.2668063454366347e-07
1857,3.050943178095622e-07,3.4951605698552157e-07
1858,3.1221654239743657e-07,2.7551396897251834e-07
1859,3.2182535392166756e-07,3.45758564890275e-07
1860,3.3001495580720075e-07,3.359652964718407e-07
1861,3.414357649944577e-07,3.254014870890387e-07
1862,2.909583258769999e-07,3.659568790226331e-07
1863,2.6970951694238465e-07,3.671046329145611e-07
