year,étais_VERB en_ADP,étais_VERB dans_ADP,etais_VERB en_ADP,etais_VERB dans_ADP
1800,5.973912209356058e-08,4.7162465932615305e-08,0.0,0.0
1801,3.5717739876872656e-08,3.809892135109294e-08,0.0,0.0
1802,2.4616241489638924e-08,2.6854081625060644e-08,0.0,0.0
1803,1.5602713787643552e-08,2.5354410126965377e-08,0.0,1.950339223455444e-09
1804,4.449331569844617e-08,1.1123329102247226e-07,0.0,0.0
1805,1.1371510844071508e-08,4.8328921309348516e-08,0.0,5.685755422035754e-09
1806,3.7461699520235925e-08,2.0171682990621775e-08,0.0,0.0
1807,6.263301344233696e-08,4.27043254092041e-08,0.0,2.8469551160981155e-09
1808,2.4926814390369145e-08,9.064295980465431e-09,2.2660739951163578e-09,0.0
1809,3.388545621874073e-08,1.3554183553310395e-08,0.0,4.518061036407062e-09
1810,4.44624070894406e-08,8.190443878675069e-08,0.0,2.3401267590372754e-09
1811,3.5099073869560016e-08,2.2563691359778204e-08,7.521229861140455e-09,0.0
1812,2.6672083208723052e-08,3.7340914360584065e-08,2.6672082320544632e-09,2.6672082320544632e-09
1813,2.0130190847567064e-08,3.163315653864629e-08,0.0,2.8757416448144113e-09
1814,2.8320094713762956e-08,4.72001566720337e-08,0.0,6.293354282149721e-09
1815,1.8880564667256294e-08,2.1577788444915313e-08,5.394447111228828e-09,2.697223555614414e-09
1816,2.3176038865813098e-08,1.1588019432906549e-08,0.0,0.0
1817,4.0478710161551135e-08,2.0239355080775567e-08,0.0,1.556873407970727e-09
1818,4.410835785506606e-08,8.702459552978326e-08,0.0,0.0
1819,5.589566853814176e-08,3.622867339458935e-08,1.035105001712111e-09,2.070210003424222e-09
1820,4.153268307049984e-08,4.9839222526770754e-08,1.1866481131050932e-09,2.3732962262101864e-09
1821,8.973954379598581e-08,7.100271659510327e-08,3.94459531705138e-09,9.86148829262845e-10
1822,6.015369535816717e-08,7.619468078701175e-08,3.0076847679083585e-09,4.010246357211145e-09
1823,7.214361374963119e-08,5.138997138942614e-08,1.9765373782121287e-09,2.9648061783404955e-09
1824,5.894779064874456e-08,7.747424035642325e-08,8.421112696055388e-10,0.0
1825,5.107157008410468e-08,5.2832657360113444e-08,3.522177216552791e-09,2.641632912414593e-09
1826,5.19671061738336e-08,4.492072136486058e-08,2.642395191543301e-09,0.0
1827,4.7008093417844066e-08,5.1616730445402936e-08,0.0,9.217273055917019e-10
1828,6.970948618345574e-08,9.355747465633613e-08,9.172301251858528e-10,6.420610709767516e-09
1829,7.287199821348622e-08,6.515613648616636e-08,3.429270423183084e-09,1.714635211591542e-09
1830,7.097048637660919e-08,9.393152566872232e-08,2.0873671680021744e-09,2.0873671680021744e-09
1831,7.327867024287116e-08,9.666548095310645e-08,0.0,1.5591206103948707e-09
1832,1.1906372776593344e-07,5.411987658021644e-08,2.705993873419743e-09,2.705993873419743e-09
1833,1.459537202208594e-07,1.2973663388038403e-07,4.6334514003376626e-09,1.1583628500844156e-09
1834,1.0641365122410207e-07,9.801257760955195e-08,1.8669061851994684e-09,0.0
1835,1.187404805591541e-07,7.33619529569296e-08,3.025235173481633e-09,2.2689263801112247e-09
1836,6.451919887240365e-08,7.325617445985699e-08,3.36037508930076e-09,4.704525213838906e-09
1837,4.940102726891382e-08,9.462731753728804e-08,1.3915781860163179e-09,2.0873671680021744e-09
1838,5.9334322344284374e-08,6.754013526233393e-08,6.312161904276081e-10,1.8936485712828244e-09
1839,6.571986688186371e-08,4.1249702320556025e-08,2.0974426639952526e-09,5.5931801412612e-09
1840,6.815567132889555e-08,1.0955864837569607e-07,6.369688665408546e-10,3.1848443882154243e-09
