year,avons_VERB eu_VERB,avons_VERB dû_VERB
1800,5.4959996305115055e-06,9.086635373023455e-07
1801,5.162403795111459e-06,9.310423934039136e-07
1802,4.486869329412002e-06,1.0473091833773651e-06
1803,4.0976628952194005e-06,6.397112883860245e-07
1804,4.130462912144139e-06,8.379574865102768e-07
1805,5.134237198944902e-06,7.334624569921289e-07
1806,5.795036486233585e-06,5.676888008565584e-07
1807,4.939467089570826e-06,6.177892828418408e-07
1808,4.4551015889737755e-06,6.480971705968841e-07
1809,4.897578037343919e-06,7.816245783942577e-07
1810,5.06169408254209e-06,7.792622227498214e-07
1811,5.011646408092929e-06,7.797008834131702e-07
1812,5.035689355281647e-06,6.988085488046636e-07
1813,5.521424100152217e-06,8.339650889865879e-07
1814,5.893726211070316e-06,1.7936059748535627e-06
1815,4.8711858653405216e-06,1.1759894960050588e-06
1816,5.242419774731388e-06,1.2885877822554903e-06
1817,5.352530934032984e-06,8.142447995851398e-07
1818,5.480165327753639e-06,1.1551620673344587e-06
1819,5.4943375289440155e-06,1.3601279533759225e-06
1820,5.676924502040492e-06,1.785905396900489e-06
1821,6.042133918526815e-06,1.6537716192033258e-06
1822,6.078530986997066e-06,1.524896219962102e-06
1823,5.089583737571957e-06,1.353928155367612e-06
1824,5.3575117817672435e-06,1.5208529475785326e-06
1825,5.124767994857393e-06,1.3190554000175325e-06
1826,5.075160515843891e-06,1.5942451909722877e-06
1827,5.169046744413208e-06,1.3153048712410964e-06
1828,5.734522801503772e-06,1.50517462316202e-06
1829,5.930923180130776e-06,1.974402493942762e-06
1830,6.597123956453288e-06,1.9391641217225697e-06
1831,6.5701342464308254e-06,2.112608399329474e-06
1832,7.41171743356972e-06,2.171560026908992e-06
1833,6.281801688601263e-06,2.156871687475359e-06
1834,6.373617907229345e-06,2.245888254037709e-06
1835,5.749459432990989e-06,1.7629557760301395e-06
1836,5.705916919396259e-06,2.05386118068418e-06
1837,6.503540589619661e-06,2.3107156721380306e-06
1838,5.803401563753141e-06,1.932152827066602e-06
1839,6.423068043659441e-06,1.963206159416586e-06
1840,6.347394901240477e-06,2.2580545646633254e-06
1841,6.819264399382519e-06,2.514286734367488e-06
1842,6.369497896230314e-06,2.2130566321720835e-06
1843,6.5123695094371215e-06,2.4241962819360197e-06
1844,6.516568646475207e-06,2.6800644263857976e-06
1845,6.528308858833043e-06,2.4391176793869818e-06
1846,7.029499556665542e-06,2.746346581261605e-06
1847,6.615327947656624e-06,2.5633992208895506e-06
1848,7.989709956746083e-06,2.979145619974588e-06
1849,8.30986573419068e-06,3.2595924039924284e-06
1850,7.4468498496571556e-06,2.647029532454326e-06
1851,6.396553544618655e-06,2.4191845113819e-06
1852,7.048316547297873e-06,2.5514827939332463e-06
1853,7.184831247286638e-06,2.7560465696296887e-06
1854,6.976218628551578e-06,2.285572691107518e-06
1855,6.713275524816709e-06,2.2267909116635565e-06
1856,6.865470822958741e-06,2.7335559025232214e-06
1857,7.502391326852376e-06,2.600868128865841e-06
1858,7.304790415219031e-06,2.5579245175322285e-06
1859,7.523176918766694e-06,2.474286930009839e-06
1860,7.990847734618e-06,2.683602815523045e-06
1861,7.5530874710239004e-06,2.507477802282665e-06
1862,7.894277587183751e-06,2.6254017484461656e-06
1863,7.718686902080663e-06,2.5372673917445354e-06
1864,7.666770216019358e-06,2.6270313355780672e-06
1865,8.00728321337374e-06,2.485684490238782e-06
1866,7.5081275099364575e-06,2.2367223664332414e-06
1867,7.640266630914994e-06,2.4530961582058808e-06
1868,8.38148389448179e-06,2.705568931560265e-06
