year,ses_DET années_NOUN,ses_DET damnés_NOUN
1800,3.710114087063232e-07,0.0
1801,3.286031926563737e-07,0.0
1802,5.281303003812354e-07,0.0
1803,3.8616715869466134e-07,9.751696339321825e-09
1804,3.806650432647274e-07,0.0
1805,4.5770332235406386e-07,0.0
1806,5.331087891136121e-07,0.0
1807,4.384311012017861e-07,0.0
1808,4.192236815470096e-07,0.0
1809,3.975893645424833e-07,0.0
1810,6.177934892548365e-07,0.0
1811,3.9361105796942297e-07,0.0
1812,5.65448146971903e-07,0.0
1813,4.198582814751717e-07,0.0
1814,3.996279889229015e-07,0.0
1815,3.398501813300925e-07,0.0
1816,4.496151575494878e-07,0.0
1817,3.6119464008610436e-07,1.71256075987003e-08
1818,5.579111075348919e-07,0.0
1819,4.647621523190537e-07,0.0
1820,5.114453234256189e-07,0.0
1821,5.177281581225657e-07,0.0
1822,4.7320905594006035e-07,0.0
1823,6.077852425789843e-07,9.882686891060644e-10
1824,4.14318757080423e-07,1.2631669044083083e-08
1825,5.61787276254222e-07,3.522177216552791e-09
1826,4.985319230765839e-07,2.6423952803611428e-08
1827,4.811416540739799e-07,4.608636583469661e-09
1828,3.733126541227705e-07,3.668920500743411e-09
1829,3.1892213847584117e-07,6.858540846366168e-09
1830,4.352160574150332e-07,6.262101504006523e-09
1831,3.523612599476422e-07,1.4032085715598441e-08
1832,2.936003338227522e-07,1.7588959622116818e-08
1833,4.6102842077289097e-07,3.1275796175123105e-08
1834,5.53537677916438e-07,2.8003592777992026e-09
1835,4.832813331745456e-07,2.571449897459388e-08
1836,5.511015146453246e-07,1.8146025126952736e-08
1837,4.515671285787448e-07,8.349468672008697e-09
1838,5.579951398715366e-07,3.408567295082321e-08
1839,4.404629310172936e-07,3.635567225046543e-08
1840,3.993794805978723e-07,5.732719632334238e-09
1841,3.916534687675721e-07,2.1187809284839432e-08
1842,3.7767532923282943e-07,1.8783142152756227e-08
1843,3.73316790369671e-07,1.4767278067040479e-08
1844,3.792595884011263e-07,9.330554107123135e-09
1845,4.983143417902625e-07,3.9061593959388574e-09
1846,4.057169302740249e-07,8.781752214304106e-09
1847,6.196813941983237e-07,1.7258315665458213e-08
1848,4.2800578192725425e-07,1.689496542667257e-08
1849,5.530413957899327e-07,4.189707469848258e-09
1850,4.3789025294671546e-07,1.0862393651223101e-08
1851,4.2824274792963024e-07,1.2898877521649865e-09
1852,5.377710532439295e-07,2.6042181744401205e-09
1853,5.750970255569143e-07,8.957897534855874e-09
1854,6.899842581731264e-07,9.352196350675968e-09
1855,5.73149197435896e-07,1.5920811335945473e-08
1856,6.160855323678049e-07,1.5013848553291353e-08
1857,5.506342226624383e-07,9.274867096564776e-09
1858,5.539641207974455e-07,9.297984604472731e-09
1859,5.438441164073993e-07,6.110608019582742e-09
1860,5.20883521204496e-07,7.323494338740133e-09
1861,4.286810968423538e-07,2.263662679524714e-08
1862,5.778504648112914e-07,2.4848924695675123e-08
1863,7.042415148816872e-07,1.897955925755923e-08
1864,4.866648666279616e-07,2.4932585329651147e-08
1865,5.775298026478026e-07,8.001635465326729e-09
1866,5.629514205907071e-07,1.6056523222118813e-08
1867,4.1443009202168923e-07,5.338092634588065e-09
1868,3.438152254009452e-07,1.0373735648272486e-08
1869,4.439118859167479e-07,1.6115613732381462e-08
1870,4.489760314640989e-07,1.7202147262196377e-08
1871,4.1103954906418494e-07,3.18635318130589e-09
1872,5.031386258735893e-07,4.233137507192453e-09
1873,3.9687209385519395e-07,6.5846050834039715e-09
1874,4.2539216327242e-07,5.377148060148329e-09
1875,4.142385527927672e-07,4.005069165202713e-09
1876,4.933548112262542e-07,8.464420275799966e-09
1877,4.669536215473613e-07,5.566334504436554e-09
1878,4.54139474470594e-07,1.1474268646338714e-08
1879,4.392604893155294e-07,1.0996785704264767e-08
1880,4.2999568528045984e-07,1.7969969734465963e-08
1881,4.824975112782681e-07,1.6036767080951364e-08
1882,5.164579022221005e-07,5.989846840748214e-09
1883,5.188177496506796e-07,1.0742875922176154e-08
