year,as_VERB eu_VERB,as_VERB dû_VERB
1800,2.200915076855381e-07,6.288328791015374e-08
1801,1.619204113012529e-07,7.619784270218588e-08
1802,1.7231369042747247e-07,2.0140561218795483e-08
1803,1.2677205063482688e-07,4.6808139586573816e-08
1804,1.3842365831351344e-07,2.4718509905596875e-08
1805,2.5301611117356515e-07,0.0
1806,6.916005901302924e-08,8.645007376628655e-09
1807,1.537355700520493e-07,3.131650672116848e-08
1808,1.0423940466353088e-07,1.1330369531492579e-08
1809,9.93973401364201e-08,1.3554183553310395e-08
1810,1.591286178381779e-07,3.978215445954447e-08
1811,1.3287507272252697e-07,2.0056614147279106e-08
1812,1.6269970615212515e-07,5.067695596494559e-08
1813,1.0352670187785407e-07,1.1502966579257645e-08
1814,7.552024783308298e-08,2.8320094713762956e-08
1815,8.091670622434322e-08,2.6972236000233352e-08
1816,7.879853569647821e-08,1.1588019432906549e-08
1817,1.214361304846534e-07,2.3353100786493997e-08
1818,1.2755660350194375e-07,2.6226590676969863e-08
1819,1.35598753558952e-07,2.2772310259711048e-08
1820,1.3053129066520341e-07,3.678609061807947e-08
1821,2.169527419937367e-07,7.198886464721e-08
1822,2.546506436829077e-07,7.318699601910339e-08
1823,2.174191138237802e-07,7.510841726343642e-08
1824,2.450543661325355e-07,3.789500624407083e-08
1825,3.10832149352791e-07,1.0390422744421812e-07
1826,1.418085417981274e-07,3.963592831723872e-08
1827,1.1798109511573784e-07,2.3964910056406552e-08
1828,1.2657775982916064e-07,5.6868266540277546e-08
1829,1.2002446680980938e-07,3.429270378774163e-08
1830,1.5655253093882493e-07,3.861629238599562e-08
1831,2.1204040479005926e-07,3.585977381703742e-08
1832,2.1512651926514081e-07,5.0060886991332154e-08
1833,1.6796261093077192e-07,1.1120283716081758e-07
1834,2.4549817112529126e-07,6.440826183506942e-08
1835,3.0327981903610635e-07,8.31939672707449e-08
1836,3.0646620530205837e-07,4.637317374545091e-08
1837,2.1708619613036717e-07,7.653680000885288e-08
1838,1.988331064239901e-07,2.7142295522253335e-08
1839,1.8247750688260567e-07,3.4957377437194737e-08
1840,1.840840013755951e-07,4.8409635411417185e-08
1841,2.221509731725746e-07,4.687000298986277e-08
1842,2.743680340699939e-07,6.507016792056675e-08
1843,2.658109963249444e-07,6.320394874137492e-08
1844,2.1130961158633e-07,6.311845623940826e-08
1845,2.1539679551096924e-07,5.5802278353667134e-08
1846,1.6978053452021413e-07,3.805426018743674e-08
1847,1.5316754797822796e-07,3.4516631330916425e-08
1848,1.4240042389701557e-07,3.137636639394259e-08
1849,1.0055298105271504e-07,4.4410899846525353e-08
1850,1.575047008373076e-07,4.752297400045791e-08
1851,1.5672135589284153e-07,5.6755062871616246e-08
1852,2.0963956615105417e-07,4.231854688896419e-08
1853,1.9767094272538088e-07,3.881755716861335e-08
1854,1.7041779187820794e-07,3.533051895487915e-08
1855,2.069705544727185e-07,6.04990830765928e-08
1856,2.2727860482518736e-07,5.384276846598368e-08
1857,2.5969629291466845e-07,5.174399575480493e-08
1858,2.6915216722045443e-07,7.34051397444091e-08
1859,2.6021007215604186e-07,8.249320870845622e-08
1860,2.842431285898783e-07,5.767251565202969e-08
1861,2.664519627160189e-07,9.196129013844256e-08
1862,2.3041729946271516e-07,6.505900529418795e-08
1863,2.9068692697364895e-07,5.544029235693415e-08
1864,3.5624827887659194e-07,6.520829742839851e-08
1865,2.574643929165177e-07,9.97850975181791e-08
1866,2.875577251870709e-07,8.076917623611735e-08
1867,2.7563970661503845e-07,7.521857980918867e-08
1868,2.5341554987790005e-07,7.459210138449635e-08
1869,2.6517508899814857e-07,8.790334504737984e-08
1870,2.322289702760827e-07,8.142349372519675e-08
1871,3.1544897183266585e-07,6.797553453452565e-08
1872,3.0962377195464796e-07,6.833493415570047e-08
1873,2.2986256453805254e-07,4.908523720814628e-08
1874,2.820015652105212e-07,6.691562504101967e-08
1875,3.15828287966724e-07,7.609631325067312e-08
1876,2.110059114102114e-07,8.706261667157378e-08
1877,2.4058934400272847e-07,1.001940219680364e-07
1878,2.11972007946315e-07,6.824170384334138e-08
1879,3.4090035683220776e-07,8.553055153015521e-08
1880,2.2462461402028566e-07,6.674559926977963e-08
1881,2.2660650245143188e-07,5.5780059682319916e-08
1882,2.7353632958693197e-07,6.721938916598447e-08
1883,2.4961389044619864e-07,7.393626333396242e-08
1884,2.970763546272792e-07,9.902545627937798e-08
1885,2.507352405700658e-07,6.703461252755005e-08
1886,1.981213415547245e-07,6.130790808356323e-08
1887,2.428759842132422e-07,6.8553710264041e-08
1888,2.4918614371927106e-07,7.735550155985038e-08
1889,2.2930400689347152e-07,7.580815264418561e-08
1890,2.7856142992277455e-07,6.161123167203186e-08
1891,1.905891764408807e-07,6.565446852846435e-08
1892,2.137562660209369e-07,8.462491507543746e-08
1893,1.866000189920669e-07,9.360793029600245e-08
1894,2.2370464591858763e-07,1.0145478057665969e-07
1895,2.8106930471949454e-07,9.629783193076946e-08
1896,2.8954411845916184e-07,1.1440236136195381e-07
1897,2.2316312708881014e-07,7.982597338695996e-08
1898,2.682060085135163e-07,1.1373293062888479e-07
1899,2.7306236916047055e-07,8.788849470420246e-08
1900,1.9777912996232772e-07,7.00792170960085e-08
1901,2.0734221095608518e-07,8.997869826998794e-08
1902,2.131063183696824e-07,7.119911771269472e-08
1903,1.9602799739004695e-07,9.396383404691733e-08
1904,2.2519679987453856e-07,7.309490257512152e-08
1905,2.069464386522668e-07,1.0992416576982578e-07
1906,2.0525295951756561e-07,1.2757577394495456e-07
1907,2.4994218961182924e-07,1.1057112914159006e-07
1908,2.9861246275686426e-07,1.0903283964580623e-07
1909,2.8770145377166045e-07,1.36974492193076e-07
1910,3.1797696919966256e-07,1.6353101273125503e-07
1911,2.5112166213148157e-07,1.1172785718827072e-07
1912,2.484893855125847e-07,7.866226070518678e-08
1913,2.2060437743220973e-07,1.0446889575632667e-07
1914,2.089384025794061e-07,9.978148085565408e-08
1915,1.9673872486691835e-07,8.717763932963862e-08
1916,2.0766303521213558e-07,9.55909200683891e-08
1917,2.1055535626146593e-07,1.8204264051746577e-07
1918,1.9526839878380997e-07,1.1486376649827434e-07
1919,2.384832669122261e-07,1.0312790266198135e-07
1920,2.6351366955168487e-07,1.0146790430098918e-07
1921,2.506579335204151e-07,1.1737758853769265e-07
1922,3.2905592206589063e-07,1.6379016187784146e-07
1923,2.8450742206587165e-07,1.326993555039735e-07
1924,3.416280378587544e-07,2.0755514640313777e-07
1925,3.134480834887654e-07,1.2537923055333522e-07
1926,3.5444719514998724e-07,2.0954740875822608e-07
1927,4.6269283870969957e-07,2.1852480358575121e-07
1928,3.6906112654833123e-07,1.6339238584350824e-07
1929,3.219577422441944e-07,1.6376397127260134e-07
1930,3.770793739477085e-07,1.859137768178698e-07
1931,2.7144747605234443e-07,1.0835088914973312e-07
1932,3.6276065884521813e-07,1.0082773371777876e-07
1933,3.0167842623995966e-07,1.192948815287309e-07
1934,3.258989806909085e-07,1.9529976214016642e-07
1935,2.9920710176156717e-07,1.3883209248888306e-07
1936,3.103926928815781e-07,1.3579679603026307e-07
1937,2.581179217031604e-07,1.271702956273657e-07
1938,3.1116513810047763e-07,7.779128452511941e-08
1939,3.1658683496971207e-07,1.4376406909377693e-07
1940,2.0032685199566913e-07,1.1157445101162011e-07
1941,3.6598632391360297e-07,1.0920559390115159e-07
1942,3.3679751254567236e-07,1.2136847260535433e-07
1943,3.135494068828848e-07,1.4806499848418753e-07
1944,3.373845345322479e-07,1.34953822339412e-07
1945,4.966989308741177e-07,1.4160276862185128e-07
1946,4.176331174221559e-07,2.0464023009481025e-07
1947,4.4584058400687354e-07,2.4199368908739416e-07
1948,4.5770647716381063e-07,2.0547868473386188e-07
1949,3.524305896007718e-07,1.5510873652146984e-07
1950,5.28577459135704e-07,2.552486648710328e-07
1951,4.0086871422317927e-07,1.9510365234509663e-07
1952,3.237254873056372e-07,1.6238998057360732e-07
1953,3.835482687009062e-07,1.6483956244428555e-07
1954,4.896040763924248e-07,2.4138165599651984e-07
1955,3.557145475951984e-07,1.7269518082230206e-07
1956,4.1163787045661593e-07,2.2151699852202e-07
1957,3.640035401986097e-07,1.8818630564965133e-07
1958,4.4008334043610375e-07,1.9274327200946573e-07
1959,4.286163459710224e-07,1.875680908369759e-07
1960,3.7856958101656346e-07,1.9655166738630214e-07
1961,3.696420662890887e-07,1.7300916965723445e-07
1962,4.6042603685236827e-07,2.1879749567688123e-07
1963,4.209400685795117e-07,1.9268838968855562e-07
1964,4.033670961689495e-07,2.208480509580113e-07
1965,3.649852828857547e-07,1.4117871671714965e-07
1966,3.938282020499173e-07,1.678339600630352e-07
1967,3.682960709738836e-07,1.9228308190122334e-07
1968,3.745840899682662e-07,1.733686474381102e-07
1969,3.7742006497865077e-07,1.50786362951294e-07
1970,3.168521516272449e-07,1.4026110761733435e-07
1971,3.5968781730844057e-07,1.7830238618898875e-07
1972,2.7138477776134096e-07,1.333838213213312e-07
1973,3.3079223271670344e-07,2.0068061701294937e-07
1974,3.139068951441004e-07,1.5526578067692753e-07
1975,2.6501268735046324e-07,1.5535226793872425e-07
1976,2.58251418472355e-07,1.285543476114981e-07
1977,3.138201520869188e-07,1.3692901745798736e-07
1978,2.7504938771016896e-07,1.116831143121999e-07
1979,3.429256310027995e-07,1.4512893642404379e-07
1980,3.558904211331537e-07,2.0580245063683833e-07
1981,3.5676100651471643e-07,1.454876326079102e-07
1982,3.0975436970948067e-07,1.5767055572268873e-07
1983,3.479739234535373e-07,1.3830542400228296e-07
1984,3.3576259284018306e-07,1.681712404888458e-07
1985,3.783786155509006e-07,1.4918583701728494e-07
1986,3.7285698795130884e-07,1.528593855937288e-07
1987,3.0309652743198967e-07,1.6621422105345118e-07
1988,3.6459047692005697e-07,1.6010798731258546e-07
1989,3.5672795206664887e-07,1.8934021284167102e-07
1990,3.6288014371166355e-07,2.026898187068582e-07
1991,3.3410350397389266e-07,1.8580844596272073e-07
1992,3.300456512533856e-07,1.3885059502172226e-07
1993,3.7278866216183815e-07,2.0218107010805397e-07
1994,3.27572934111231e-07,2.18381956074154e-07
1995,3.6709991491079563e-07,2.0171516723621608e-07
1996,3.36833608116649e-07,1.9590798672197707e-07
1997,3.763992140193295e-07,1.5919049189960788e-07
1998,3.4902706147477147e-07,2.117049433536522e-07
1999,3.190000370523194e-07,1.590429974385188e-07
2000,3.251671216730756e-07,1.9704420139987633e-07
2001,3.662693188744015e-07,2.1906059544107848e-07
2002,4.2278787759642e-07,2.0022181956846907e-07
2003,4.487775981942832e-07,2.3126422377117706e-07
2004,3.8630020071650506e-07,2.286086697722567e-07
2005,4.0668859924153367e-07,1.972642280634318e-07
2006,4.5749757759949716e-07,2.4130835640789883e-07
2007,8.356450962310191e-07,4.493789447224117e-07
2008,9.779339507076656e-07,4.985461714568373e-07
2009,1.0790419082695735e-06,5.521566777133557e-07
2010,1.5583792674078722e-06,8.205228709812218e-07
2011,1.6825476905069081e-06,8.527457566742669e-07
2012,2.037785634456668e-06,1.0461268402650603e-06
2013,2.258354470541235e-06,1.1067247669416247e-06
2014,2.4614614630991127e-06,1.2236930615472374e-06
2015,2.4847809072525706e-06,1.2370707054287777e-06
2016,2.4893365662137512e-06,1.197441633848939e-06
2017,2.871821834560251e-06,1.300319468100497e-06
2018,2.9501002245524433e-06,1.4657567817266681e-06
2019,2.803025381581392e-06,1.3586560498879408e-06
