year,six_DET yeux_NOUN,six_DET dieux_NOUN
1800,9.746909768182377e-08,6.288328968651058e-09
1801,1.6906395927662743e-07,7.143547975374531e-09
1802,4.4756802708434407e-08,2.0140561218795483e-08
1803,3.179053027491108e-07,1.950339223455444e-09
1804,1.433673482154063e-07,1.4831105676904599e-08
1805,2.2743021688143017e-08,5.685755422035754e-09
1806,4.8988376022407465e-08,2.881669125542885e-09
1807,0.0,0.0
1808,3.85232588051565e-08,1.1330369531492579e-08
1809,1.1746958428204834e-07,1.581321384946932e-08
1810,3.042164919975221e-08,2.3401267590372754e-09
1811,2.5070768572277302e-08,0.0
1812,2.6672082320544632e-09,1.600324983641599e-08
1813,1.4378708446116661e-08,1.1502966579257645e-08
1814,1.5733386149463513e-08,9.440030979135372e-09
1815,1.0788894222457657e-08,2.966945977789237e-08
1816,1.5296186006708012e-07,0.0
1817,1.1987924608547473e-07,7.784367039853635e-09
1818,2.8610825708597076e-08,3.5763532135746345e-09
1819,2.7637302579819334e-07,6.210629899250364e-09
1820,1.3053129244156025e-08,2.3732962262101864e-09
1821,3.747365440176509e-08,4.2404399103190826e-08
1822,3.8097340393505874e-08,2.3058916553964082e-08
1823,2.8659792761231984e-08,2.2730179627394875e-08
1824,3.3684450784221553e-09,1.6842225392110777e-09
1825,1.717061319794766e-07,2.2013607603454943e-08
1826,2.1139162420524826e-08,2.2019960965735663e-08
1827,8.479891278057039e-08,0.0
1828,2.2013523448549677e-08,1.8344602503717056e-09
1829,1.3459886494260331e-07,1.714635211591542e-09
1830,5.4271546368056534e-08,1.0436835617966267e-08
1831,4.8332740476553226e-08,0.0
1832,6.900284432731496e-08,1.3529969367098715e-09
1833,5.791814139399776e-08,6.950177211528796e-09
1834,7.934351486937885e-08,7.467624740797874e-09
1835,4.0084366048631637e-08,2.117664621437143e-08
1836,6.183090306421946e-08,2.5538849701689514e-08
1837,6.192522761239161e-08,5.5663127440652715e-09
1838,3.471689069556305e-08,1.3255540221024376e-08
1839,4.47454411300896e-08,6.9914751765765e-10
1840,8.917564464638872e-09,2.5478754661634184e-09
1841,1.8619591202195807e-08,3.2102742686390684e-09
1842,1.6770663080478698e-08,3.3541325272778977e-09
1843,4.075768533784441e-08,1.0632439984004094e-08
1844,2.7991662321369404e-08,1.372140279176648e-08
1845,4.073566373108406e-08,1.1160455948289183e-08
1846,5.151961035565478e-08,1.2294452345074092e-08
1847,1.833696039454935e-08,4.314578916364553e-09
1848,3.298540818263973e-08,1.689496542667257e-08
1849,3.100383594301093e-08,6.703531951757213e-09
1850,1.5614691761811628e-08,6.1100964288129944e-09
1851,1.5478653025979838e-08,1.1608989547440274e-08
1852,3.5156944022674e-08,5.208436570924846e-09
1853,1.1346670270029335e-08,6.569125243771623e-09
1854,3.221311861700826e-08,7.273930291429309e-09
1855,2.4942604426314574e-08,9.021793090369101e-09
1856,2.7956822634678247e-08,6.212627079449362e-09
1857,1.8549735136819123e-08,8.786716299002961e-09
1858,7.829881631948865e-09,7.340514196485515e-09
1859,2.3933214521321133e-08,6.110608019582742e-09
1860,2.8378539740359088e-08,7.323494255473406e-09
1861,1.650587277968185e-08,8.017138342086838e-09
1862,9.487771485128249e-09,6.776979477596257e-09
1863,3.096664968893492e-08,1.648224867700776e-08
1864,2.7329948748544552e-08,1.0068928690820655e-08
1865,3.2006543193574544e-08,1.882737743486018e-09
1866,2.8220554781910323e-08,7.784980771141647e-09
1867,2.8631587767335986e-08,6.308654931785895e-09
1868,1.333765986544222e-08,1.432563445646906e-08
1869,1.7580669364747337e-08,5.371871170112286e-09
1870,2.5229814681893004e-08,8.027668307875047e-09
1871,1.3807530230280918e-08,5.310588635509816e-09
1872,1.269941263259966e-08,1.2094678591978436e-09
1873,2.095101514498765e-08,2.9930022349411445e-09
1874,2.5093358502203955e-08,8.961913877669758e-09
1875,3.4901315615343265e-08,6.865832791191906e-09
1876,1.045960544843183e-07,1.9951848839738773e-08
1877,3.0924081073635534e-08,8.040260901509555e-09
1878,2.7779807343364382e-08,9.6625420442642e-09
1879,2.3826368433788048e-08,1.221865053580018e-09
1880,1.3477477800449833e-08,3.8507077526617195e-09
1881,2.440377727674914e-08,5.5780060570498335e-09
1882,2.1297232422057277e-08,3.0614772050796546e-08
1883,1.895801765572358e-08,1.516641390253426e-08
1884,1.914492120391742e-08,8.582206056928499e-09
1885,4.834226885463977e-08,7.090199316550638e-09
1886,3.549405036551434e-08,3.2267318816892043e-09
