year,étions_VERB en_ADP,étions_VERB dans_ADP,etions_VERB en_ADP,etions_VERB dans_ADP
1800,6.948603754608484e-07,1.0595833828119794e-06,3.144164484325529e-09,0.0
1801,7.786467222103965e-07,8.072208856901852e-07,0.0,1.904946067554647e-08
1802,6.243574262043694e-07,8.190494895643496e-07,6.713520406265161e-09,0.0
1803,3.9201819390655146e-07,5.031874934502412e-07,0.0,0.0
1804,5.116731358612014e-07,8.28070085390209e-07,0.0,2.4718509461507665e-09
1805,5.230895112617873e-07,4.7191770136123523e-07,2.842877711017877e-09,5.685755422035754e-09
1806,5.907421609663288e-07,7.492339477721544e-07,5.76333825108577e-09,0.0
1807,4.953702159582463e-07,7.800657044754189e-07,5.693910232196231e-09,1.4234775136401367e-08
1808,4.736094751933706e-07,5.687845714419382e-07,2.2660739951163578e-09,0.0
1809,4.02107446006994e-07,6.460827535192948e-07,4.518061036407062e-09,6.7770917766551975e-09
1810,7.909628720881301e-07,8.752074336371152e-07,0.0,2.3401267590372754e-09
1811,6.292762577686517e-07,4.713304235792748e-07,0.0,0.0
1812,4.320877451391425e-07,4.480909865378635e-07,2.6672082320544632e-09,0.0
1813,5.808998366774176e-07,6.355389245982224e-07,0.0,0.0
1814,9.030963497025368e-07,6.954156219762808e-07,3.1466771410748606e-09,3.1466771410748606e-09
1815,7.066725515869621e-07,6.392419891199097e-07,5.394447111228828e-09,2.697223555614414e-09
1816,6.512466939057049e-07,7.068691729728016e-07,2.3176038865813098e-09,0.0
1817,5.277800596559246e-07,6.756830543963588e-07,0.0,3.113746815941454e-09
1818,5.924825359215902e-07,8.320981805809424e-07,0.0,2.384235475716423e-09
1819,5.42395014235808e-07,6.045013378752628e-07,0.0,0.0
1820,7.274152835634595e-07,7.428417347909999e-07,2.3732962262101864e-09,1.1866481131050932e-09
1821,7.642653372386121e-07,8.520325991412392e-07,1.97229765852569e-09,9.86148829262845e-10
1822,6.777316343686834e-07,7.118187568266876e-07,4.010246357211145e-09,3.0076847679083585e-09
1823,1.0297759445165866e-06,8.894418215277256e-07,3.9530747564242574e-09,1.9765373782121287e-09
1824,8.867431802173087e-07,8.134794597935979e-07,8.421112696055388e-10,0.0
1825,8.69977782258502e-07,1.0293563263985561e-06,0.0,0.0
1826,7.891953828220721e-07,8.349969107257493e-07,8.807984341885344e-10,1.7615968683770689e-09
1827,6.571915491804248e-07,6.433656380977482e-07,0.0,9.217273055917019e-10
1828,6.759985922144551e-07,8.548584560230665e-07,3.668920500743411e-09,9.172301251858528e-10
1829,9.421920594832045e-07,8.170237038029882e-07,8.57317605795771e-10,0.0
1830,7.58757948915445e-07,8.453836812805093e-07,2.0873671680021744e-09,1.0436835840010872e-09
1831,8.699893214725307e-07,9.183220299746608e-07,3.1182412207897414e-09,1.5591206103948707e-09
1832,8.172101502168516e-07,7.657962441953714e-07,1.3529969367098715e-09,0.0
1833,1.4282613847171888e-06,1.3251670907266089e-06,0.0,2.3167257001688313e-09
1834,9.465214247939002e-07,8.522426924173487e-07,5.600718555598405e-09,1.8669061851994684e-09
1835,8.137882332448498e-07,9.249656613974366e-07,1.5126175867408165e-09,3.025235173481633e-09
1836,7.29201360627485e-07,5.759682721873105e-07,6.720750067579218e-10,0.0
