year,vous_PRON iriez_VERB,vous_PRON diriez_VERB
1800,9.746909945818061e-08,3.4900224932243873e-07
1801,1.2858386000402788e-07,5.143354258052568e-07
1802,1.432217686669901e-07,3.9162202369880106e-07
1803,1.0141763695514783e-07,5.324425984554182e-07
1804,1.483110523281539e-07,6.723434609057222e-07
1805,2.3595884357519026e-07,4.946607248257351e-07
1806,8.356840108802999e-08,4.985287631598112e-07
1807,9.394952193986228e-08,3.814919864453259e-07
1808,7.47804413947506e-08,2.9005747848032115e-07
1809,7.454800421413665e-08,4.6536027298316185e-07
1810,1.6614900388844944e-07,6.294941101714358e-07
1811,1.1532553223503328e-07,3.5851198276759533e-07
1812,6.668020358091553e-08,6.027890719906281e-07
1813,8.627224801216471e-08,2.6169249167651287e-07
1814,1.416004700161011e-07,2.5173417128598885e-07
1815,9.440282111583542e-08,5.313530380135489e-07
1816,2.665244451804938e-07,8.042085255510756e-07
1817,1.681423320576414e-07,5.72929408804157e-07
1818,1.406698899586445e-07,7.867977274145233e-07
1819,1.3249343844279338e-07,4.409547216255305e-07
1820,8.06920699147895e-08,7.048689951716369e-07
1821,2.534402536724656e-07,5.611186821852243e-07
1822,1.59407292699143e-07,6.636958005401539e-07
1823,1.828297122585809e-07,6.492925450629627e-07
1824,1.1200079796935825e-07,4.976877647777656e-07
1825,1.7875048641258218e-07,6.859440162543251e-07
1826,1.5325892643858197e-07,5.698766045725279e-07
1827,1.465546439760601e-07,5.75157855564612e-07
1828,1.5959803967291464e-07,5.971167951202005e-07
1829,1.1573787617180642e-07,5.229637451975577e-07
1830,1.408972902794403e-07,5.844627963824678e-07
1831,1.3252524766471652e-07,7.343458037212258e-07
1832,1.8806656854053472e-07,7.603842817616169e-07
1833,1.7143769603933379e-07,8.873059584857401e-07
1834,1.708219130591715e-07,7.644981110388471e-07
1835,1.2630356849285818e-07,7.593340001221804e-07
1836,1.492006456160766e-07,9.973593080303544e-07
1837,1.2245887770490071e-07,7.250122280311189e-07
