year,ses_DET oies_NOUN,ses_DET doigts_NOUN
1800,1.8864987794131594e-08,3.76670909929544e-06
1801,5.714838380299625e-08,2.6740679857084615e-06
1802,4.475680270843441e-09,2.8487704639701406e-06
1803,0.0,3.0230257124230775e-06
1804,7.4155526164076946e-09,2.5534219432188365e-06
1805,5.685755422035754e-09,1.8137559631981048e-06
1806,1.729001475325731e-08,2.901840815638934e-06
1807,2.562259604488304e-08,1.867602563265791e-06
1808,6.798221985349073e-09,3.4081752602332926e-06
1809,5.421673421324158e-08,1.9405072322342676e-06
1810,4.680253518074551e-09,2.6794451670753006e-06
1811,2.757784400841956e-08,1.734897153937709e-06
1812,1.0668832928217853e-08,2.267127023003468e-06
1813,0.0,2.248830021756021e-06
1814,9.440030979135372e-09,1.7936059890644174e-06
1815,1.0788894222457657e-08,1.6830674969270376e-06
1816,2.3176038865813098e-09,1.979233637428024e-06
1817,1.556873407970727e-09,2.607762979778272e-06
1818,3.5763532135746345e-09,2.15415674276187e-06
1819,0.0,2.0081037668262525e-06
1820,1.6613073583471305e-08,1.905756889186705e-06
1821,9.861488403650753e-09,2.013715853621534e-06
1822,2.0051231786055723e-09,1.9610104828871044e-06
1823,3.261286707356703e-08,1.869804343357373e-06
1824,1.9368560089105813e-08,2.1044359783672917e-06
1825,7.044354433105582e-09,2.181988717708805e-06
1826,3.5231937367541377e-09,1.8399879415653686e-06
1827,2.8573547083965423e-08,1.6508135729509377e-06
1828,1.3758452155343548e-08,1.8500531417942057e-06
1829,8.57317605795771e-10,2.0361292669690556e-06
1830,7.305785310052215e-09,2.3441133336632447e-06
1831,1.091384405071949e-08,2.677010066065577e-06
1832,1.7588959622116818e-08,3.6422678277858722e-06
1833,8.108539617524002e-09,3.222565396754362e-06
1834,6.534171426153534e-09,2.9291757215332836e-06
1835,2.0420337421001022e-08,2.696997242424004e-06
1836,1.68018754465038e-08,2.751475115303492e-06
1837,9.74104708006962e-09,2.659305955887703e-06
1838,8.2058102535143e-09,2.5576881093059e-06
1839,7.690622583211848e-09,2.3386483860576845e-06
1840,8.280594876453051e-09,2.3440453666978556e-06
1841,2.5682194149112547e-09,2.5983959304198834e-06
1842,4.695785538189057e-09,2.654460431017469e-06
1843,7.088293507706567e-09,2.5571018618109065e-06
1844,1.0977122322231025e-08,2.5115655262197834e-06
1845,1.339254718235594e-08,2.6980401486298433e-06
1846,1.5807152919933287e-08,2.408541917020557e-06
1847,7.011190739092399e-09,2.325018805038326e-06
1848,1.045878850192139e-08,2.218067564285775e-06
1849,1.5920887719289567e-08,2.4291922890995465e-06
1850,8.146795238417326e-09,2.604258774852042e-06
1851,1.870337307252612e-08,2.2302158591003263e-06
1852,1.3672145193766028e-08,2.459684104394455e-06
1853,1.2541057081705276e-08,2.864735805019336e-06
1854,2.0782657927931325e-08,2.3619490043813585e-06
1855,1.3798036491152743e-08,3.0376907886875415e-06
1856,2.174419400091665e-08,2.55442522956173e-06
1857,1.4644527368545823e-08,2.8669103571132837e-06
1858,7.34051397444091e-09,3.0702922515501996e-06
1859,2.6479302084325695e-08,3.232511531336968e-06
1860,2.380135608048839e-08,3.4402113868736706e-06
