year,moins_ADV eu_VERB,moins_ADV dû_VERB
1800,2.6096566330124915e-07,1.6978488304175698e-07
1801,2.7383600809116615e-07,1.452521445344246e-07
1802,1.6112448975036386e-07,1.1860552717735118e-07
1803,2.3014003147636686e-07,1.852822322234715e-07
1804,2.1505103120489366e-07,2.076354803648428e-07
1805,2.899735136452364e-07,1.648869130121966e-07
1806,2.1612518708025164e-07,2.535868759423465e-07
1807,1.7651122163897526e-07,1.3095993267597805e-07
1808,2.0621273222332093e-07,2.0847880932706175e-07
1809,3.185232912983338e-07,2.41716264781644e-07
1810,3.697400359214953e-07,1.3806747745093162e-07
1811,1.1281845502253418e-07,1.1532553401139012e-07
1812,3.6007310200147913e-07,3.414026537029713e-07
1813,4.3998846877002507e-07,1.6679301495514665e-07
1814,1.3530711839848664e-07,1.6677388714469998e-07
1815,2.6702514333010186e-07,1.6992508733437717e-07
1816,2.711596494009427e-07,7.648093003354006e-08
1817,2.771234619558527e-07,1.3856173097792635e-07
1818,3.039900207113533e-07,1.871624846216946e-07
1819,3.094963858529809e-07,1.1489665752151268e-07
1820,2.480094565271429e-07,1.0679833195581523e-07
1821,3.2444296493849833e-07,1.272131981977509e-07
1822,1.804610860745015e-07,1.6040985428844579e-07
1823,2.401492906756175e-07,1.6998221497033228e-07
1824,2.896862838497327e-07,1.2042191599448415e-07
1825,2.3686641270614928e-07,1.0654586191094495e-07
1826,2.483851631041034e-07,1.409277530228792e-07
1827,2.414925575067173e-07,1.9264101069893513e-07
1828,3.6322313690106967e-07,2.3389368664084031e-07
1829,2.5290870553362765e-07,2.357623429816158e-07
1830,3.1101771469366213e-07,1.753388403358258e-07
1831,2.68168747652453e-07,1.2784788339104125e-07
1832,2.92247335664797e-07,2.0159654923190828e-07
1833,2.108220371610514e-07,1.054110185805257e-07
1834,2.7630210297502344e-07,1.344172488870754e-07
1835,2.3823727701710595e-07,9.605121675804185e-08
1836,2.1775230152343283e-07,1.1358067553146611e-07
1837,2.3726407505364477e-07,1.0784730619661786e-07
1838,2.297626906511141e-07,1.0225702595789699e-07
1839,2.467990611876303e-07,1.097661623816748e-07
1840,2.08925783340419e-07,1.0955864837569607e-07
1841,2.2343509442634968e-07,1.2969508134119678e-07
1842,2.0057711935805855e-07,8.921992389332445e-08
1843,2.339136813134246e-07,8.151537400635789e-08
1844,2.1405388395123737e-07,9.056125804818294e-08
1845,2.8347557190500083e-07,8.426144404438674e-08
1846,2.4881632043616264e-07,1.0128287186716989e-07
1847,2.119536901545871e-07,1.089431194145618e-07
1848,2.083712473677224e-07,1.1504666730388635e-07
1849,3.083624733335455e-07,1.4328799124996294e-07
1850,2.2200016758233687e-07,1.0590834165213892e-07
1851,2.27665182706005e-07,9.932135469625791e-08
1852,2.565154773037648e-07,1.0937716155012822e-07
1853,2.1558673779509263e-07,8.83845885368828e-08
1854,2.909572174303321e-07,9.767849462605227e-08
1855,2.3456661324416928e-07,7.588920425405377e-08
1856,2.2520772802181455e-07,9.526028321715785e-08
1857,2.2259681031755463e-07,1.1129840515877731e-07
1858,1.972151437712455e-07,8.759680270031822e-08
1859,2.75995802212492e-07,9.929738098435337e-08
1860,1.9590346767017763e-07,7.094634923987542e-08
1861,1.9995685818230413e-07,1.0045003051573076e-07
1862,2.4306766022164084e-07,7.680576885604751e-08
1863,2.2575686386971938e-07,8.790532746161261e-08
1864,2.459695451761945e-07,8.918193827867071e-08
1865,2.2969400959027553e-07,7.90749865586804e-08
1866,2.5057906327674573e-07,7.590356432274348e-08
1867,2.2371460772774299e-07,9.511510512538734e-08
1868,2.287161748881772e-07,7.014621417056333e-08
1869,2.4466430659231264e-07,9.034510384253736e-08
1870,2.0126510946738563e-07,4.3578772590535664e-08
1871,2.3897649725768133e-07,8.072094459521395e-08
1872,1.5844028666833765e-07,1.0461896948754656e-07
1873,1.8077733443533361e-07,8.79942660958477e-08
1874,1.7206873792474653e-07,9.678866774720518e-08
1875,2.2943324040625157e-07,5.263805036292979e-08
1876,2.0616910489934526e-07,5.501873445723504e-08
1877,2.3440452423528768e-07,5.8755752263550676e-08
1878,1.7634138771427388e-07,5.012443438090486e-08
1879,1.9488747682316898e-07,4.215434401544371e-08
1880,2.3425138806487666e-07,6.802917340564818e-08
