year,serions_VERB en_ADP,serions_VERB dans_ADP
1800,9.746909768182377e-08,1.1633408547595536e-07
1801,8.096020565062645e-08,1.0000967165524344e-07
1802,1.656001700212073e-07,5.594600338554301e-08
1803,7.606323038089613e-08,6.631153581793114e-08
1804,1.458392091535643e-07,7.415552971679062e-08
1805,1.2792949632967066e-07,1.02343598484822e-07
1806,1.2391177506287931e-07,1.4696512096179504e-07
1807,9.11025637151397e-08,7.971474502710407e-08
1808,1.0877155176558517e-07,4.305540457494317e-08
1809,8.810219043198231e-08,6.325285539787728e-08
1810,1.9657065308820165e-07,8.424456154898508e-08
1811,5.264861258069686e-08,1.504245972228091e-08
1812,4.5342538612658245e-08,5.067695596494559e-08
1813,4.601186631703058e-08,6.614205716459765e-08
1814,3.1466772298927026e-08,4.090680150170556e-08
1815,1.2407228666688752e-07,2.966945977789237e-08
1816,1.4137383175238938e-07,3.9399267848239106e-08
1817,9.341240314597599e-08,4.0478710161551135e-08
1818,1.3351719019283337e-07,1.1205906957911793e-07
1819,1.583710655950199e-07,1.418093802385556e-07
1820,1.7918387129611801e-07,1.0798498095709874e-07
1821,1.7652064343565144e-07,1.1143481515318854e-07
1822,2.1454818011079624e-07,5.81485721795616e-08
1823,1.4824030358795426e-07,6.127265805844218e-08
1824,9.515857612996115e-08,1.1115868403521745e-07
1825,1.3560382683408534e-07,9.15766094067294e-08
1826,2.334115833946271e-07,8.367585024871005e-08
1827,1.0415518403306123e-07,9.8624823863247e-08
1828,1.0548146178734896e-07,6.879226077671774e-08
1829,7.973054039212002e-08,7.973054039212002e-08
1830,1.5550885734683106e-07,6.470838087579978e-08
1831,2.2451337144957506e-07,1.0757932500382594e-07
1832,1.204167290325131e-07,5.0060886991332154e-08
1833,1.4016190164056752e-07,7.29768601104297e-08
1834,1.3068343207578437e-07,7.000897994657862e-08
1835,1.8983351424139983e-07,7.563087933704082e-08
1836,2.1103154779211764e-07,6.98957975941994e-08
1837,1.2941677596245427e-07,5.6358917532861597e-08
1838,1.5780405249188334e-07,6.122797202579022e-08
1839,9.788065113980338e-08,6.50207212515852e-08
1840,1.5159858435254137e-07,5.477932418784803e-08
1841,1.5987166079867166e-07,6.934192242624704e-08
1842,1.3148199684565043e-07,6.708265232191479e-08
1843,1.7543526098506845e-07,1.1400338451039715e-07
1844,1.7014539821502694e-07,7.848642269436823e-08
