year,quels_DET doutes_NOUN
1800,0.0
1801,4.7623651688866175e-09
1802,1.7902721083373763e-08
1803,0.0
1804,2.4718509461507665e-09
1805,2.842877711017877e-09
1806,5.76333825108577e-09
1807,1.4234775136401367e-08
1808,2.039466595604722e-08
1809,2.259030518203531e-09
1810,3.042164786748458e-08
1811,7.521230305229665e-09
1812,4.267533171287141e-08
1813,3.163315653864629e-08
1814,3.1466771410748606e-09
1815,1.3486117556027466e-08
1816,9.270415546325239e-09
1817,1.5568734301751874e-08
1818,9.536942124910297e-09
1819,1.5526575580793178e-08
1820,1.542642635854463e-08
1821,1.3806083387635226e-08
1822,2.105379337535851e-08
1823,9.882687224127551e-09
1824,2.3579115548955087e-08
1825,8.805443041381977e-10
1826,9.688782887096181e-09
1827,8.295545583791863e-09
1828,9.172301251858528e-10
1829,2.743416338546467e-08
1830,1.1480519201967354e-08
1831,9.354723218280014e-09
1832,1.894195655882669e-08
1833,1.1583628722888761e-08
1834,1.9602514278460603e-08
1835,7.563087933704082e-09
1836,2.0162250868871467e-08
1837,2.7135775404474316e-08
1838,2.398621612442753e-08
1839,1.25846553178377e-08
1840,8.917564020549662e-09
1841,2.1829864582656455e-08
1842,2.6162234156856812e-08
1843,3.721354069341487e-08
1844,1.591682791124427e-08
1845,1.897277446261114e-08
1846,2.1076204781422803e-08
1847,2.1033573105455616e-08
1848,1.850401026848303e-08
1849,1.5920887719289567e-08
1850,7.467895635215882e-09
1851,1.0319102017319892e-08
1852,2.669323606596663e-08
1853,1.4929829372789527e-08
1854,2.0782658260998232e-08
1855,2.175844215912548e-08
1856,2.329735160344626e-08
1857,2.391939490919981e-08
1858,1.614913069936108e-08
1859,2.444243274446478e-08
1860,2.7920821210614122e-08
1861,1.1318312731489755e-08
1862,1.762014723016847e-08
1863,2.2975255697943453e-08
1864,7.671564494771133e-09
1865,3.671338566491045e-08
1866,2.3354942868536455e-08
1867,2.0867089389753346e-08
1868,1.6301584082611953e-08
1869,7.813630631403612e-09
1870,1.9495765002375265e-08
1871,1.4869648401472091e-08
1872,1.5118347462816928e-08
1873,2.7535620006347017e-08
1874,3.1665429389704514e-08
1875,1.3731664694205392e-08
1876,2.9020871039620033e-08
1877,1.1751150386096754e-08
1878,1.5701630662334765e-08
1879,2.2604503158163425e-08
1880,1.3477476912271413e-08
1881,1.6734017338482232e-08
1882,6.655384909848294e-09
1883,1.0110942305630033e-08
1884,5.941527270181268e-09
1885,1.0957580620640783e-08
1886,2.000573728899724e-08
1887,5.223139809551469e-09
1888,9.510922049926762e-09
1889,8.771191772893872e-09
1890,1.9663159989136147e-08
1891,1.2748440525456317e-08
1892,1.002961980134387e-08
1893,8.005941687372342e-09
1894,1.9534772022211655e-08
1895,9.027921521465032e-09
1896,1.8280790214930676e-08
1897,1.806281169081103e-08
1898,7.3558613644664206e-09
1899,1.6582735185011188e-08
1900,1.0382106618855858e-08
1901,1.956058648389103e-08
1902,1.0311595854961553e-08
1903,8.640352433531007e-09
1904,6.449550227216605e-09
1905,1.2385822145688508e-08
1906,1.2346042410626978e-08
1907,1.1828539925318182e-08
1908,1.3751888960911174e-08
1909,4.4007870125817306e-09
1910,1.068830135508847e-08
1911,1.2236860413850081e-08
1912,1.4586379548653383e-08
1913,6.893886572711949e-09
1914,9.37544131218715e-09
1915,2.8273828611702356e-08
1916,8.789969641043172e-09
1917,0.0
1918,4.594550517822427e-09
1919,6.445494027396137e-09
1920,1.817335570919454e-08
1921,2.120369213542972e-08
1922,1.6231458566107193e-08
1923,1.0615948564662858e-08
1924,9.024136882196387e-09
1925,5.499088961968823e-09
1926,1.0031524610987219e-08
1927,1.6723836537835268e-08
1928,1.0283437212876834e-08
1929,8.912325322185666e-09
1930,1.470504518152893e-08
1931,2.5091783761865827e-08
1932,8.767629289252454e-09
1933,3.4411986593596566e-09
1934,8.38710612072191e-09
1935,7.180970484910176e-09
1936,4.849885826274658e-09
1937,5.0364472592434595e-09
1938,1.6854778905894818e-08
1939,9.176430282309411e-09
1940,2.5357829169792012e-09
1941,0.0
1942,9.102635090130207e-09
1943,2.9032352077962287e-09
1944,1.2852744646352221e-08
1945,1.089252021913012e-08
1946,1.3921104269343232e-09
1947,7.152522796260996e-09
1948,8.697510267552389e-09
1949,4.908504269707237e-09
1950,1.2762433332369483e-08
1951,8.529121409139861e-09
1952,6.326882129314981e-09
1953,5.386913581872932e-09
1954,5.86352189024808e-09
1955,6.569925492527773e-09
1956,7.849027205963921e-09
1957,9.718541527092839e-09
1958,6.617794590102477e-09
1959,6.975672928177801e-09
1960,4.152500121534786e-09
1961,9.032606829162404e-09
1962,5.7077609305622445e-09
1963,8.405868778815773e-09
1964,7.909158883379064e-09
1965,9.302473902295105e-09
1966,7.20079718075084e-09
1967,9.86067089092657e-09
1968,5.838840494432063e-09
1969,8.62933943746036e-09
1970,3.219107425067591e-09
1971,2.0553589941130213e-09
1972,4.10411743478889e-09
1973,9.92376719688437e-09
1974,8.438357679274588e-09
1975,5.140332159925265e-09
1976,3.428116124304381e-09
1977,2.938390863960194e-09
1978,3.5643548113029055e-09
1979,1.1703946922736463e-08
1980,5.116635615198817e-09
1981,6.325549417596221e-09
1982,3.724501262958313e-09
1983,5.683784332077835e-09
