year,ces_DET hivers_NOUN,ces_DET divers_ADJ
1800,5.65949598296811e-08,7.549138899776153e-06
1801,3.095537337571841e-08,7.074493623804301e-06
1802,3.1329761895904085e-08,6.552396030201635e-06
1803,2.9255089017965474e-08,7.516607411162113e-06
1804,3.213406074564773e-08,7.81352071044239e-06
1805,1.7057265822018053e-08,8.670776878716424e-06
1806,1.152667650217154e-08,8.013921728888818e-06
1807,2.8469550272802735e-08,8.481079476041486e-06
1808,9.064295980465431e-09,7.425924536619277e-06
1809,6.09938268780752e-08,7.996968179213582e-06
1810,0.0,7.844105027743353e-06
1811,7.521229861140455e-09,8.49146908876719e-06
1812,0.0,1.012738948702463e-05
1813,4.3136125782439194e-08,1.0001829650718719e-05
1814,0.0,1.0314807582290086e-05
1815,4.315557688983063e-08,9.639877248446282e-06
1816,1.8540831092650478e-08,1.0250761988572776e-05
1817,9.341240669868967e-09,9.159086744148226e-06
1818,5.960588467246453e-09,7.620016504006344e-06
1819,1.3456364911235141e-08,8.717654509382555e-06
1820,1.898636980968149e-08,7.412990726152202e-06
1821,2.6626018723163725e-08,8.243218246661854e-06
1822,5.6143449000956025e-08,7.883141961428919e-06
1823,1.2847492847356534e-08,7.655129365957691e-06
1824,9.263223965660927e-09,8.747851779844495e-06
1825,5.283265824829186e-09,8.196106477953435e-06
1826,1.5854372037438225e-08,8.212564694076718e-06
1827,1.2904182611350734e-08,9.467060976930952e-06
1828,7.337841001486822e-09,1.0201433383372205e-05
1829,8.573175946935407e-09,9.502507964498363e-06
1830,8.349468672008697e-09,9.668684583630238e-06
1831,2.182768810143898e-08,1.0761050475593947e-05
1832,1.3529969367098715e-09,1.0334190733374271e-05
1833,4.6334514003376626e-09,9.759207046045049e-06
1834,8.401078055442213e-09,1.011956499041844e-05
1835,1.0588323107185715e-08,9.506801802672271e-06
1836,2.688300027031687e-09,9.064947789738653e-06
1837,4.940102726891382e-08,9.96161281818786e-06
1838,1.3886756633496589e-08,9.08004506072757e-06
1839,1.3982949909063791e-08,1.0132745160262857e-05
1840,2.1019973317493168e-08,9.578737945048488e-06
1841,7.704658244733764e-09,1.06555424963517e-05
1842,1.341653010911159e-09,1.0040931442745205e-05
1843,1.476727762295127e-08,1.0756484812191047e-05
1844,1.6465683483346538e-08,9.931003091878665e-06
1845,3.0691253982695343e-08,1.1308332091175544e-05
1846,1.7563504872697422e-08,1.1012902177753858e-05
1847,1.833696039454935e-08,1.1011344440703397e-05
1848,1.367687652020777e-08,1.154569815753348e-05
1849,1.256912218750017e-08,1.116473276852048e-05
1850,8.146795238417326e-09,1.0249347269564169e-05
1851,1.870337307252612e-08,1.0792490456879023e-05
1852,1.1067927019325907e-08,1.108680805828044e-05
1853,2.20961471342207e-08,1.0812182267727621e-05
1854,2.5458755104068587e-08,1.0054130598291522e-05
1855,2.0697054736729115e-08,1.0404780596218188e-05
1856,2.27796321250473e-08,1.053506275638938e-05
1857,1.4644527368545823e-08,1.0273135444549553e-05
1858,3.034079032460113e-08,9.861246780928923e-06
1859,1.8841041837802663e-08,9.567175084157498e-06
1860,2.7463102986180488e-08,9.324639336227847e-06
1861,1.650587222457034e-08,9.634714047024318e-06
1862,2.8915112304517265e-08,9.676171544015233e-06
1863,9.989241989138975e-09,9.6406168950125e-06
1864,9.589456340108882e-09,9.866112122836057e-06
1865,9.413688606407788e-09,9.94791525954497e-06
1866,1.702964524952222e-08,9.737064146975172e-06
1867,9.220341823379385e-09,1.0422868740533886e-05
1868,1.2349685052370774e-08,1.0441411973260983e-05
1869,4.395167230164532e-09,9.5902547627702e-06
1870,8.027668307875047e-09,1.0043759971267718e-05
1871,2.124235431999466e-08,9.81715402303962e-06
1872,1.632781609917089e-08,9.586242185832816e-06
