year,jeunes_ADJ années_NOUN
1800,4.338947121595993e-07
1801,3.0717254162482277e-07
1802,2.416867346255458e-07
1803,3.471603804428014e-07
1804,1.878606781247072e-07
1805,3.01345039588341e-07
1806,2.852852389878535e-07
1807,2.1636859059981361e-07
1808,2.719288829666766e-07
1809,2.597885213617701e-07
1810,3.0421648489209474e-07
1811,4.2369597963443084e-07
1812,3.9207961322063056e-07
1813,3.4796474324139126e-07
1814,2.7061423679697327e-07
1815,4.5852800667489646e-07
1816,3.986278613865579e-07
1817,3.3939841159735806e-07
1818,2.968373280509695e-07
1819,2.4428479150628846e-07
1820,4.3193992382839497e-07
1821,4.526423253992107e-07
1822,4.5015013938609627e-07
1823,4.002488083187927e-07
1824,3.69686858903151e-07
1825,4.7021066507113574e-07
1826,3.840281124212197e-07
1827,3.686909337830002e-07
1828,3.8890556197657133e-07
1829,3.5492948313731176e-07
1830,5.093176014270284e-07
1831,4.880047299593571e-07
1832,5.858476583853189e-07
1833,4.4828641421190696e-07
1834,5.572715053858701e-07
1835,5.082395091449143e-07
1836,5.786565679954947e-07
1837,5.96987035805796e-07
1838,5.636760533889174e-07
1839,6.606944111808843e-07
1840,6.172228381728928e-07
1841,6.253614515117079e-07
1842,6.04414708504919e-07
1843,6.598019695047697e-07
1844,6.031928592165059e-07
1845,5.903881401536637e-07
1846,5.913046265959565e-07
1847,6.239959589038335e-07
1848,5.438569701254892e-07
1849,6.427011385312653e-07
1850,6.07615163517039e-07
1851,5.514270355888584e-07
1852,6.595182640012354e-07
1853,6.109286232458544e-07
1854,7.331082656492072e-07
1855,5.938462663834798e-07
1856,7.807201427567634e-07
1857,7.073306846905325e-07
1858,7.477536883016e-07
1859,8.203491006497643e-07
1860,9.099441626858606e-07
1861,6.352403261189465e-07
1862,8.218216862587724e-07
1863,7.382049602711049e-07
1864,8.00240115950146e-07
1865,6.759028678970935e-07
1866,6.578308671123523e-07
1867,6.468797550951422e-07
1868,6.658950155724597e-07
1869,7.515736228924652e-07
1870,6.794847990931885e-07
1871,5.746056785937981e-07
1872,5.878013666915649e-07
1873,5.507124001269403e-07
1874,6.309187483566348e-07
1875,5.898894528399978e-07
1876,5.792082333755388e-07
1877,5.99308691562328e-07
1878,5.640508788928855e-07
1879,5.418971795734251e-07
1880,6.732320798619185e-07
1881,6.512321988338954e-07
1882,5.923292860643414e-07
1883,5.384076757763978e-07
1884,5.80289167828596e-07
1885,5.214519092078262e-07
1886,6.175964699650649e-07
1887,6.2155362456906e-07
1888,5.776299758508685e-07
1889,5.682479127244733e-07
1890,5.191074023969122e-07
1891,4.933646096105804e-07
1892,4.85809721340047e-07
1893,5.154594759915199e-07
1894,5.557957933888247e-07
1895,5.705646799469832e-07
1896,5.448854949463566e-07
1897,4.888612465947517e-07
1898,4.6059008695920056e-07
1899,5.124065296513436e-07
1900,4.910736493002332e-07
1901,4.0183033434004756e-07
1902,4.109907649763045e-07
1903,5.195012136027799e-07
1904,5.105894160806201e-07
1905,5.160758860256465e-07
1906,3.760398783470009e-07
1907,4.361131118457706e-07
1908,5.25518657923385e-07
1909,5.143419343767164e-07
1910,4.895242113889253e-07
1911,4.777696176461177e-07
1912,4.573871876800695e-07
1913,5.424958544608671e-07
1914,4.3796703153020644e-07
1915,3.8640899902020465e-07
1916,4.383997236345749e-07
1917,4.759428122724785e-07
1918,4.583064026064676e-07
1919,5.70886584227992e-07
1920,5.194551135900838e-07
1921,4.823839958589815e-07
1922,4.965350512975419e-07
1923,5.244278327154461e-07
1924,5.272674457046378e-07
1925,4.696221935773792e-07
1926,5.049200808571186e-07
1927,4.537734525911219e-07
1928,5.473073656503402e-07
1929,4.5118645175534766e-07
1930,4.3589955112111056e-07
1931,4.185765760666982e-07
1932,4.2742192363220965e-07
1933,4.611206065874285e-07
1934,4.0977005255626864e-07
1935,5.457537781694555e-07
1936,3.698037858157477e-07
1937,4.268389091066638e-07
1938,3.9154946307462524e-07
1939,3.884688908328826e-07
1940,5.096923700875777e-07
1941,4.2206485773021996e-07
1942,4.490633500608965e-07
1943,4.790338152815821e-07
1944,4.884042823505297e-07
1945,4.6402135467360495e-07
1946,4.4825955569649523e-07
1947,4.5895353650848847e-07
1948,4.327011424720695e-07
1949,3.858084198782308e-07
1950,3.5309400914229627e-07
1951,3.806120503213606e-07
1952,3.47978527770465e-07
1953,4.384947658309102e-07
1954,4.47582152673931e-07
1955,4.139052975915547e-07
1956,4.2210325545966043e-07
1957,4.143632565956068e-07
1958,4.1940273831642116e-07
1959,3.8366201238204667e-07
1960,4.713087378149794e-07
1961,4.801178192792577e-07
1962,4.521814958025061e-07
1963,5.172842634237895e-07
1964,4.848922685596335e-07
1965,5.105416676087771e-07
1966,4.281704661934782e-07
1967,4.708470555669919e-07
1968,5.169619612388487e-07
1969,4.0103722653839213e-07
1970,4.152648784838675e-07
1971,4.0850258642421977e-07
1972,4.570960925320833e-07
